지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
108,서울,2008-03-29 11:00,5.5,,2.3,70,88
108,서울,2008-03-29 12:00,5.8,1.5,2.6,50,87
108,서울,2008-03-29 13:00,6.1,,3,50,86
108,서울,2008-03-29 14:00,5.9,,2,50,88
108,서울,2008-03-29 15:00,6.1,1.5,1.3,70,90
108,서울,2008-03-29 16:00,6,,1.1,20,87
108,서울,2008-03-29 17:00,6,,1.1,50,89
108,서울,2008-03-29 18:00,6,2,.5,50,89
108,서울,2008-03-29 19:00,5.8,,2.1,20,91
108,서울,2008-03-29 20:00,5.8,,1.1,20,91
108,서울,2008-03-29 21:00,5.6,1.5,1.4,50,91
108,서울,2008-03-29 22:00,5.5,,1.7,50,91
108,서울,2008-03-29 23:00,5.5,,1.1,20,91
108,서울,2008-03-30 00:00,5.5,.5,.8,50,91
108,서울,2008-03-30 01:00,5.5,,1.9,50,90
108,서울,2008-03-30 02:00,5.5,,1.6,50,90
108,서울,2008-03-30 03:00,5.4,.1,1.7,20,90
108,서울,2008-03-30 04:00,5.3,,1.5,20,91
108,서울,2008-03-30 05:00,5.3,,1.9,50,91
108,서울,2008-03-30 06:00,5,.1,1.9,50,89
108,서울,2008-03-30 07:00,5.3,,1.3,50,87
108,서울,2008-03-30 08:00,5.9,,1.1,50,83
108,서울,2008-03-30 09:00,6.5,,1.8,70,80
108,서울,2008-03-30 10:00,7,,1.6,20,75
108,서울,2008-03-30 11:00,8,,1,360,65
108,서울,2008-03-30 12:00,8,,2.8,270,71
108,서울,2008-03-30 13:00,7.9,,2.4,340,70
108,서울,2008-03-30 14:00,8.8,,2.4,320,62
108,서울,2008-03-30 15:00,10.1,,1.8,360,54
108,서울,2008-03-30 16:00,9.5,,2.8,270,67
108,서울,2008-03-30 17:00,8.8,,4.1,290,69
108,서울,2008-03-30 18:00,8.3,0,4.1,270,70
108,서울,2008-03-30 19:00,7.9,,2.9,250,74
108,서울,2008-03-30 20:00,7.8,,3.4,270,73
108,서울,2008-03-30 21:00,7.4,0,3.6,250,73
108,서울,2008-03-30 22:00,7.3,,2.9,290,64
108,서울,2008-03-30 23:00,7,,2.7,270,60
108,서울,2008-03-31 00:00,6.6,0,1.7,320,62
108,서울,2008-03-31 01:00,5.9,,2.5,290,68
108,서울,2008-03-31 02:00,5.1,,3.3,290,73
108,서울,2008-03-31 03:00,4.8,,3.8,290,75
108,서울,2008-03-31 04:00,4.4,,3.5,290,80
108,서울,2008-03-31 05:00,4.2,,2.9,290,82
108,서울,2008-03-31 06:00,4.5,,1.7,320,81
108,서울,2008-03-31 07:00,4.6,,2.3,270,80
108,서울,2008-03-31 08:00,5.1,,1,360,78
108,서울,2008-03-31 09:00,6.5,,1.6,290,71
108,서울,2008-03-31 10:00,7.3,,3.6,290,64
108,서울,2008-03-31 11:00,8,,2.1,340,59
108,서울,2008-03-31 12:00,9.1,,3.2,270,59
108,서울,2008-03-31 13:00,9.8,,3.6,270,53
108,서울,2008-03-31 14:00,11.1,,2.8,270,45
108,서울,2008-03-31 15:00,11.8,,3.1,290,42
108,서울,2008-03-31 16:00,11.8,,3.6,290,37
108,서울,2008-03-31 17:00,12.1,,4.9,270,36
108,서울,2008-03-31 18:00,11.8,,3.9,290,37
108,서울,2008-03-31 19:00,10.8,,4,270,42
108,서울,2008-03-31 20:00,9.8,,4.3,290,50
108,서울,2008-03-31 21:00,9.1,,2.9,320,54
112,인천,2008-03-29 11:00,6.5,,2.3,90,90
112,인천,2008-03-29 12:00,6.9,2,1.8,90,89
112,인천,2008-03-29 13:00,7.5,,1.2,140,88
112,인천,2008-03-29 14:00,7.3,,.8,50,87
112,인천,2008-03-29 15:00,7.8,2.5,1.1,20,88
112,인천,2008-03-29 16:00,7.4,,1.5,360,89
112,인천,2008-03-29 17:00,7,,1,50,90
112,인천,2008-03-29 18:00,7,1.5,.8,20,89
112,인천,2008-03-29 19:00,6.5,,1.5,20,88
112,인천,2008-03-29 20:00,6.4,,1.6,20,89
112,인천,2008-03-29 21:00,6.1,.5,1.5,20,89
112,인천,2008-03-29 22:00,6.1,,.6,20,89
112,인천,2008-03-29 23:00,6.1,,1.3,20,87
112,인천,2008-03-30 00:00,6.1,.5,1.2,270,85
112,인천,2008-03-30 01:00,6.1,,1.5,360,86
112,인천,2008-03-30 02:00,6,,2.1,360,88
112,인천,2008-03-30 03:00,6,.1,1.6,20,89
112,인천,2008-03-30 04:00,5.9,,1.2,20,90
112,인천,2008-03-30 05:00,5.9,,2.1,20,91
112,인천,2008-03-30 06:00,5.9,,2.1,20,92
112,인천,2008-03-30 07:00,5.8,,2.5,20,92
