지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
99,파주,2015-03-29 13:00,12.1,,1.5,270,54
99,파주,2015-03-29 14:00,13.4,,1.2,250,50
99,파주,2015-03-29 15:00,15.7,,1.4,50,45
99,파주,2015-03-29 16:00,15.6,,1.2,140,43
99,파주,2015-03-29 17:00,15.7,,2.2,230,43
99,파주,2015-03-29 18:00,14.1,,2.6,230,50
99,파주,2015-03-29 19:00,11,,2.5,320,65
99,파주,2015-03-29 20:00,8.9,,.7,250,75
99,파주,2015-03-29 21:00,7.3,,1,180,81
99,파주,2015-03-29 22:00,7,,.6,160,85
99,파주,2015-03-29 23:00,5.3,,.5,180,88
99,파주,2015-03-30 00:00,4.4,,.4,0,89
99,파주,2015-03-30 01:00,3.5,,.3,0,91
99,파주,2015-03-30 02:00,2.5,,1,90,91
99,파주,2015-03-30 03:00,1.3,,.7,140,91
99,파주,2015-03-30 04:00,1.7,,.6,70,92
99,파주,2015-03-30 05:00,2.1,,.8,360,92
99,파주,2015-03-30 06:00,2.4,,.9,20,92
99,파주,2015-03-30 07:00,2.6,,1.2,50,92
99,파주,2015-03-30 08:00,2.8,,1.4,20,92
99,파주,2015-03-30 09:00,4.1,,2,50,93
99,파주,2015-03-30 10:00,7.9,,1.4,70,93
99,파주,2015-03-30 11:00,14.1,,.9,180,55
99,파주,2015-03-30 12:00,17.3,,2.1,180,40
99,파주,2015-03-30 13:00,18,,3.5,230,35
99,파주,2015-03-30 14:00,19.7,,3.2,230,32
99,파주,2015-03-30 15:00,19.2,,4.4,230,26
99,파주,2015-03-30 16:00,19.4,,4.2,230,27
99,파주,2015-03-30 17:00,18.8,,3.9,200,26
99,파주,2015-03-30 18:00,17.4,,2.2,230,29
99,파주,2015-03-30 19:00,15.2,,1,270,34
99,파주,2015-03-30 20:00,12.1,,1,340,49
99,파주,2015-03-30 21:00,10.3,,.6,90,60
99,파주,2015-03-30 22:00,8.8,,.9,160,68
99,파주,2015-03-30 23:00,7.2,,1,140,75
99,파주,2015-03-31 00:00,7.5,,.2,0,76
99,파주,2015-03-31 01:00,7.5,,0,0,76
99,파주,2015-03-31 02:00,6.9,,.2,0,79
99,파주,2015-03-31 03:00,6,,1.1,140,83
99,파주,2015-03-31 04:00,5.1,,.7,290,85
99,파주,2015-03-31 05:00,5,,.2,0,88
99,파주,2015-03-31 06:00,4.6,,.6,140,88
99,파주,2015-03-31 07:00,5.8,,1.4,50,88
99,파주,2015-03-31 08:00,7.2,,1.4,70,79
99,파주,2015-03-31 09:00,8.4,,1.1,360,76
99,파주,2015-03-31 10:00,9.4,,1,360,71
99,파주,2015-03-31 11:00,11.9,,1.2,50,62
99,파주,2015-03-31 12:00,13.8,,1.7,360,60
99,파주,2015-03-31 13:00,13.2,,2.1,360,64
99,파주,2015-03-31 14:00,13.6,,1.4,70,72
99,파주,2015-03-31 15:00,14.1,.1,1.4,160,74
99,파주,2015-03-31 16:00,14.3,,1,140,74
99,파주,2015-03-31 17:00,14.2,,.7,90,72
99,파주,2015-03-31 18:00,13.9,,.4,0,72
99,파주,2015-03-31 19:00,12.2,,1.1,50,88
99,파주,2015-03-31 20:00,11.8,,1.2,20,92
99,파주,2015-03-31 21:00,11.7,2.8,1.7,20,93
102,백령도,2015-03-28 11:00,7.9,,7.1,160,73
102,백령도,2015-03-28 12:00,8.4,,6.9,160,72
102,백령도,2015-03-28 13:00,8.6,,5,180,72
102,백령도,2015-03-28 14:00,8.3,,4.5,180,73
102,백령도,2015-03-28 15:00,8.5,,4.5,160,72
102,백령도,2015-03-28 16:00,8.2,,6.3,160,74
102,백령도,2015-03-28 17:00,8.1,,6.7,160,75
102,백령도,2015-03-28 18:00,7.3,,5.8,160,82
102,백령도,2015-03-28 19:00,7.1,,3.6,200,86
102,백령도,2015-03-28 20:00,6.5,,5.2,200,90
102,백령도,2015-03-28 21:00,6.6,,5.2,200,93
102,백령도,2015-03-28 22:00,6.6,,6.2,200,94
102,백령도,2015-03-28 23:00,6.3,,3.8,250,95
102,백령도,2015-03-29 00:00,6.4,.3,2.2,20,95
102,백령도,2015-03-29 01:00,6,,4.2,270,95
102,백령도,2015-03-29 02:00,5.5,,1.3,70,95
102,백령도,2015-03-29 03:00,5.7,,1.5,250,95
102,백령도,2015-03-29 04:00,5.4,,.7,360,95
102,백령도,2015-03-29 05:00,5.4,,1.1,340,96
102,백령도,2015-03-29 06:00,5.5,,1.2,50,96
102,백령도,2015-03-29 07:00,5.6,,1.5,50,96
102,백령도,2015-03-29 08:00,5.9,,1.3,70,96
102,백령도,2015-03-29 09:00,6.1,,1.6,290,96
102,백령도,2015-03-29 10:00,6.1,,1.2,270,96
102,백령도,2015-03-29 11:00,6.3,,1.2,70,96
102,백령도,2015-03-29 12:00,6.2,,1.9,270,96
102,백령도,2015-03-29 13:00,7.4,,1.6,20,96
102,백령도,2015-03-29 14:00,7,,1.9,70,89
102,백령도,2015-03-29 15:00,6.2,,4.9,270,86
102,백령도,2015-03-29 16:00,5.5,,2.4,250,94
102,백령도,2015-03-29 17:00,6.1,,2.9,230,89
102,백령도,2015-03-29 18:00,4.4,,2,270,95
102,백령도,2015-03-29 19:00,4,,1.4,230,96
102,백령도,2015-03-29 20:00,3.7,,3.2,200,96
102,백령도,2015-03-29 21:00,3.6,,2,250,96
102,백령도,2015-03-29 22:00,3.9,,4.7,200,96
102,백령도,2015-03-29 23:00,4.1,,3.1,160,96
102,백령도,2015-03-30 00:00,3.7,,3.6,110,96
102,백령도,2015-03-30 01:00,3.6,,4.3,160,96
102,백령도,2015-03-30 02:00,3.7,,1.8,160,96
102,백령도,2015-03-30 03:00,3.5,,2,70,96
102,백령도,2015-03-30 04:00,3.3,,4.4,90,96
102,백령도,2015-03-30 05:00,3,,4,70,96
102,백령도,2015-03-30 06:00,2.7,,4.5,90,96
102,백령도,2015-03-30 07:00,2.7,,4.9,140,96
102,백령도,2015-03-30 08:00,3,,5.9,110,96
102,백령도,2015-03-30 09:00,3.5,,5.3,110,96
102,백령도,2015-03-30 10:00,3.9,,5.9,110,96
102,백령도,2015-03-30 11:00,4.2,,5.4,140,96
102,백령도,2015-03-30 12:00,7.4,,3.9,140,97
102,백령도,2015-03-30 13:00,8.7,,4.7,140,71
102,백령도,2015-03-30 14:00,9.9,,3.8,90,67
102,백령도,2015-03-30 15:00,9.3,,3.5,110,67
102,백령도,2015-03-30 16:00,9,,4.1,140,69
102,백령도,2015-03-30 17:00,5.7,,4.9,110,86
102,백령도,2015-03-30 18:00,4.9,,5.6,180,91
102,백령도,2015-03-30 19:00,4.3,,6.8,200,95
102,백령도,2015-03-30 20:00,4.6,,3.4,160,96
102,백령도,2015-03-30 21:00,5,,3.5,110,96
102,백령도,2015-03-30 22:00,5.4,,5,140,96
102,백령도,2015-03-30 23:00,5.9,,6.2,140,96
102,백령도,2015-03-31 00:00,5.3,,5.8,110,96
102,백령도,2015-03-31 01:00,6,,7,160,89
102,백령도,2015-03-31 02:00,4.5,,6.2,140,95
102,백령도,2015-03-31 03:00,4.4,,6.4,140,96
102,백령도,2015-03-31 04:00,4.3,,6.4,110,96
102,백령도,2015-03-31 05:00,4.2,,7.4,140,96
102,백령도,2015-03-31 06:00,4.7,,7.6,110,96
102,백령도,2015-03-31 07:00,5.1,,7.7,110,96
102,백령도,2015-03-31 08:00,6,,5.8,70,96
102,백령도,2015-03-31 09:00,6.3,,7.6,110,96
102,백령도,2015-03-31 10:00,6.9,,7.8,90,96
102,백령도,2015-03-31 11:00,7.2,,5.4,70,96
102,백령도,2015-03-31 12:00,8.2,1.5,6.3,90,97
102,백령도,2015-03-31 13:00,8.6,,8.4,90,97
102,백령도,2015-03-31 14:00,8.5,,7.5,90,97
102,백령도,2015-03-31 15:00,8.7,1,7.9,90,97
102,백령도,2015-03-31 16:00,9.4,,6.8,70,97
102,백령도,2015-03-31 17:00,9.1,,4.9,50,97
102,백령도,2015-03-31 18:00,8.2,.5,4,50,97
102,백령도,2015-03-31 19:00,8.8,,3.3,20,97
102,백령도,2015-03-31 20:00,6.6,,4,50,97
102,백령도,2015-03-31 21:00,8.8,.5,4.3,50,97
108,서울,2015-03-28 11:00,12.4,,2.4,250,24
108,서울,2015-03-28 12:00,14,,3.6,230,23
108,서울,2015-03-28 13:00,15.5,,3.5,200,20
108,서울,2015-03-28 14:00,16,,4,230,14
108,서울,2015-03-28 15:00,16.7,,3.7,230,15
108,서울,2015-03-28 16:00,16.3,,3.9,250,17
108,서울,2015-03-28 17:00,14.4,,4.8,270,18
108,서울,2015-03-28 18:00,14.3,,1.9,250,15
108,서울,2015-03-28 19:00,12.1,,4.9,290,23
108,서울,2015-03-28 20:00,10.1,,4.5,270,23
108,서울,2015-03-28 21:00,9.4,,4,270,26
108,서울,2015-03-28 22:00,8.6,,3.2,270,25
108,서울,2015-03-28 23:00,8.5,,2.5,230,26
108,서울,2015-03-29 00:00,8.2,,1.2,320,31
108,서울,2015-03-29 01:00,7.4,,2.2,290,32
