지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
108,서울,2010-03-27 14:00,6.7,,3.6,320,67
108,서울,2010-03-27 15:00,6.8,,2.6,290,66
108,서울,2010-03-27 16:00,6.8,,2.3,270,67
108,서울,2010-03-27 17:00,6.6,,3.5,250,70
108,서울,2010-03-27 18:00,6.2,,3.9,230,70
108,서울,2010-03-27 19:00,5.7,,3.2,230,74
108,서울,2010-03-27 20:00,5.5,,2.8,270,78
108,서울,2010-03-27 21:00,5.1,,3.4,230,79
108,서울,2010-03-27 22:00,4.9,,2.4,270,80
108,서울,2010-03-27 23:00,4.8,,2.5,290,79
108,서울,2010-03-28 00:00,4.1,,2.7,290,83
108,서울,2010-03-28 01:00,3.9,,2.3,290,78
108,서울,2010-03-28 02:00,3.7,,2.3,320,81
108,서울,2010-03-28 03:00,2.8,,3.3,290,86
108,서울,2010-03-28 04:00,1.3,,3.1,290,72
108,서울,2010-03-28 05:00,.5,,2.1,290,82
108,서울,2010-03-28 06:00,.4,,2.8,320,71
108,서울,2010-03-28 07:00,-.1,,3.1,320,59
108,서울,2010-03-28 08:00,.5,,3.2,320,54
108,서울,2010-03-28 09:00,1.9,,3.2,320,44
108,서울,2010-03-28 10:00,3.2,,3.2,320,32
108,서울,2010-03-28 11:00,4.6,,3,320,29
108,서울,2010-03-28 12:00,5.2,,4.5,290,27
108,서울,2010-03-28 13:00,6.5,,3.2,320,26
108,서울,2010-03-28 14:00,7.9,,3.4,290,24
108,서울,2010-03-28 15:00,8.4,,4.1,290,24
108,서울,2010-03-28 16:00,8.9,,3.3,290,26
108,서울,2010-03-28 17:00,7.7,,5.3,250,32
108,서울,2010-03-28 18:00,7.2,,3,290,35
108,서울,2010-03-28 19:00,5,,2.2,290,48
108,서울,2010-03-28 20:00,4.2,,3.2,290,54
108,서울,2010-03-28 21:00,3.8,,3.5,290,55
108,서울,2010-03-28 22:00,3.5,,2.4,270,63
108,서울,2010-03-28 23:00,3.2,,1.4,320,39
108,서울,2010-03-29 00:00,2.7,,1.8,360,36
108,서울,2010-03-29 01:00,2.2,,1.2,270,37
108,서울,2010-03-29 02:00,1.9,,.5,340,33
108,서울,2010-03-29 03:00,2,,1.7,340,32
108,서울,2010-03-29 04:00,1.4,,2.9,290,36
108,서울,2010-03-29 05:00,1.2,,2.5,290,38
108,서울,2010-03-29 06:00,.7,,2.3,290,39
108,서울,2010-03-29 07:00,.7,,.8,320,38
108,서울,2010-03-29 08:00,2,,1.7,290,32
108,서울,2010-03-29 09:00,3.9,,1.7,290,27
108,서울,2010-03-29 10:00,6.1,,2.3,250,26
108,서울,2010-03-29 11:00,7.5,,3.3,270,26
108,서울,2010-03-29 12:00,8.6,,2.9,290,25
108,서울,2010-03-29 13:00,9.4,,3.2,290,26
108,서울,2010-03-29 14:00,10.4,,3.9,270,26
108,서울,2010-03-29 15:00,11,,4,270,29
108,서울,2010-03-29 16:00,11.1,,3.6,270,30
108,서울,2010-03-29 17:00,10.2,,4.7,270,33
108,서울,2010-03-29 18:00,9.3,,5,290,35
108,서울,2010-03-29 19:00,7.9,,3,290,41
108,서울,2010-03-29 20:00,6.7,,3.3,290,47
108,서울,2010-03-29 21:00,6.1,,1.6,290,47
108,서울,2010-03-29 22:00,5.8,,1.9,290,50
108,서울,2010-03-29 23:00,5.4,,2.9,290,50
108,서울,2010-03-30 00:00,5,,2.8,290,51
108,서울,2010-03-30 01:00,4.5,,.5,340,54
108,서울,2010-03-30 02:00,3.9,,1.6,50,58
108,서울,2010-03-30 03:00,3.9,,1.3,20,56
108,서울,2010-03-30 04:00,3.5,,1.3,50,60
108,서울,2010-03-30 05:00,3.5,,2.2,70,61
108,서울,2010-03-30 06:00,3.7,,2.2,70,60
108,서울,2010-03-30 07:00,3.6,,2.6,70,60
108,서울,2010-03-30 08:00,4.5,,1.6,90,56
108,서울,2010-03-30 09:00,5.4,,3.1,110,53
108,서울,2010-03-30 10:00,6.6,,2.5,110,50
108,서울,2010-03-30 11:00,8.5,,1.5,140,44
108,서울,2010-03-30 12:00,10.7,,2.3,200,38
108,서울,2010-03-30 13:00,11.8,,3.2,250,39
108,서울,2010-03-30 14:00,12.8,,2.4,230,36
108,서울,2010-03-30 15:00,13.2,,2.5,230,33
108,서울,2010-03-30 16:00,14.1,,3.1,270,31
108,서울,2010-03-30 17:00,12,,4.1,290,41
108,서울,2010-03-30 18:00,11.3,,3.7,340,43
108,서울,2010-03-30 19:00,10.9,,3,320,48
108,서울,2010-03-30 20:00,10.2,,2.5,360,54
108,서울,2010-03-30 21:00,9.6,,1.5,20,57
108,서울,2010-03-30 22:00,9.2,,1.2,50,59
108,서울,2010-03-30 23:00,8.6,,1.2,70,60
108,서울,2010-03-31 00:00,8.7,,2,70,61
108,서울,2010-03-31 01:00,8.6,,2.1,70,62
108,서울,2010-03-31 02:00,8.6,,1.8,70,62
108,서울,2010-03-31 03:00,8.7,,2.7,70,61
108,서울,2010-03-31 04:00,8.7,,1.9,70,59
108,서울,2010-03-31 05:00,8.5,,1.2,90,64
108,서울,2010-03-31 06:00,8,.2,2.4,140,68
108,서울,2010-03-31 07:00,7.2,,1.5,140,81
108,서울,2010-03-31 08:00,7.1,,3,70,88
108,서울,2010-03-31 09:00,6.9,2.8,3.3,70,90
108,서울,2010-03-31 10:00,6.3,,3.1,70,92
108,서울,2010-03-31 11:00,6,,3.2,70,93
108,서울,2010-03-31 12:00,6,5,2.6,70,94
108,서울,2010-03-31 13:00,6.2,,2.8,70,94
108,서울,2010-03-31 14:00,6.4,,3,70,95
108,서울,2010-03-31 15:00,6.5,1,2.6,70,94
108,서울,2010-03-31 16:00,6.4,,3,70,94
108,서울,2010-03-31 17:00,6.5,,2.4,70,95
108,서울,2010-03-31 18:00,6.7,.5,3.3,70,93
108,서울,2010-03-31 19:00,6.9,,2,70,93
108,서울,2010-03-31 20:00,7.2,,2.4,70,91
108,서울,2010-03-31 21:00,7.4,,1.3,70,90
112,인천,2010-03-27 14:00,8.3,,3.5,230,63
112,인천,2010-03-27 15:00,8,,3.3,250,66
112,인천,2010-03-27 16:00,7,,2.5,250,74
112,인천,2010-03-27 17:00,6.7,,3.2,200,77
112,인천,2010-03-27 18:00,6.2,,2.8,200,79
112,인천,2010-03-27 19:00,5.8,,3.8,230,84
112,인천,2010-03-27 20:00,5.3,,2.6,230,91
112,인천,2010-03-27 21:00,5,,3.5,290,89
112,인천,2010-03-27 22:00,4.6,,2.7,290,89
112,인천,2010-03-27 23:00,4.3,,1.7,270,88
112,인천,2010-03-28 00:00,4.3,,1.5,250,89
112,인천,2010-03-28 01:00,4.2,,1.9,250,87
112,인천,2010-03-28 02:00,3.9,,2.3,340,88
112,인천,2010-03-28 03:00,2.3,,3.1,20,52
112,인천,2010-03-28 04:00,1.2,,3.5,20,49
112,인천,2010-03-28 05:00,.3,,2.1,20,50
112,인천,2010-03-28 06:00,.4,,2.7,360,43
112,인천,2010-03-28 07:00,.4,,2.5,360,49
112,인천,2010-03-28 08:00,1.9,,4.3,360,44
112,인천,2010-03-28 09:00,2.8,,4.2,360,45
112,인천,2010-03-28 10:00,4.4,,5.1,360,47
112,인천,2010-03-28 11:00,4.9,,4.7,340,41
112,인천,2010-03-28 12:00,6.4,,3.6,360,32
112,인천,2010-03-28 13:00,7.5,,2.8,320,24
112,인천,2010-03-28 14:00,7.7,,3.9,290,30
112,인천,2010-03-28 15:00,7.4,,4.8,290,37
112,인천,2010-03-28 16:00,7.5,,5.2,290,36
112,인천,2010-03-28 17:00,6.8,,5.2,290,42
112,인천,2010-03-28 18:00,5.9,,5.2,290,50
