지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
108,서울,2013-03-30 14:00,9.4,,3.8,250,17
108,서울,2013-03-30 15:00,8.2,,4.3,270,22
108,서울,2013-03-30 16:00,6.5,,2.9,270,34
108,서울,2013-03-30 17:00,5.6,,2.6,200,41
108,서울,2013-03-30 18:00,4.2,0,2.7,290,57
108,서울,2013-03-30 19:00,3.4,,2,270,70
108,서울,2013-03-30 20:00,2.5,,1.1,360,80
108,서울,2013-03-30 21:00,2.8,.2,.6,90,80
108,서울,2013-03-30 22:00,3,,.8,20,79
108,서울,2013-03-30 23:00,3.1,,1.8,320,77
108,서울,2013-03-31 00:00,2.9,0,2.6,290,77
108,서울,2013-03-31 01:00,2.5,,2.7,290,78
108,서울,2013-03-31 02:00,2,,2.3,270,80
108,서울,2013-03-31 03:00,1.7,,.9,270,81
108,서울,2013-03-31 04:00,1.5,,1.7,270,80
108,서울,2013-03-31 05:00,1.1,,1.7,270,80
108,서울,2013-03-31 06:00,1.4,,1,320,80
108,서울,2013-03-31 07:00,1.2,,2.2,270,81
108,서울,2013-03-31 08:00,2.2,,3,290,76
108,서울,2013-03-31 09:00,4.2,,1.5,270,60
108,서울,2013-03-31 10:00,6.2,,2.1,230,42
108,서울,2013-03-31 11:00,7.7,,2.4,270,37
108,서울,2013-03-31 12:00,9,,3.1,180,33
108,서울,2013-03-31 13:00,10.4,,3.6,200,24
108,서울,2013-03-31 14:00,11.2,,5.3,230,21
108,서울,2013-03-31 15:00,11.9,,4.2,270,19
108,서울,2013-03-31 16:00,12.4,,4.8,230,21
108,서울,2013-03-31 17:00,11.9,,4.3,250,24
108,서울,2013-03-31 18:00,10.9,,3.8,270,26
108,서울,2013-03-31 19:00,8.4,,5.2,290,31
108,서울,2013-03-31 20:00,7.1,,3.6,270,37
108,서울,2013-03-31 21:00,6.2,,2.9,250,33
112,인천,2013-03-30 14:00,7.3,,5.6,320,43
112,인천,2013-03-30 15:00,6.6,,4.2,290,42
112,인천,2013-03-30 16:00,5.8,,3,290,49
112,인천,2013-03-30 17:00,4.7,,3.4,360,57
112,인천,2013-03-30 18:00,3.1,0,3.2,340,83
112,인천,2013-03-30 19:00,2.2,,2.2,250,93
112,인천,2013-03-30 20:00,2,,1.5,270,98
112,인천,2013-03-30 21:00,1.9,.2,2.2,230,99
112,인천,2013-03-30 22:00,2.1,,1.2,290,98
112,인천,2013-03-30 23:00,2.1,,2.2,340,95
112,인천,2013-03-31 00:00,2,0,3,340,96
112,인천,2013-03-31 01:00,1.8,,2.4,340,96
112,인천,2013-03-31 02:00,1.7,,1.8,340,96
112,인천,2013-03-31 03:00,1.5,,1.4,340,96
112,인천,2013-03-31 04:00,1.4,,1.1,320,93
112,인천,2013-03-31 05:00,1.2,,1,250,92
112,인천,2013-03-31 06:00,1.3,,1.1,290,92
112,인천,2013-03-31 07:00,1.6,,1.8,20,99
112,인천,2013-03-31 08:00,2,,3.1,20,91
112,인천,2013-03-31 09:00,3,,3,20,63
112,인천,2013-03-31 10:00,4.7,,2.5,360,57
112,인천,2013-03-31 11:00,6.2,,2.5,340,53
112,인천,2013-03-31 12:00,7.4,,3.2,320,45
112,인천,2013-03-31 13:00,8.8,,4.1,250,44
112,인천,2013-03-31 14:00,9,,4.6,270,54
112,인천,2013-03-31 15:00,9.3,,4,250,45
