지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
98,동두천,2019-03-23 11:00,5.8,,.9,270,62
98,동두천,2019-03-23 12:00,4,0,3.5,180,77
98,동두천,2019-03-23 13:00,1.6,,3.6,320,92
98,동두천,2019-03-23 14:00,6.5,,4.3,320,66
98,동두천,2019-03-23 15:00,7.9,.6,3.9,340,47
98,동두천,2019-03-23 16:00,7.6,,3.6,340,39
98,동두천,2019-03-23 17:00,7.8,,4.1,340,31
98,동두천,2019-03-23 18:00,6,,4.4,320,34
98,동두천,2019-03-23 19:00,4,,4,320,45
98,동두천,2019-03-23 20:00,2.9,,2.2,320,48
98,동두천,2019-03-23 21:00,2.5,,2.3,270,50
98,동두천,2019-03-23 22:00,1.8,,2.2,270,51
98,동두천,2019-03-23 23:00,1.2,,1.4,270,48
98,동두천,2019-03-24 00:00,.6,,.9,290,50
98,동두천,2019-03-24 01:00,-1.1,,.6,200,63
98,동두천,2019-03-24 02:00,-1.5,,.6,90,59
98,동두천,2019-03-24 03:00,-2.1,,.3,0,65
98,동두천,2019-03-24 04:00,-2.8,,.4,0,67
98,동두천,2019-03-24 05:00,-2.9,,.3,0,71
98,동두천,2019-03-24 06:00,-3.3,,.7,110,72
98,동두천,2019-03-24 07:00,-3.5,,.1,0,79
98,동두천,2019-03-24 08:00,-1.4,,.3,0,70
98,동두천,2019-03-24 09:00,2.7,,1.1,200,53
98,동두천,2019-03-24 10:00,4.7,,1,230,46
98,동두천,2019-03-24 11:00,7.8,,2.3,250,27
98,동두천,2019-03-24 12:00,7.9,,4.9,250,28
98,동두천,2019-03-24 13:00,10.2,,3.9,230,30
98,동두천,2019-03-24 14:00,10.1,,5.2,250,32
98,동두천,2019-03-24 15:00,9.2,,5.5,250,34
98,동두천,2019-03-24 16:00,8.6,,5.5,250,38
98,동두천,2019-03-24 17:00,8,,4.9,250,40
98,동두천,2019-03-24 18:00,6.4,,4.7,230,32
98,동두천,2019-03-24 19:00,5,,4.1,230,35
98,동두천,2019-03-24 20:00,3.9,,2.9,230,53
98,동두천,2019-03-24 21:00,3,,1.8,180,60
98,동두천,2019-03-24 22:00,2.5,,1.2,200,67
98,동두천,2019-03-24 23:00,1.6,,.2,0,71
98,동두천,2019-03-25 00:00,1.2,,.1,0,74
98,동두천,2019-03-25 01:00,1.6,,.4,0,73
98,동두천,2019-03-25 02:00,2,,1,340,74
98,동두천,2019-03-25 03:00,3.6,,1.9,160,73
98,동두천,2019-03-25 04:00,3.7,,2.5,180,73
98,동두천,2019-03-25 05:00,3.7,,2.4,160,74
98,동두천,2019-03-25 06:00,3.9,,1.9,160,75
98,동두천,2019-03-25 07:00,3.9,,2.2,160,76
98,동두천,2019-03-25 08:00,4.1,,2.3,160,76
98,동두천,2019-03-25 09:00,4.5,,2.6,160,74
98,동두천,2019-03-25 10:00,5,,2.8,160,73
98,동두천,2019-03-25 11:00,5.8,,2.6,160,71
98,동두천,2019-03-25 12:00,6.6,,3.2,160,67
98,동두천,2019-03-25 13:00,7.6,,2.6,160,65
98,동두천,2019-03-25 14:00,8.6,,1.9,180,64
98,동두천,2019-03-25 15:00,9.3,,3,230,65
98,동두천,2019-03-25 16:00,10,,5.4,230,61
98,동두천,2019-03-25 17:00,9.8,,5.8,250,62
98,동두천,2019-03-25 18:00,9.3,,4.2,250,61
98,동두천,2019-03-25 19:00,8.6,,3.1,230,61
98,동두천,2019-03-25 20:00,8.5,,1.4,200,60
98,동두천,2019-03-25 21:00,8.2,,.6,180,63
98,동두천,2019-03-25 22:00,8.1,,2.5,180,66
98,동두천,2019-03-25 23:00,7.9,,1.7,180,67
98,동두천,2019-03-26 00:00,7.6,,2.6,180,72
98,동두천,2019-03-26 01:00,7.3,,1.9,180,77
98,동두천,2019-03-26 02:00,7,,1.4,160,80
98,동두천,2019-03-26 03:00,7,,1.2,160,83
98,동두천,2019-03-26 04:00,7,,2.7,160,85
98,동두천,2019-03-26 05:00,6.6,,1.3,250,89
98,동두천,2019-03-26 06:00,6.3,0,.8,250,93
98,동두천,2019-03-26 07:00,6.4,,.4,0,93
98,동두천,2019-03-26 08:00,6.9,,.5,250,93
98,동두천,2019-03-26 09:00,8.6,,.7,180,82
98,동두천,2019-03-26 10:00,10.7,,1.1,200,69
98,동두천,2019-03-26 11:00,12,,1.8,180,58
98,동두천,2019-03-26 12:00,15.1,,4,290,40
98,동두천,2019-03-26 13:00,16.2,,4.6,320,33
98,동두천,2019-03-26 14:00,17.2,,5.9,320,27
98,동두천,2019-03-26 15:00,17.5,,2.8,320,26
98,동두천,2019-03-26 16:00,18.5,,3.6,320,22
98,동두천,2019-03-26 17:00,17.1,,2.6,270,24
98,동두천,2019-03-26 18:00,15.6,,2.9,250,30
98,동두천,2019-03-26 19:00,13.5,,2.9,250,39
98,동두천,2019-03-26 20:00,11,,1,230,53
98,동두천,2019-03-26 21:00,9.8,,.8,230,58
98,동두천,2019-03-26 22:00,8.6,,.6,90,60
98,동두천,2019-03-26 23:00,7.1,,1,110,66
98,동두천,2019-03-27 00:00,6.6,,1.2,140,67
98,동두천,2019-03-27 01:00,5.8,,.1,0,73
98,동두천,2019-03-27 02:00,5.5,,.8,200,76
98,동두천,2019-03-27 03:00,7.3,,1.8,200,70
