,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,삼진, ,좌안,중비, ,삼진, , , ,4,1,0,1,0.275,김태진,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
1, , , , , , , ,중안, ,1,1,1,1,0.256,권희동,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
2,2땅, ,좌2,좌비, ,우비, ,삼진, ,5,1,0,0,0.293,이명기,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
3, , , , , , , , , ,0,0,0,0,0.267,손시헌,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
4,중안, ,2안, ,좌안,3비, , , ,4,3,1,0,0.344,박민우,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
5, , , , , , , ,중안, ,1,1,0,0,0.228,지석훈,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
6,좌안, ,유직, ,중비, ,중비,좌안, ,5,2,1,0,0.354,양의지,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
7, , , , , , , , , ,0,0,0,0,0.224,김형준,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
8, , , , , , , , , ,0,0,0,0,0.182,김태군,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
9,삼진, ,유땅, ,2땅, ,삼진,3땅, ,5,0,0,0,0.229,스몰린스,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
10, ,중비, ,4구,우안, ,삼진, ,좌안,4,2,0,1,0.305,모창민,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
11, , , , , , , , , ,0,0,0,0,0.277,김찬형,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
12, ,3땅, ,좌비,4구, , ,좌안, ,3,1,0,0,0.267,박석민,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
13, , , , , , , , ,유병,1,0,0,1,0.278,이상호,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
14, ,우비, ,좌안,중비, , ,중안, ,4,2,0,0,0.264,노진혁,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
15, , , , , , , , ,투안,1,1,0,1,0.444,최승민,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
16, , ,유땅,좌안, ,좌중2, ,삼진, ,4,2,1,0,0.230,김성욱,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
17, , , , , , , , ,중비,1,0,0,0,0.250,김준완,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,NC,두산
0,좌비, ,3실, ,1땅, ,중안,중안, ,5,2,2,3,0.288,허경민,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
1,좌안, ,우비, ,우안, ,중안, , ,4,3,0,0,0.344,페르난데,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
2, , , , , , , , , ,0,0,0,0,0.231,이유찬,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
3, , , , , , , ,우중3, ,1,1,1,0,0.233,김인태,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
4,좌비, ,좌안, ,좌안, ,유직,2땅, ,5,2,1,0,0.319,박건우,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
5,우비, ,삼진, ,투2안, ,좌비, ,우비,5,1,0,0,0.293,오재일,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
6, ,3안,삼진, ,좌비, ,삼진, , ,4,1,0,0,0.283,김재환,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
7, , , , , , , , , ,0,0,0,0,0.170,백동훈,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
8, , , , , , , , ,우2,1,1,0,0,0.171,국해성,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
9, , , , , , , , , ,0,0,0,1,0.000,김대한,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
10, ,투희번, ,1땅,좌비, , ,3땅,중안,4,1,1,0,0.279,박세혁,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
11, ,4구, ,중비, ,3땅, ,1안, ,3,1,0,1,0.268,김재호,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
12, ,삼진, ,좌비, ,삼진, ,2안, ,4,1,0,1,0.265,정수빈,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
13, ,삼진, , ,우안,유땅, , , ,3,1,0,0,0.250,류지혁,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
14, , , , , , , ,1땅, ,1,0,0,0,0.277,최주환,구장 : 잠실,"관중 : 24,081",2019.10.01(화),개시 : 18:33,경기시간 : 3:46,두산,NC
0,우중2, ,유실, , , , , , ,2,1,0,2,0.336,이정후,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
1, , , , ,1땅, ,삼진, ,1직,3,0,0,0,0.227,송성문,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
2,좌안, ,좌비, ,3파, , ,유땅,2땅,5,1,0,0,0.307,김하성,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
3,2유병, ,좌2, , ,투직, , , ,3,1,1,0,0.273,김웅빈,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
4, , , , , , , ,유땅, ,1,0,0,0,0.300,서건창,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
5, , , , , , , , , ,0,0,0,0,0.267,김지수,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
6,삼진, ,삼진, , ,중비, ,중안, ,4,1,0,0,0.280,박병호,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
7, , , , , , , , , ,0,0,0,0,0.247,장영석,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
8, ,삼진, ,중비, ,2땅, ,삼진, ,4,0,0,0,0.276,김혜성,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
9, ,4구, ,2땅, , ,좌중안, ,유중안,3,2,0,1,0.248,김규민,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
10, ,포파, ,중안, , ,중비, ,유실,4,1,0,0,0.207,주효상,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
11, ,유비, ,삼진, , ,4구, ,삼진,3,0,0,0,0.197,박정음,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
12, , ,삼진, ,삼진, ,4구, ,좌2,3,1,1,0,0.167,예진원,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,키움,롯데
0,투안,투땅, ,좌안, , ,중비, ,좌비,5,2,0,0,0.295,손아섭,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
1,삼진, , , , , , , , ,1,0,0,0,0.250,문규현,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
2, , ,4구,1파, , ,유땅, , ,2,0,0,0,0.256,신본기,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
3,유땅, ,2땅, ,2비, , , , ,3,0,0,1,0.301,전준우,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
4, , , , , , , ,우안, ,1,1,0,0,0.273,정준혁,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
5,좌안, ,중안, ,3땅, , ,우비, ,4,2,0,0,0.285,이대호,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
6,좌중안, ,삼진, ,유땅, , ,유땅, ,4,1,1,0,0.304,민병헌,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
7,2땅, ,삼진, , ,삼진, ,우안, ,4,1,0,0,0.226,정훈,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
8, ,좌중안, ,3땅, ,2비, ,삼진, ,4,1,0,0,0.282,김동한,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
9, ,중비, , , , , , , ,1,0,0,0,0.124,나종덕,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
10, , , ,삼진, ,투땅, , ,우비,3,0,0,0,0.125,정보근,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
11, ,삼진, ,우안, , ,3땅, , ,3,1,0,0,0.100,신용수,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
12, , , , , , , , ,삼진,1,0,0,0,0.243,김문호,구장 : 사직,"관중 : 1,842",2019.10.01(화),개시 : 18:30,경기시간 : 2:46,롯데,키움
