,year,date,playtime,playteam_1,playteam_2,score_1,score_2,ground
0,2004,06.01(화),18:20,한화,현대,9,5,수원
1,,,18:30,롯데,삼성,2,2,시민
2,,,18:30,SK,KIA,12,3,무등
3,,,18:30,두산,LG,9,4,잠실
4,,06.02(수),18:20,SK,KIA,8,0,무등
5,,,18:30,롯데,삼성,3,9,시민
6,,,18:30,두산,LG,5,4,잠실
7,,,18:30,한화,현대,11,4,수원
8,,06.03(목),18:30,롯데,삼성,4,5,시민
9,,,18:30,SK,KIA,3,6,무등
10,,,18:30,두산,LG,6,2,잠실
11,,,18:30,한화,현대,3,7,수원
12,,06.04(금),18:30,KIA,LG,5,2,잠실
13,,,18:30,삼성,SK,3,5,문학
14,,,18:30,현대,롯데,4,3,사직
15,,,18:30,두산,한화,6,9,대전
16,,06.05(토),14:00,KIA,LG,1,6,잠실
17,,,18:30,삼성,SK,0,4,문학
18,,,18:30,현대,롯데,10,7,사직
19,,,18:30,두산,한화,3,6,대전
20,,06.06(일),14:00,KIA,LG,1,2,잠실
21,,,14:00,삼성,SK,9,0,문학
22,,,14:00,현대,롯데,6,5,사직
23,,,14:00,두산,한화,3,2,대전
24,,06.08(화),18:30,KIA,삼성,1,6,시민
25,,,18:30,SK,두산,7,8,잠실
26,,,18:30,한화,롯데,4,1,사직
27,,,18:30,LG,현대,4,7,수원
28,,06.09(수),18:20,LG,현대,1,2,수원
29,,,18:30,KIA,삼성,1,5,시민
30,,,18:30,SK,두산,4,8,잠실
31,,,18:30,한화,롯데,1,2,사직
32,,06.10(목),18:30,KIA,삼성,3,1,시민
33,,,18:30,SK,두산,5,2,잠실
34,,,18:30,한화,롯데,6,6,사직
35,,,18:30,LG,현대,6,5,수원
36,,06.11(금),18:30,두산,KIA,0,8,무등
37,,,18:30,한화,LG,5,4,잠실
38,,,18:30,롯데,SK,2,2,문학
39,,,18:30,삼성,현대,3,3,수원
40,,06.12(토),18:20,두산,KIA,2,0,무등
41,,,18:30,한화,LG,3,2,잠실
42,,,18:30,롯데,SK,6,7,문학
43,,,18:30,삼성,현대,5,4,수원
44,,06.13(일),13:50,삼성,현대,5,5,수원
45,,,14:00,두산,KIA,19,3,무등
46,,,14:00,한화,LG,4,2,잠실
47,,,14:00,롯데,SK,1,1,문학
48,,06.15(화),18:30,삼성,두산,6,7,잠실
49,,,18:30,LG,롯데,7,3,사직
50,,,18:30,KIA,한화,10,2,대전
51,,06.16(수),15:00,현대,SK,3,0,문학
52,,,18:10,현대,SK,3,6,문학
53,,,18:30,삼성,두산,3,4,잠실
54,,,18:30,LG,롯데,4,3,사직
55,,,18:30,KIA,한화,3,4,대전
56,,06.18(금),18:30,SK,삼성,2,5,시민
57,,,18:30,LG,두산,3,4,잠실
58,,,18:30,KIA,롯데,5,5,사직
59,,,18:30,현대,한화,4,7,대전
60,,06.20(일),14:00,KIA,롯데,6,11,사직
61,,,17:40,KIA,롯데,8,3,사직
62,,06.22(화),18:30,한화,삼성,2,11,시민
63,,,18:30,롯데,LG,0,5,잠실
64,,06.23(수),14:50,KIA,현대,6,5,수원
65,,,15:00,두산,SK,3,0,문학
66,,,18:10,두산,SK,1,3,문학
67,,,18:30,한화,삼성,2,3,시민
68,,,18:30,롯데,LG,0,2,잠실
69,,,18:30,KIA,현대,7,1,수원
70,,06.24(목),18:20,한화,삼성,5,10,시민
71,,,18:30,롯데,LG,2,1,잠실
72,,,18:30,두산,SK,5,2,문학
73,,,18:30,KIA,현대,8,14,수원
74,,06.25(금),18:20,SK,현대,6,7,수원
75,,,18:30,한화,두산,1,8,잠실
76,,,18:30,삼성,롯데,3,2,사직
77,,06.26(토),14:00,LG,KIA,5,8,무등
78,,,17:40,LG,KIA,4,6,무등
79,,,18:20,SK,현대,8,8,수원
80,,,18:30,한화,두산,8,14,잠실
81,,,18:30,삼성,롯데,4,8,사직
82,,06.27(일),14:00,LG,KIA,2,13,무등
83,,,14:00,한화,두산,0,4,잠실
84,,,14:00,삼성,롯데,4,1,사직
85,,,14:00,SK,현대,7,2,수원
86,,06.29(화),18:30,LG,삼성,1,4,시민
87,,,18:30,현대,두산,3,1,잠실
88,,,18:30,KIA,SK,4,5,문학
89,,,18:30,롯데,한화,6,12,대전
90,,06.30(수),18:20,현대,두산,2,3,잠실
91,,,18:30,LG,삼성,3,7,시민
92,,,18:30,KIA,SK,6,8,문학
93,,,18:30,롯데,한화,4,4,대전
0,2004,07.01(목),18:30,LG,삼성,5,7,시민
1,,,18:30,KIA,SK,6,4,문학
2,,,18:30,롯데,한화,9,3,대전
3,,07.02(금),18:20,롯데,현대,5,3,수원
4,,,18:30,한화,KIA,6,7,무등
5,,,18:30,두산,삼성,3,2,시민
6,,,18:30,SK,LG,6,3,잠실
7,,07.03(토),14:00,SK,LG,2,8,잠실
8,,07.06(화),18:20,삼성,KIA,4,2,무등
9,,,18:30,두산,롯데,4,5,마산
10,,,18:30,현대,LG,2,3,잠실
11,,,18:30,SK,한화,4,3,대전
12,,07.07(수),18:30,삼성,KIA,2,5,무등
13,,,18:30,SK,한화,10,6,대전
14,,07.08(목),14:50,두산,롯데,8,7,마산
15,,,18:30,삼성,KIA,10,3,무등
16,,,18:30,현대,LG,3,0,잠실
17,,,18:30,SK,한화,5,8,대전
18,,,18:30,두산,롯데,5,2,마산
19,,07.09(금),18:20,삼성,현대,2,3,수원
20,,,18:30,KIA,두산,2,1,잠실
21,,,18:30,LG,한화,5,4,대전
22,,07.10(토),14:00,KIA,두산,8,0,잠실
23,,,18:20,삼성,현대,4,5,수원
24,,,18:30,롯데,SK,3,4,문학
25,,,18:30,LG,한화,3,6,대전
26,,07.11(일),14:00,KIA,두산,8,0,잠실
27,,,14:00,롯데,SK,7,6,문학
28,,,14:00,삼성,현대,7,9,수원
29,,,14:00,LG,한화,7,6,대전
30,,07.13(화),18:30,한화,KIA,2,3,무등
31,,,18:30,삼성,두산,3,1,잠실
32,,,18:30,LG,롯데,9,2,사직
33,,,18:30,SK,현대,4,5,수원
34,,07.14(수),15:00,삼성,두산,1,0,잠실
35,,,18:20,SK,현대,9,7,수원
36,,07.20(화),18:30,한화,삼성,4,2,시민
37,,,18:30,KIA,LG,4,12,잠실
38,,,18:30,두산,SK,2,6,문학
39,,,18:30,현대,롯데,0,1,사직
40,,07.21(수),18:30,한화,삼성,11,2,시민
41,,,18:30,KIA,LG,2,3,잠실
42,,,18:30,두산,SK,1,8,문학
43,,,18:30,현대,롯데,15,3,사직
44,,07.22(목),18:30,한화,삼성,0,1,시민
45,,07.23(금),18:20,한화,현대,3,2,수원
46,,,18:30,LG,두산,0,2,잠실
47,,,18:30,KIA,SK,0,2,문학
48,,07.24(토),18:30,LG,두산,2,4,잠실
49,,,18:30,KIA,SK,5,7,문학
50,,,18:30,삼성,롯데,7,3,사직
51,,,18:30,한화,현대,3,7,수원
52,,07.25(일),17:00,LG,두산,4,5,잠실
53,,,17:00,KIA,SK,0,1,문학
54,,,17:00,삼성,롯데,11,2,사직
55,,,17:00,한화,현대,3,4,수원
56,,07.27(화),18:30,현대,KIA,2,3,무등
57,,,18:30,LG,삼성,0,5,시민
58,,,18:30,롯데,두산,3,1,잠실
59,,,18:30,SK,한화,2,3,대전
60,,07.28(수),18:30,LG,삼성,2,7,시민
61,,,18:30,롯데,두산,3,4,잠실
62,,,18:30,SK,한화,5,7,대전
63,,07.29(목),18:30,현대,KIA,9,4,무등
64,,,18:30,롯데,두산,0,1,잠실
65,,,18:30,SK,한화,3,11,대전
66,,07.30(금),18:30,두산,삼성,0,1,시민
67,,,18:30,SK,LG,1,4,잠실
68,,,18:30,현대,한화,4,5,대전
69,,07.31(토),18:20,롯데,KIA,2,5,무등
70,,,18:30,두산,삼성,12,4,시민
71,,,18:30,SK,LG,5,2,잠실
72,,,18:30,현대,한화,10,4,대전
0,2004,08.01(일),17:00,롯데,KIA,4,3,무등
1,,,17:00,두산,삼성,8,0,시민
2,,,17:00,SK,LG,1,6,잠실
3,,,17:00,현대,한화,4,7,대전
4,,08.03(화),18:20,LG,현대,7,16,수원
5,,,18:30,KIA,두산,6,4,잠실
6,,,18:30,삼성,SK,6,0,문학
7,,,18:30,한화,롯데,0,3,사직
8,,08.04(수),18:30,KIA,두산,0,6,잠실
9,,,18:30,삼성,SK,15,5,문학
10,,,18:30,한화,롯데,2,1,사직
11,,,18:30,LG,현대,2,3,수원
12,,08.05(목),18:30,삼성,SK,12,5,문학
13,,,18:30,한화,롯데,8,2,사직
14,,08.06(금),18:30,두산,LG,3,5,잠실
15,,,18:30,롯데,현대,4,3,수원
16,,08.07(토),14:00,삼성,한화,3,6,대전
17,,,18:20,SK,KIA,5,1,무등
18,,,18:30,두산,LG,0,1,잠실
19,,,18:30,롯데,현대,0,9,수원
20,,08.08(일),17:00,SK,KIA,1,6,무등
21,,,17:00,두산,LG,5,7,잠실
22,,,17:00,롯데,현대,7,1,수원
23,,,17:00,삼성,한화,11,4,대전
24,,08.10(화),18:30,KIA,삼성,8,9,시민
25,,,18:30,두산,롯데,2,4,마산
26,,,18:30,한화,LG,8,8,잠실
27,,,18:30,현대,SK,2,4,문학
28,,08.11(수),18:30,KIA,삼성,2,7,시민
29,,,18:30,두산,롯데,5,3,마산
30,,,18:30,한화,LG,2,7,잠실
31,,,18:30,현대,SK,10,5,문학
32,,08.12(목),18:30,한화,LG,0,7,잠실
33,,,18:30,현대,SK,2,4,문학
34,,08.13(금),18:30,현대,두산,6,1,잠실
35,,,18:30,한화,SK,4,14,문학
36,,,18:30,KIA,롯데,6,4,사직
37,,08.14(토),18:30,현대,두산,4,0,잠실
38,,,18:30,한화,SK,6,11,문학
39,,08.15(일),17:00,LG,삼성,8,4,시민
40,,,17:00,현대,두산,10,6,잠실
41,,,17:00,한화,SK,5,7,문학
42,,,17:00,KIA,롯데,7,4,사직
43,,08.17(화),18:30,삼성,KIA,2,1,무등
44,,,18:30,두산,한화,3,10,대전
45,,08.18(수),15:00,롯데,LG,2,2,잠실
46,,08.19(목),18:30,삼성,KIA,2,1,무등
47,,,18:30,롯데,LG,4,7,잠실
48,,,18:30,SK,현대,1,2,수원
49,,,18:30,두산,한화,3,2,대전
50,,08.20(금),18:30,현대,삼성,9,7,시민
51,,,18:30,LG,두산,4,2,잠실
52,,08.21(토),18:20,현대,삼성,3,8,시민
53,,,18:30,SK,KIA,5,6,군산
54,,,18:30,LG,두산,1,2,잠실
55,,,18:30,롯데,한화,13,1,청주
56,,08.22(일),14:00,LG,두산,4,6,잠실
57,,,14:00,롯데,한화,4,3,청주
58,,08.24(화),18:20,KIA,현대,11,4,수원
59,,,18:30,삼성,롯데,5,4,마산
60,,,18:30,한화,두산,1,3,잠실
61,,,18:30,LG,SK,3,12,문학
62,,08.25(수),18:20,KIA,현대,1,2,수원
63,,,18:30,삼성,롯데,3,1,마산
64,,,18:30,한화,두산,4,6,잠실
65,,,18:30,LG,SK,11,9,문학
66,,08.26(목),18:30,한화,두산,0,6,잠실
67,,,18:30,LG,SK,2,7,문학
68,,08.27(금),18:30,SK,삼성,2,8,시민
69,,,18:30,현대,한화,6,3,대전
70,,08.28(토),15:00,SK,삼성,1,8,시민
71,,,18:00,SK,삼성,3,2,시민
72,,,18:30,KIA,LG,3,4,잠실
73,,,18:30,두산,롯데,2,0,사직
74,,,18:30,현대,한화,10,4,대전
75,,08.29(일),13:50,SK,삼성,10,2,시민
76,,,14:00,KIA,LG,3,0,잠실
77,,,14:00,두산,롯데,3,7,사직
78,,,14:00,현대,한화,1,11,대전
79,,08.31(화),18:30,롯데,KIA,1,4,무등
80,,,18:30,SK,두산,2,3,잠실
81,,,18:30,LG,현대,2,8,수원
82,,,18:30,삼성,한화,6,5,대전
0,2004,09.01(수),18:30,롯데,KIA,5,3,무등
1,,,18:30,SK,두산,2,15,잠실
2,,,18:30,LG,현대,9,4,수원
3,,,18:30,삼성,한화,10,1,대전
4,,09.02(목),18:30,SK,두산,3,0,잠실
5,,09.03(금),18:30,현대,삼성,6,2,시민
6,,,18:30,두산,KIA,1,9,무등
7,,09.04(토),14:00,현대,삼성,3,4,시민
8,,,18:20,한화,LG,7,3,잠실
9,,,18:30,두산,KIA,6,12,무등
10,,,18:30,롯데,SK,1,10,문학
11,,09.05(일),14:00,현대,삼성,5,2,시민
12,,,14:00,두산,KIA,12,3,무등
13,,,14:00,한화,LG,5,7,잠실
14,,,14:00,롯데,SK,3,2,문학
15,,09.08(수),15:00,SK,삼성,1,1,시민
16,,,15:00,LG,롯데,8,2,사직
17,,,15:00,KIA,한화,10,2,청주
18,,,18:10,KIA,한화,8,4,청주
19,,,18:20,SK,삼성,6,4,시민
20,,,18:20,LG,롯데,4,0,사직
21,,,18:30,현대,두산,2,3,잠실
22,,09.09(목),18:30,SK,삼성,3,1,시민
23,,,18:30,현대,두산,6,0,잠실
24,,,18:30,LG,롯데,0,6,사직
25,,,18:30,KIA,한화,13,2,청주
26,,09.10(금),18:30,삼성,LG,1,4,잠실
27,,09.14(화),18:20,한화,KIA,0,4,무등
28,,,18:30,롯데,삼성,1,7,시민
29,,,18:30,두산,현대,2,0,수원
30,,09.15(수),14:50,한화,KIA,3,12,무등
31,,,15:00,두산,현대,4,5,수원
32,,,18:10,한화,KIA,1,9,무등
33,,,18:20,SK,LG,6,2,잠실
34,,,18:30,롯데,삼성,4,7,시민
35,,,18:40,두산,현대,3,4,수원
36,,09.16(목),18:30,한화,KIA,6,1,무등
37,,,18:30,롯데,삼성,2,3,시민
38,,,18:30,SK,LG,7,4,잠실
39,,,18:30,두산,현대,3,2,수원
40,,09.17(금),18:30,LG,KIA,1,4,무등
41,,09.18(토),18:20,LG,KIA,3,5,무등
42,,,18:30,삼성,두산,3,4,잠실
43,,,18:30,한화,SK,6,9,문학
44,,,18:30,현대,롯데,1,3,사직
45,,09.19(일),13:50,LG,KIA,6,9,무등
46,,,14:00,한화,SK,5,3,문학
47,,,14:00,현대,롯데,7,0,사직
48,,,14:00,삼성,두산,1,5,잠실
49,,,17:00,삼성,두산,1,0,잠실
50,,09.21(화),18:20,KIA,삼성,7,3,시민
51,,,18:20,SK,롯데,1,3,사직
52,,,18:30,현대,LG,8,4,잠실
53,,,18:30,두산,한화,4,15,대전
54,,09.22(수),14:50,SK,롯데,4,5,사직
55,,,15:00,현대,LG,2,6,잠실
56,,,17:40,SK,롯데,0,3,사직
57,,,18:00,현대,LG,1,6,잠실
58,,,18:30,KIA,삼성,4,3,시민
59,,,18:30,두산,한화,4,3,대전
60,,09.23(목),18:30,현대,LG,6,4,잠실
61,,,18:30,SK,롯데,3,2,사직
62,,09.24(금),18:20,한화,현대,1,6,수원
63,,,18:30,롯데,삼성,2,3,시민
64,,,18:30,LG,SK,5,4,문학
65,,09.25(토),18:20,롯데,현대,2,9,수원
66,,,18:30,삼성,KIA,0,0,무등
67,,09.26(일),14:00,SK,KIA,2,8,무등
68,,,14:00,롯데,현대,5,3,수원
69,,09.28(화),14:00,삼성,LG,6,4,잠실
70,,,14:00,KIA,한화,2,3,대전
71,,09.29(수),14:00,삼성,LG,7,3,잠실
72,,,14:00,현대,SK,6,4,문학
73,,,14:00,KIA,롯데,6,7,사직
74,,09.30(목),18:30,삼성,LG,6,3,잠실
75,,,18:30,KIA,롯데,4,0,사직
0,2004,10.01(금),18:20,현대,KIA,2,7,무등
1,,,18:30,두산,SK,4,2,문학
2,,10.02(토),18:30,두산,SK,3,5,문학
3,,,18:30,LG,롯데,4,2,사직
4,,10.03(일),14:00,LG,삼성,2,6,시민
5,,,14:00,KIA,현대,2,5,수원
6,,,14:00,롯데,한화,4,3,대전
7,,10.04(월),18:20,KIA,현대,3,4,수원
8,,,18:30,두산,삼성,3,4,시민
9,,,18:30,롯데,한화,7,3,대전
10,,10.05(화),18:20,한화,KIA,3,2,무등
11,,,18:30,두산,삼성,7,0,시민
12,,,18:30,롯데,LG,8,1,잠실
13,,,18:30,SK,현대,3,7,수원
0,2005,04.02(토),14:00,한화,KIA,13,3,무등
1,,,14:00,롯데,삼성,0,4,시민
2,,,14:00,LG,두산,5,14,잠실
3,,,14:00,SK,현대,5,5,수원
4,,04.03(일),14:00,한화,KIA,2,4,무등
5,,,14:00,롯데,삼성,2,14,시민
6,,,14:00,LG,두산,7,8,잠실
7,,,14:00,SK,현대,6,4,수원
8,,04.05(화),14:00,삼성,LG,7,5,잠실
9,,,14:00,KIA,SK,6,4,문학
10,,,14:00,현대,롯데,2,4,사직
11,,,14:00,두산,한화,5,6,대전
12,,04.06(수),18:30,현대,롯데,9,2,사직
13,,04.07(목),18:30,삼성,LG,2,4,잠실
14,,,18:30,KIA,SK,7,3,문학
15,,,18:30,현대,롯데,3,2,사직
16,,,18:30,두산,한화,10,3,대전
17,,04.08(금),18:00,현대,삼성,2,1,시민
18,,,18:30,KIA,두산,0,1,잠실
19,,,18:30,한화,SK,5,8,문학
20,,,18:30,LG,롯데,6,1,사직
21,,04.09(토),18:30,현대,삼성,1,12,시민
22,,,18:30,LG,롯데,1,2,사직
23,,04.10(일),14:00,KIA,두산,3,4,잠실
24,,,14:00,한화,SK,4,5,문학
25,,04.12(화),18:30,삼성,KIA,7,6,무등
26,,,18:30,SK,LG,10,5,잠실
27,,,18:30,두산,현대,14,5,수원
28,,,18:30,롯데,한화,2,5,대전
29,,04.13(수),18:30,삼성,KIA,14,4,무등
30,,,18:30,SK,LG,7,8,잠실
31,,,18:30,두산,현대,10,3,수원
32,,,18:30,롯데,한화,15,5,대전
33,,04.14(목),18:30,삼성,KIA,4,3,무등
34,,,18:30,SK,LG,4,2,잠실
35,,,18:30,두산,현대,7,8,수원
36,,,18:30,롯데,한화,3,2,대전
37,,04.15(금),18:30,LG,KIA,2,0,무등
38,,,18:30,SK,삼성,3,0,시민
39,,,18:30,롯데,두산,0,4,잠실
40,,,18:30,한화,현대,0,4,수원
41,,04.16(토),18:30,LG,KIA,5,3,무등
42,,,18:30,SK,삼성,1,6,시민
43,,,18:30,롯데,두산,5,2,잠실
44,,,18:30,한화,현대,10,9,수원
45,,04.17(일),14:00,LG,KIA,6,5,무등
46,,,14:00,SK,삼성,3,7,시민
47,,,14:00,롯데,두산,10,5,잠실
48,,,14:00,한화,현대,9,2,수원
49,,04.19(화),18:30,삼성,두산,3,4,잠실
50,,,18:30,현대,SK,3,7,문학
51,,,18:30,KIA,롯데,4,1,사직
52,,,18:30,LG,한화,2,4,청주
53,,04.20(수),18:30,삼성,두산,3,4,잠실
54,,,18:30,현대,SK,6,3,문학
55,,,18:30,KIA,롯데,5,7,사직
56,,,18:30,LG,한화,1,3,청주
57,,04.21(목),18:30,삼성,두산,2,3,잠실
58,,,18:30,현대,SK,6,2,문학
59,,,18:30,KIA,롯데,1,5,사직
60,,,18:30,LG,한화,3,5,청주
61,,04.22(금),18:30,두산,KIA,1,9,군산
62,,,18:30,현대,LG,3,7,잠실
63,,,18:30,SK,롯데,10,4,사직
64,,,18:30,삼성,한화,9,5,대전
65,,04.23(토),18:30,두산,KIA,2,3,군산
66,,,18:30,현대,LG,3,5,잠실
67,,,18:30,SK,롯데,3,4,사직
68,,,18:30,삼성,한화,2,3,대전
69,,04.24(일),14:00,두산,KIA,6,7,군산
70,,,14:00,현대,LG,8,7,잠실
71,,,14:00,SK,롯데,4,8,사직
72,,,14:00,삼성,한화,5,1,대전
73,,04.26(화),18:30,LG,삼성,9,5,시민
74,,,18:30,SK,KIA,3,4,무등
75,,,18:30,한화,두산,4,3,잠실
76,,,18:30,롯데,현대,7,6,수원
77,,04.27(수),18:30,LG,삼성,1,6,시민
78,,,18:30,SK,KIA,5,4,무등
79,,,18:30,한화,두산,0,4,잠실
80,,,18:30,롯데,현대,7,2,수원
81,,04.28(목),18:30,LG,삼성,4,9,시민
82,,,18:30,SK,KIA,8,4,무등
83,,,18:30,한화,두산,1,3,잠실
84,,,18:30,롯데,현대,5,4,수원
85,,04.29(금),18:30,KIA,삼성,6,7,시민
86,,,18:30,롯데,LG,11,7,잠실
87,,,18:30,두산,SK,0,0,문학
88,,,18:30,현대,한화,8,0,대전
89,,04.30(토),18:30,KIA,삼성,5,6,시민
90,,,18:30,롯데,LG,3,4,잠실
91,,,18:30,두산,SK,7,5,문학
92,,,18:30,현대,한화,7,0,대전
0,2005,05.01(일),14:00,KIA,삼성,1,5,시민
1,,,14:00,롯데,LG,5,0,잠실
2,,,14:00,두산,SK,4,2,문학
3,,,14:00,현대,한화,2,8,대전
4,,05.03(화),18:30,삼성,롯데,8,5,마산
5,,,18:30,LG,두산,5,6,잠실
6,,,18:30,KIA,현대,5,4,수원
7,,,18:30,SK,한화,6,2,대전
8,,05.04(수),18:30,삼성,롯데,7,5,마산
9,,,18:30,LG,두산,5,6,잠실
10,,,18:30,KIA,현대,2,8,수원
11,,,18:30,SK,한화,2,6,대전
12,,05.05(목),14:00,삼성,롯데,0,5,마산
13,,,14:00,LG,두산,3,4,잠실
14,,,14:00,KIA,현대,8,10,수원
15,,,14:00,SK,한화,5,8,대전
16,,05.07(토),18:30,한화,삼성,1,9,시민
17,,,18:30,롯데,KIA,4,2,무등
18,,,18:30,현대,두산,0,2,잠실
19,,,18:30,LG,SK,4,8,문학
20,,05.08(일),14:00,한화,삼성,2,7,시민
21,,,14:00,롯데,KIA,5,4,무등
22,,,14:00,현대,두산,5,6,잠실
23,,,14:00,LG,SK,6,0,문학
24,,05.10(화),18:30,현대,KIA,2,4,무등
25,,,18:30,두산,삼성,2,7,시민
26,,,18:30,한화,LG,2,7,잠실
27,,,18:30,롯데,SK,3,2,문학
28,,05.11(수),18:30,현대,KIA,9,5,무등
29,,,18:30,두산,삼성,5,4,시민
30,,,18:30,한화,LG,3,9,잠실
31,,,18:30,롯데,SK,2,9,문학
32,,05.12(목),18:30,현대,KIA,5,6,무등
33,,,18:30,두산,삼성,2,7,시민
34,,,18:30,한화,LG,4,7,잠실
35,,,18:30,롯데,SK,8,1,문학
36,,05.13(금),18:30,KIA,LG,2,9,잠실
37,,,18:30,두산,롯데,9,1,사직
38,,,18:30,삼성,현대,5,3,수원
39,,,18:30,SK,한화,1,6,대전
40,,05.14(토),18:30,KIA,LG,2,6,잠실
41,,,18:30,두산,롯데,3,4,사직
42,,,18:30,삼성,현대,2,7,수원
43,,,18:30,SK,한화,11,6,대전
44,,05.15(일),14:00,KIA,LG,9,2,잠실
45,,,14:00,두산,롯데,8,2,사직
46,,,14:00,삼성,현대,13,5,수원
47,,,14:00,SK,한화,1,5,대전
48,,05.17(화),18:30,삼성,롯데,1,4,사직
49,,05.18(수),18:30,SK,두산,0,4,잠실
50,,,18:30,삼성,롯데,8,2,사직
51,,,18:30,LG,현대,11,6,수원
52,,,18:30,KIA,한화,1,1,청주
53,,05.19(목),18:30,SK,두산,5,2,잠실
54,,,18:30,삼성,롯데,4,1,사직
55,,,18:30,LG,현대,9,11,수원
56,,,18:30,KIA,한화,6,10,청주
57,,05.20(금),18:30,한화,삼성,3,4,시민
58,,,18:30,롯데,KIA,0,10,무등
59,,,18:30,두산,LG,5,1,잠실
60,,,18:30,현대,SK,4,0,문학
61,,05.21(토),18:30,한화,삼성,2,5,시민
62,,,18:30,롯데,KIA,4,5,무등
63,,,18:30,두산,LG,5,9,잠실
64,,,18:30,현대,SK,0,7,문학
65,,05.22(일),14:00,한화,삼성,8,2,시민
66,,,14:00,롯데,KIA,10,1,무등
67,,,14:00,두산,LG,6,5,잠실
68,,,14:00,현대,SK,9,3,문학
69,,05.24(화),18:30,두산,KIA,1,12,무등
70,,,18:30,롯데,LG,10,5,잠실
71,,,18:30,삼성,SK,3,2,문학
72,,,18:30,현대,한화,8,0,대전
73,,05.25(수),18:30,두산,KIA,8,6,무등
74,,,18:30,롯데,LG,3,9,잠실
75,,,18:30,삼성,SK,3,0,문학
76,,,18:30,현대,한화,0,6,대전
77,,05.26(목),18:30,두산,KIA,3,9,무등
78,,,18:30,롯데,LG,13,11,잠실
79,,,18:30,삼성,SK,10,7,문학
80,,,18:30,현대,한화,9,4,대전
81,,05.27(금),18:30,LG,삼성,12,6,시민
82,,,18:30,SK,두산,2,9,잠실
83,,,18:30,한화,롯데,2,1,사직
84,,,18:30,KIA,현대,8,9,수원
85,,05.28(토),18:30,LG,삼성,2,9,시민
86,,,18:30,SK,두산,3,5,잠실
87,,,18:30,한화,롯데,2,3,사직
88,,,18:30,KIA,현대,8,6,수원
89,,05.29(일),14:00,LG,삼성,2,3,시민
90,,,14:00,SK,두산,9,7,잠실
91,,,14:00,한화,롯데,14,7,사직
92,,,14:00,KIA,현대,9,15,수원
93,,05.31(화),18:30,LG,KIA,9,11,무등
94,,,18:30,롯데,삼성,2,5,시민
95,,,18:30,현대,두산,7,4,잠실
96,,,18:30,한화,SK,4,3,문학
0,2005,06.01(수),18:30,현대,두산,2,4,잠실
1,,06.02(목),18:30,LG,KIA,3,6,무등
2,,,18:30,롯데,삼성,8,1,시민
3,,,18:30,현대,두산,3,4,잠실
4,,,18:30,한화,SK,2,3,문학
5,,06.04(토),18:30,삼성,KIA,8,5,무등
6,,,18:30,SK,LG,7,3,잠실
7,,,18:30,롯데,현대,13,3,수원
8,,,18:30,두산,한화,3,6,청주
9,,06.05(일),14:00,삼성,KIA,9,3,무등
10,,,14:00,SK,LG,2,5,잠실
11,,,14:00,롯데,현대,0,3,수원
12,,,14:00,두산,한화,1,5,청주
13,,06.06(월),14:00,삼성,KIA,12,4,무등
14,,,14:00,SK,LG,4,1,잠실
15,,,14:00,롯데,현대,6,8,수원
16,,,14:00,두산,한화,4,8,청주
17,,06.07(화),18:30,두산,삼성,14,1,시민
18,,,18:30,현대,LG,4,5,잠실
19,,,18:30,KIA,SK,5,3,문학
20,,,18:30,한화,롯데,9,1,사직
21,,06.08(수),18:30,두산,삼성,8,2,시민
22,,,18:30,현대,LG,5,1,잠실
23,,,18:30,KIA,SK,4,5,문학
24,,,18:30,한화,롯데,3,1,사직
25,,06.09(목),18:30,두산,삼성,11,3,시민
26,,,18:30,현대,LG,1,2,잠실
27,,,18:30,KIA,SK,6,1,문학
28,,,18:30,한화,롯데,4,2,사직
29,,06.10(금),18:30,KIA,두산,2,5,잠실
30,,,18:30,롯데,SK,3,5,문학
31,,,18:30,삼성,현대,4,9,수원
32,,06.11(토),18:30,KIA,두산,5,2,잠실
33,,,18:30,롯데,SK,2,7,문학
34,,,18:30,삼성,현대,3,2,수원
35,,,18:30,LG,한화,1,3,대전
36,,06.12(일),14:00,KIA,두산,1,4,잠실
37,,,14:00,롯데,SK,2,8,문학
38,,,14:00,삼성,현대,4,3,수원
39,,,14:00,LG,한화,5,7,대전
40,,06.14(화),18:00,두산,롯데,2,1,마산
41,,,18:30,한화,KIA,9,8,무등
42,,,18:30,SK,현대,5,8,수원
43,,06.15(수),18:30,한화,KIA,1,8,무등
44,,,18:30,두산,롯데,1,10,마산
45,,,18:30,삼성,LG,1,8,잠실
46,,,18:30,SK,현대,3,5,수원
47,,06.16(목),18:30,한화,KIA,4,6,무등
48,,,18:30,두산,롯데,8,1,마산
49,,,18:30,삼성,LG,5,2,잠실
50,,,18:30,SK,현대,5,4,수원
51,,06.17(금),18:30,현대,KIA,9,1,군산
52,,,18:30,SK,삼성,3,3,시민
53,,,18:30,한화,두산,5,0,잠실
54,,,18:30,LG,롯데,1,0,사직
55,,06.18(토),18:30,현대,KIA,3,1,군산
56,,,18:30,SK,삼성,9,3,시민
57,,,18:30,한화,두산,0,1,잠실
58,,,18:30,LG,롯데,2,9,사직
59,,06.19(일),14:00,현대,KIA,4,5,군산
60,,,14:00,SK,삼성,10,3,시민
61,,,14:00,한화,두산,2,4,잠실
62,,,14:00,LG,롯데,7,6,사직
63,,06.21(화),18:30,현대,삼성,0,12,시민
64,,,18:30,KIA,LG,13,8,잠실
