,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2017년 04월 15일,36,34,7,5,2,0,0,0,0,1,0,6,0,1,1,1,0,-43,잠실
2017년 04월 15일,44,39,13,12,1,0,0,4,2,4,0,8,0,0,1,0,1,65,대전
2017년 04월 15일,35,34,12,10,1,0,1,5,4,1,0,2,2,0,0,2,0,185,광주
2017년 04월 15일,42,31,9,7,1,1,0,6,6,7,3,6,0,0,1,1,1,177,사직
2017년 04월 15일,39,36,11,9,1,1,0,2,2,2,1,6,0,0,0,2,0,59,마산
2017년 04월 16일,45,39,16,12,1,1,2,12,11,5,1,4,0,0,0,1,1,375,잠실
2017년 04월 16일,35,31,6,6,0,0,0,1,1,2,0,8,0,0,2,0,1,-45,대전
2017년 04월 16일,38,32,11,10,1,0,0,7,7,3,0,4,1,0,3,0,0,216,광주
2017년 04월 16일,33,31,8,7,1,0,0,0,0,2,0,7,0,3,0,1,0,-22,사직
2017년 04월 16일,36,33,11,8,3,0,0,4,4,2,1,6,1,0,0,3,0,134,마산
2017년 04월 18일,51,44,10,8,2,0,0,3,2,6,1,9,0,0,0,2,0,14,잠실
2017년 04월 18일,34,32,9,6,1,0,2,7,7,0,1,5,0,0,1,1,1,194,인천
2017년 04월 18일,32,31,7,6,0,1,0,0,0,1,0,6,0,1,0,1,2,-58,수원
2017년 04월 18일,34,31,6,4,1,1,0,3,2,2,0,4,0,1,1,2,0,12,대전
2017년 04월 18일,40,35,11,10,1,0,0,3,2,3,0,9,0,0,2,1,0,50,사직
2017년 04월 19일,36,31,9,6,1,1,1,2,2,3,0,6,1,0,2,2,0,146,잠실
2017년 04월 19일,35,30,7,4,1,0,2,5,5,2,1,7,1,0,2,0,2,155,인천
2017년 04월 19일,34,31,10,7,3,0,0,3,3,2,0,5,0,1,1,1,0,99,수원
2017년 04월 19일,33,29,8,7,1,0,0,3,3,4,0,4,0,1,0,1,2,46,대전
2017년 04월 19일,37,33,7,6,1,0,0,2,2,4,0,9,1,0,0,1,1,-10,사직
2017년 04월 20일,36,32,8,4,4,0,0,4,4,4,0,9,0,0,0,0,1,81,잠실
2017년 04월 20일,36,33,6,5,0,0,1,3,3,2,1,10,0,0,0,1,0,6,인천
2017년 04월 20일,36,34,6,3,1,0,2,2,2,2,0,14,0,0,0,0,0,12,수원
2017년 04월 20일,37,34,7,6,1,0,0,3,2,3,0,10,1,0,0,0,0,-8,대전
2017년 04월 20일,40,32,8,7,1,0,0,4,4,5,2,6,0,1,1,2,1,50,사직
2017년 04월 21일,35,31,10,6,2,0,2,6,6,2,0,7,0,0,2,1,0,215,잠실
2017년 04월 21일,34,32,8,3,2,0,3,4,4,1,1,8,2,2,0,0,0,182,고척
2017년 04월 21일,41,33,11,6,2,0,3,9,9,4,1,7,0,1,3,1,0,341,인천
2017년 04월 21일,35,32,8,6,2,0,0,2,2,1,0,7,1,1,2,0,0,30,수원
2017년 04월 21일,49,44,7,6,1,0,0,4,3,4,0,15,2,1,1,0,0,-33,대구
2017년 04월 22일,38,38,12,11,1,0,0,4,4,0,0,11,1,1,0,1,0,51,잠실
2017년 04월 22일,34,33,6,5,0,1,0,2,2,0,1,10,1,0,0,0,1,-39,고척
2017년 04월 22일,36,34,11,7,0,1,3,8,8,1,0,6,0,0,1,1,0,284,인천
2017년 04월 22일,41,39,13,7,4,0,2,11,10,2,0,4,1,0,0,0,0,307,수원
2017년 04월 22일,38,33,8,6,1,0,1,6,6,4,0,7,1,0,1,1,0,118,대구
2017년 04월 23일,42,35,15,13,1,0,1,7,6,4,0,5,4,1,3,2,0,292,잠실
2017년 04월 23일,39,35,11,6,3,0,2,6,5,4,0,11,0,0,0,0,0,204,고척
2017년 04월 23일,36,30,6,3,2,0,1,4,4,5,0,10,0,1,1,1,3,51,인천
2017년 04월 23일,35,34,7,7,0,0,0,1,1,1,0,5,0,0,0,0,1,-45,수원
