,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11
0,3땅,유땅, , ,유땅, ,중2, , ,삼진,5,1,0,0,0.300,김경언,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
1,좌안, ,삼진, ,중안, , , , , ,3,2,0,1,0.244,추승우,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
2, , , , , , ,중비, , ,좌비,2,0,0,0,0.287,정현석,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
3,중안, ,4구, ,투땅, ,삼진, , ,중안,4,2,0,0,0.236,장성호,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
4,중안, ,좌안, , ,투번, ,삼진, ,2직,5,2,1,0,0.297,김태완,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
5,유2병, ,투2병, , ,좌홈, ,삼진, , ,4,1,1,1,0.263,신경현,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
6, ,좌중안, ,중비, ,유비, ,유땅, , ,4,1,0,0,0.333,손지환,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
7, ,2땅, ,중비, ,좌안, , ,우비, ,4,1,0,0,0.211,이대수,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
8, ,유땅, ,우비, ,삼진, , , , ,3,0,0,0,0.184,전현태,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
9, , , , , , , , ,투번, ,1,0,0,0,0.167,한윤섭,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
10, ,4구, , ,유땅, ,삼진, ,유비, ,3,0,0,0,0.214,이상훈,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,한화,두산,,
0,1땅, , ,2땅, ,중비, ,중비, ,2실,5,0,0,0,0.327,이종욱,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
1, , , , , , , , , , ,0,0,0,1,0.272,임재철,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
2,투2안, , ,유비, ,우비, ,삼진, ,1희실,4,1,0,0,0.288,오재원,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
3,2유병, , ,중비, , ,좌비, ,4구,중안,4,1,1,1,0.297,김현수,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
4, ,유땅, , ,유땅, ,3비, ,3땅, ,4,0,0,0,0.314,김동주,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
5, ,유땅, , ,삼진, ,좌안, , , ,3,1,0,0,0.313,최준석,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
6, , , , , , , , ,중안, ,1,1,1,1,0.223,고영민,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
7, ,2땅, , ,4구, ,삼진, , , ,2,0,0,0,0.262,이성열,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
8, , , , , , , , ,중안, ,1,1,0,0,0.267,최승환,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
9, , ,삼진, ,좌안, , ,우안, , ,3,2,0,0,0.280,손시헌,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
10, , , , , , , , ,투땅, ,1,0,1,0,0.313,정수빈,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
11, , ,3땅, ,중비, , ,사구, , ,2,0,0,0,0.273,양의지,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
12, , , , , , , , ,4구, ,0,0,0,0,0.205,김재호,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
13, , ,유비, , ,중비, ,포희번,삼진, ,3,0,0,0,0.272,이원석,구장 : 잠실,"관중 : 15,602",2010.08.01(일),개시 : 16:59,경기시간 : 3:21,두산,한화,,
0,4구, ,좌비, ,우안, ,우홈,4구, ,,3,2,1,2,0.313,이용규,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
1,투희번, ,좌2, ,우비, ,중비,좌안, ,,4,2,1,1,0.284,김선빈,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
2,삼진, ,중비, ,삼진, ,1땅,중안, ,,5,1,1,0,0.290,채종범,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
3, , , , , , , , , ,,0,0,0,0,0.314,신종길,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
4,중비, , ,4구, ,삼진,우안,4구, ,,3,1,0,1,0.300,최희섭,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
5, ,유실, ,삼진, ,3땅,우중안, , ,,4,1,0,1,0.207,김상현,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
6, , , , , , , ,2비, ,,1,0,0,0,0.246,이현곤,구장 : 문학,"관중 : 27,439",2010.08.01(일),개시 : 16:59,경기시간 : 2:57,KIA,SK,,
