,0,1,2,3,4,5,6,7,8,9,10,11,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,투땅, ,4구,4구, ,3비, ,1땅, ,유땅, , ,4,0,0,1,0.000,이용규,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
1,유비, ,투땅,2비, , ,2땅, ,유땅, ,우안, ,6,1,0,0,0.167,권용관,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
2,유땅, ,좌안, ,삼진, ,2땅, ,좌안, , , ,5,2,2,0,0.400,김경언,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
3, , , , , , , , , , , , ,0,0,0,0,0.000,장운호,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
4, , , , , , , , , , ,2땅, ,1,0,0,0,0.000,고동진,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
5, ,2땅,4구, ,삼진, ,4구, , , , , ,2,0,0,0,0.000,김태균,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
6, , , , , , , , ,중비, , , ,1,0,0,0,0.000,주현상,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
7, , , , , , , , , , ,3파, ,1,0,0,0,0.000,최진행,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
8, , , , , , , , , , , , ,0,0,0,0,0.000,이시찬,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
9, ,중안,삼진, ,우비, ,유비, ,4구, ,우비, ,5,1,0,0,0.200,김회성,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
10, ,삼진, ,우2, ,좌2, ,우안,사구, , ,유안,5,4,0,2,0.800,모건,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
11, ,유땅, ,투희번, ,3희번, ,삼진,2땅, , ,투희번,3,0,0,0,0.000,정범모,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
12, , ,1땅,4구, ,2직, ,유땅, ,삼진, ,1땅,5,0,0,0,0.000,송주호,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
13, , ,좌중안,중희비, ,좌중안, ,4구, ,1땅, ,삼진,4,2,2,1,0.500,강경학,구장 : 목동,"관중 : 12,500",2015.03.28(토),개시 : 14:00,경기시간 : 4:22,한화,넥센
