,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,삼진, ,삼진, ,유땅, , , , ,3,0,0,0,0.000,오준혁,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
1, , , , , ,중비, , ,삼진,2,0,0,0,0.000,나지완,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
2,삼진, ,2비, ,중안, ,유비, ,삼진,5,1,0,0,0.200,김주형,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
3,우비, , ,사구,유2병, ,3땅, , ,3,0,0,1,0.000,김주찬,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
4, ,2땅, ,좌2, ,좌안,유땅, , ,4,2,0,2,0.500,필,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
5, ,우안, ,4구, ,3땅, ,우중2, ,3,2,0,0,0.667,이범호,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
6, , , , , , , , , ,0,0,0,0,0.000,박찬호,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
7, ,좌비, ,유땅, ,우중2, ,2땅, ,4,1,2,0,0.250,김원섭,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
8, ,삼진, ,삼진, ,우비, , , ,3,0,0,0,0.000,김다원,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
9, , , , , , , ,삼진, ,1,0,0,0,0.000,김호령,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
10, , ,좌홈,좌안, ,4구, ,삼진, ,3,2,1,1,0.667,백용환,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
11, , ,유땅,3땅, ,4구, , ,삼진,3,0,0,0,0.000,김민우,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,KIA,NC,,,
0,삼진, ,삼진,삼진, , , , , ,3,0,0,0,0.000,박민우,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,NC,KIA,,,
1, , , , , , ,1희번, , ,0,0,0,0,0.000,지석훈,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,NC,KIA,,,
2,삼진, ,유안, ,4구, ,삼진, , ,3,1,0,1,0.333,김성욱,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,NC,KIA,,,
3,좌중2, ,3파, ,1직, ,2땅, , ,4,1,0,0,0.250,나성범,구장 : 마산,"관중 : 11,000",2016.04.01(금),개시 : 18:59,경기시간 : 3:11,NC,KIA,,,
