,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
8, ,三땅, , ,二땅,중안, ,사구,중비,4,1,1,0,0.225,홍원기,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,두산,삼성,
9, , ,4구, ,좌비,유땅, ,사구, ,2,0,1,1,0.063,정원석,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,두산,삼성,
10, , ,좌비, ,유땅, , , , ,2,0,0,0,0.368,나주환,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,두산,삼성,
11, , , , , , ,삼진, , ,1,0,0,0,0.240,유재웅,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,두산,삼성,
12, , , , , , , ,二비, ,1,0,0,0,0.232,손시헌,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,두산,삼성,
0,좌파, ,중비, , ,4구, , , ,2,0,0,0,0.301,강동우,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
1, , , , , , , , ,중비,1,0,0,0,0.243,신동주,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
2,좌안, , ,우비, ,二비, , ,4구,3,1,0,0,0.292,박종호,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
3,삼진, , ,二땅, , ,三파, ,투땅,4,0,0,0,0.330,양준혁,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
4,좌비, , ,삼진, , ,三땅, , ,3,0,0,0,0.286,김한수,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
5, ,二땅, , ,중비, ,二땅, , ,3,0,0,0,0.317,박한이,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
6, ,포비, , ,삼진, , ,좌비, ,3,0,0,0,0.270,진갑용,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
7, ,三파, , ,중비, , ,투땅, ,3,0,0,0,0.276,김대익,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
8, , ,우비, , , , , , ,1,0,0,0,0.191,현재윤,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
9, , , , , ,유땅, , , ,1,0,0,0,0.287,김종훈,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
10, , , , , , , ,一땅, ,1,0,0,0,0.167,이정식,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
11, , ,삼진, , , , , , ,1,0,0,0,0.228,조동찬,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
12, , , , , ,삼진, , , ,1,0,0,0,0.063,로페즈,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
13, , , , , , , , ,삼진,1,0,0,0,0.125,강명구,구장 : 시민,"관중 : 2,864",2004.08.01(일),개시 : 17:00,경기시간 : 2:43,삼성,두산,
0,4구, ,삼진, , ,二땅,삼진, , ,3,0,0,0,0.313,정경배,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
1,삼진, , ,三땅, ,一땅,二땅, , ,4,0,0,0,0.184,강혁,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
2,우비, , ,유안, ,사구, , , ,2,1,0,1,0.284,브리또,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
3, , , , , , , ,삼진, ,1,0,0,0,0.212,안재만,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
4,좌비, , ,중안, ,우안, ,二땅, ,4,2,0,0,0.326,김기태,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
5, ,좌중안, ,삼진, ,좌안, ,4구, ,3,2,1,0,0.310,박경완,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
6, , , , , , , , , ,0,0,0,0,0.091,강성우,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
7, ,유비, ,유땅, ,4구, ,삼진, ,3,0,0,0,0.270,이호준,구장 : 잠실,"관중 : 6,595",2004.08.01(일),개시 : 17:00,경기시간 : 2:54,SK,LG,
