,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
9, , , , , , ,삼진, , ,1,0,0,0,0.206,심광호,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,한화,두산,,
10, ,유땅, , ,포파, , ,좌비, ,3,0,0,0,0.263,김민재,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,한화,두산,,
11, , , , , , , , , ,0,0,0,0,0.267,송광민,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,한화,두산,,
0,유땅, , ,삼진, ,3희번,삼진, , ,3,0,0,0,0.291,이종욱,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
1, , , , , , , , , ,0,0,0,0,0.000,이승학,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
2, , , , , , , , , ,0,0,0,0,0.000,정재훈,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
3,삼진, , ,중비, ,4구,우중안, , ,3,1,0,1,0.247,민병헌,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
4,삼진, , ,삼진, ,사구,사구, , ,2,0,0,1,0.265,고영민,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
5, , , , , , , , , ,0,0,0,0,0.148,정원석,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
6, ,삼진, , ,2땅,3땅,사구, , ,3,0,2,0,0.312,김동주,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
7, , , , , , , , , ,0,0,0,0,0.050,윤석민,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
8, ,중비, , ,좌홈,우안,유땅, , ,4,2,3,2,0.244,최준석,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
9, ,삼진, , ,우비,고4, ,좌안, ,3,1,0,0,0.274,안경현,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
10, , , , , , , , , ,0,0,0,0,0.167,전상렬,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
11, , ,삼진, ,좌안,우안, ,1병, ,4,2,1,0,0.292,김현수,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
12, , ,삼진, ,삼진, ,유실,좌중안, ,4,1,0,0,0.241,채상병,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
13, , , , , , , , , ,0,0,0,0,0.156,김진수,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
14, , ,좌비, , ,스낫,2땅, , ,3,0,0,1,0.233,이대수,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
15, , , , , , , ,좌2, ,1,1,0,1,0.333,오재원,구장 : 잠실,"관중 : 7,316",2007.08.01(수),개시 : 18:30,경기시간 : 2:59,두산,한화,,
0,4구,우비,우희비, ,삼진, , ,포파, ,3,0,1,0,0.287,이용규,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
1,4구,우안,유2병, , ,삼진, ,유안, ,4,2,1,1,0.251,김종국,구장 : 문학,"관중 : 7,935",2007.08.01(수),개시 : 18:32,경기시간 : 4:12,KIA,SK,,
