,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,유중2,중안, , ,3파,4구, ,중비, ,4,2,3,2,0.284,박해민,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
1,투땅,3안, , ,2땅,좌중2, , ,좌안,5,3,4,1,0.305,강한울,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
2,중희비,좌비, , ,삼진,중비, , ,유비,4,0,1,0,0.310,구자욱,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
3,1땅, ,삼진, , ,좌비,중비, ,중비,5,0,0,0,0.317,러프,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
4, ,우2,삼진, , ,중안,좌비, , ,4,2,0,2,0.278,이승엽,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
5, , , , , , , , ,우2,1,1,1,0,0.222,최원제,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
6, ,유땅,2땅, , ,4구,삼진, ,유땅,4,0,0,1,0.265,이원석,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
7, ,4구, ,우비, ,삼진, , , ,2,0,0,1,0.303,배영섭,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
8, , , , , , , ,좌안, ,1,1,0,0,0.264,김헌곤,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
9, ,4구, ,삼진, ,중안, ,4구, ,2,1,1,2,0.306,김성훈,구장 : 잠실,"관중 : 19,440",2017.10.01(일),개시 : 14:08,경기시간 : 3:05,삼성,LG,,,
