,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,3땅, ,중비, ,2땅, ,우안, , ,4,1,0,0,0.326,박용택,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
1, , , , , , , , ,중비,1,0,0,0,0.143,최승준,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
2,4구, ,삼진, , , , , , ,1,0,0,1,0.338,손주인,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
3, , , , ,우안, ,삼진, , ,2,1,1,0,0.222,김용의,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
4,우안, ,4구, ,4구, , ,중비, ,2,1,0,1,0.317,조쉬벨,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
5,유비, ,삼진, ,2비, , ,좌중2, ,4,1,0,1,0.289,정의윤,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
6,중홈, , ,삼진, ,좌파, ,2땅, ,4,1,3,1,0.259,이병규,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
7,3파, , ,중안, ,중비, ,좌안, ,4,2,1,0,0.337,이진영,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
8, , , , , , , , , ,0,0,0,0,0.214,박용근,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
9, ,삼진, ,2유병, ,2땅, , , ,3,0,0,0,0.128,이병규,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
10, , , , , , , ,1파, ,1,0,0,0,0.222,임재철,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
11, ,중비, , ,좌중안, ,우비, ,2비,4,1,0,0,0.217,최경철,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
12, ,2땅, , ,2땅, ,중비, ,중비,4,0,0,1,0.273,오지환,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,LG,NC,,,
0,투실,좌파, ,우3,좌2, ,좌안, , ,5,3,3,3,0.319,박민우,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
1,우안, , , , , , , , ,1,1,0,0,0.223,이종욱,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
2, ,중비, ,중희비,포파, ,유땅, , ,3,0,1,1,0.242,오정복,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
3,삼진, ,삼진,중안,우중안, , ,1땅, ,5,2,1,0,0.330,나성범,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
4,좌안, ,4구,중비,중비, , , , ,3,1,1,0,0.280,이호준,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
5, , , , , , , ,유실, ,1,0,0,0,0.000,박정준,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
6,좌희비, ,삼진, ,3파,중비, , , ,3,0,1,0,0.297,테임즈,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
7, , , , , , , ,3땅, ,1,0,0,0,0.375,조영훈,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
8,중비, ,투안, ,4구,좌비, , , ,3,1,0,1,0.247,모창민,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
9, , , , , , , ,3땅, ,1,0,0,0,0.125,이상호,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
10, ,우중2,1파, ,4구,유땅, , , ,3,1,0,2,0.320,권희동,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
11, ,삼진, ,좌2,유실, ,중안, , ,4,2,0,2,0.274,손시헌,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
12, , , , , , , , , ,0,0,0,0,0.345,지석훈,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
13, ,좌안, ,투희번,투실, ,2유병, , ,3,1,2,1,0.290,김태군,구장 : 마산,"관중 : 7,554",2014.05.01(목),개시 : 18:29,경기시간 : 3:10,NC,LG,,,
