,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,4구/ 좌2, , ,중비, ,좌안, ,우안, ,4,3,3,1,0.305,이대형,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
1,우중3/ 유비, , ,2땅, ,중비, ,우비, ,5,1,1,1,0.293,이종열,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
2, , , , , , , , , ,0,0,0,0,0.223,권용관,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
3,중안,우비, ,유직, , ,우비,삼진, ,5,1,1,1,0.283,발데스,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
4, , , , , , , , , ,0,0,0,0,0.000,경헌호,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
5, , , , , , , , , ,0,0,0,0,0.000,김재현,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
6, , , , , , , , , ,0,0,0,0,0.000,심수창,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
7,중비,유파, , ,우안, ,2땅, ,삼진,5,1,0,0,0.278,박용택,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
8,4구,3땅, , ,우비, ,좌비, ,중안,4,1,0,1,0.292,최동수,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
9,좌2, ,3땅, ,삼진, , ,3좌안,3비,5,2,1,2,0.286,김상현,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
10,좌안, ,중안, ,삼진, , ,사구, ,3,2,2,2,0.220,황선일,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
11, , , , , , , , ,2땅,1,0,0,0,0.290,정의윤,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
12,중안, ,3비, , ,좌안, ,유땅, ,4,2,0,1,0.328,조인성,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
13,3직, ,우안, , ,2병, ,중안, ,4,2,1,0,0.232,박경수,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,LG,두산,,,
0,삼진, ,삼진, , ,1땅,우중안, ,4구,4,1,0,0,0.287,이종욱,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
1, , , , , , , , , ,0,0,0,0,0.267,윤재국,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
2,중비, , ,중비, ,좌안,중안, ,좌비,5,2,1,1,0.231,김현수,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
3,1파, , ,우안, ,우중3,3땅, ,좌비,5,2,1,1,0.306,안경현,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
4, ,좌안, ,삼진, ,좌안, ,2땅, ,4,2,1,0,0.344,김동주,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
5, ,삼진, ,유비, ,좌비, ,2비, ,4,0,0,0,0.239,최준석,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
6, ,삼진, , ,삼진,중비, ,3땅, ,4,0,0,0,0.271,고영민,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
7, ,우비, , ,삼진, ,4구, ,3땅,3,0,0,0,0.184,안상준,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
8, , ,좌비, ,3유안, ,유병, , ,3,1,0,0,0.182,채상병,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
9, , , , , , , , ,중안,1,1,0,0,0.208,김진수,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
10, , ,3땅, ,유땅, ,유안, ,4구,3,1,0,1,0.220,민병헌,구장 : 잠실,"관중 : 12,496",2007.06.01(금),개시 : 18:31,경기시간 : 3:13,두산,LG,,,
0,좌안, ,삼진, ,2실,유땅, , , ,4,1,0,1,0.304,전준호,구장 : 문학,"관중 : 4,072",2007.06.01(금),개시 : 18:31,경기시간 : 5:10,현대,SK, , , 
1, , , , , , , ,4구, ,2,1,0,2,0.193,유한준,구장 : 문학,"관중 : 4,072",2007.06.01(금),개시 : 18:31,경기시간 : 5:10,현대,SK,2직, ,3안
2,투희번, ,삼진, ,좌비, ,좌안, , ,3,1,0,0,0.232,김일경,구장 : 문학,"관중 : 4,072",2007.06.01(금),개시 : 18:31,경기시간 : 5:10,현대,SK, , , 
