,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,3땅,우비, ,우비, ,좌홈, ,2땅, ,5,1,1,1,0.440,나주환,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
1,사구, ,우안,4구, ,1땅, , ,삼진,3,1,0,1,0.250,한동민,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
2,삼진, ,2비,중2, ,유직, , ,중안,5,2,1,0,0.289,최정,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
3,좌안, ,삼진,삼진, ,1파, , ,2병,5,1,0,0,0.312,정의윤,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
4, , , , , , , , , ,0,0,0,0,0.323,김재현,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
5,투직, ,삼진, ,2땅, ,유땅, , ,4,0,0,0,0.318,김성현,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
6, ,삼진, ,유안,유땅, ,좌비, , ,4,1,0,1,0.283,고메즈,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
7, ,우안, ,4구,좌중안, ,유땅, , ,3,2,0,1,0.291,이재원,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
8, ,삼진, , , , , , , ,1,0,0,0,0.336,김동엽,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
9, , , ,삼진, , , , , ,1,0,0,0,0.241,조동화,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
10, , , , ,중안, , ,2땅, ,2,1,0,0,0.276,최승준,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
11, ,4구, ,좌2,유땅, , ,삼진, ,3,1,2,1,0.300,김강민,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,SK,LG,
0,중안, ,1땅, , ,중안, ,삼진, ,4,2,0,0,0.328,김용의,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
1,2땅, ,2땅, , , , , , ,2,0,0,0,0.287,이천웅,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
2, , , , , ,4구, , ,투땅,1,0,0,0,0.288,문선재,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
3,1땅, , ,중안, ,4구, , ,좌파,3,1,0,0,0.348,박용택,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
4,좌비, , ,3병, ,3병, , ,삼진,4,0,0,0,0.308,히메네스,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
5, ,4구, , , , , , , ,0,0,0,0,0.276,이병규,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
6, , , ,삼진, , ,삼진, , ,2,0,0,0,0.283,이형종,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
7, ,삼진, , ,유비, ,좌안, , ,3,1,0,0,0.277,오지환,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
8, ,유땅, , ,삼진, ,1병, , ,3,0,0,0,0.322,정성훈,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
9, , ,사구, ,우파, , , , ,1,0,0,0,0.267,유강남,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
10, , , , , , , ,유땅, ,1,0,0,0,0.175,정상호,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
11, , ,투희번, , ,1땅, ,유땅, ,2,0,0,0,0.320,손주인,구장 : 잠실,"관중 : 21,161",2016.10.01(토),개시 : 17:00,경기시간 : 3:02,LG,SK,
