,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,삼진, ,1땅, , ,투땅, ,좌안/ 중안, ,5,2,2,1,0.355,전준호,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
1,4구, ,우비, , ,중안, ,4구/ 중비, ,3,1,0,1,0.267,김일경,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
2,유병, , ,삼진, ,1땅, ,투희실/ 좌안, ,4,1,0,1,0.408,이숭용,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
3, ,3땅, ,3직, ,4구, ,우안/ 유땅, ,4,1,2,1,0.240,브룸바,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
4, ,삼진, ,중비, ,우비, ,사구, ,3,0,0,0,0.231,송지만,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
5, , , , , , , , ,좌안,1,1,0,1,0.190,유한준,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
6, ,좌안, , ,우비, ,유땅,사구, ,3,1,1,1,0.247,정성훈,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
7, , , , , , , , ,삼진,1,0,0,0,0.250,황재균,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
8, ,유땅, , ,사구, ,좌홈,우안,3비,4,2,2,2,0.244,이택근,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
9, , ,중안, ,좌비, ,중안,우안,2땅,5,3,1,0,0.290,김동수,구장 : 잠실,"관중 : 7,291",2007.05.01(화),개시 : 18:30,경기시간 : 3:41,현대,LG,,,
