,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14,15,16,17
13, , , , , , , , , ,1,0,0,0,0.192,김태완,구장 : 잠실,"관중 : 2,464",2008.09.05(금),개시 : 18:29,경기시간 : 3:59,LG,SK, ,삼진,,,,,,,
14, , ,좌안, ,2땅, ,삼진, ,중안,4,2,1,0,0.249,김상현,구장 : 잠실,"관중 : 2,464",2008.09.05(금),개시 : 18:29,경기시간 : 3:59,LG,SK, , ,,,,,,,
15, , ,1희번, ,1땅, ,좌중안, ,3파,3,1,0,0,0.231,권용관,구장 : 잠실,"관중 : 2,464",2008.09.05(금),개시 : 18:29,경기시간 : 3:59,LG,SK, , ,,,,,,,
0,중안, ,2땅, ,4구, ,4구, , ,2,1,0,0,0.330,박한이,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
1,삼진, , ,유땅,삼진, ,삼진, , ,4,0,0,0,0.298,강봉규,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
2, , , , , , , , , ,0,0,0,0,0.283,박석민,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
3,4구, , ,중안, ,중비, ,중비, ,3,1,0,0,0.275,양준혁,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
4,2병, , ,삼진, ,2땅, ,삼진, ,4,0,0,0,0.277,최형우,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
5, , , , , , , , , ,0,0,0,0,0.000,이영욱,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
6, ,포땅, , ,삼진,4구, ,유땅, ,3,0,0,0,0.290,김창희,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
7, ,우비, , ,중안,중비, , ,우파,4,1,0,0,0.175,손지환,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
8, ,3땅, , ,2땅, ,삼진, ,우파,4,0,0,1,0.202,조동찬,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
9, , ,우비, ,좌2, ,2땅, ,4구,3,1,1,0,0.224,현재윤,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
10, , ,2땅, ,4구, ,4구, ,1비,2,0,0,0,0.174,신명철,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,삼성,한화,,,,,,,,,
0,중비, ,삼진, ,좌안, ,포땅, , ,4,1,0,1,0.260,추승우,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
1,4구, ,삼진, ,4구, , , , ,1,0,0,0,0.202,윤재국,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
2, , , , , , ,삼진, , ,1,0,0,0,0.286,송광민,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
3, , , , , , , , , ,0,0,0,0,0.000,정현석,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
4,좌비, ,유땅, ,우안, ,2비, , ,4,1,1,0,0.252,클락,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
5,3땅, , ,중홈,4구, , ,삼진, ,3,1,1,1,0.329,김태균,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
6, ,3땅, ,중비,유병, , ,1실, ,4,0,0,0,0.271,김태완,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
7, , , , , , , , , ,0,0,0,1,0.000,한윤섭,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
8, ,우안, ,삼진, ,삼진, ,좌중2, ,4,2,1,0,0.212,한상훈,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
9, ,삼진, ,중안, ,유땅, , , ,3,1,0,0,0.276,신경현,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
10, , , , , , , ,삼진, ,1,0,0,0,0.217,이희근,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
11, ,유안, ,좌안, ,사구, , , ,2,2,0,0,0.178,이여상,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
12, , , , , , , ,유땅, ,1,0,0,0,0.289,이범호,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
13, ,중비, ,중비, ,삼진, , , ,3,0,0,0,0.243,김민재,구장 : 대전,"관중 : 3,798",2008.09.05(금),개시 : 18:30,경기시간 : 2:58,한화,삼성,,,,,,,,,
0,4구/ 3땅, ,우안, ,유땅, , , , ,3,1,0,2,0.299,김주찬,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
1, , , , , , ,2땅, , ,1,0,0,0,0.218,박현승,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
2,우안/ 삼진, ,4구, ,중안, ,삼진, , ,4,2,0,2,0.293,이인구,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
3,좌2,4구,중안, , , , , , ,2,2,3,1,0.323,조성환,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
4, , , , ,32병, , ,2땅, ,2,0,0,1,0.263,이원석,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
5,좌중2,좌비,좌중안, , ,2비, , , ,4,2,4,1,0.308,이대호,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
6, , , , , , , ,3직, ,1,0,0,0,0.000,김민성,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
7,우홈,좌비,포파, , ,우안, , , ,4,2,2,1,0.277,가르시아,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
8, , , , , , , ,우비, ,1,0,0,0,0.281,정보명,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
9,3직,삼진, ,삼진, ,4구, , , ,3,0,0,0,0.293,강민호,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
10, , , , , , , , ,2땅,1,0,0,0,0.000,이동훈,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
11,투좌안, ,중비,우2, ,사구, , ,2땅,4,2,0,1,0.350,손광민,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
12,4구, ,유땅,포파, ,32병, , ,삼진,4,0,0,0,0.231,전준우,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
13,우2, ,우안,삼진, , ,우비, , ,4,2,1,1,0.267,박기혁,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
14, , , , , , , , , ,0,0,0,0,0.097,최만호,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,롯데,KIA,,,,,,,,,
0,유비, ,우비, ,우비, , ,좌파, ,4,0,0,0,0.313,이용규,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
1,유직, ,삼진, ,2유병, , , , ,3,0,0,0,0.286,이종범,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
2, , , , , , , ,유땅, ,1,0,0,0,0.103,강동우,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
3,우2, , ,2비, , , , , ,2,1,0,0,0.314,장성호,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
4, , , , , ,3땅, ,3직, ,2,0,0,0,0.223,김주형,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
5,4구, , ,2안, ,4구, , ,4구,1,1,0,1,0.279,나지완,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
6,유땅, , , , , , , , ,1,0,0,0,0.303,김상훈,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
7, , , ,좌중2, ,좌비, , , ,2,1,1,1,0.260,차일목,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
8, , , , , , , , ,중비,1,0,0,0,0.303,최경환,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
9, ,유비, ,4구, ,중비, , , ,2,0,0,0,0.298,김원섭,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
10, , , , , , , , ,중비,1,0,0,0,0.230,최희섭,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
11, ,3땅, ,우희비, , ,유땅, , ,2,0,1,0,0.261,이현곤,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
12, , , , , , , , ,유땅,1,0,0,0,0.136,김형철,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
13, ,우비, ,중비, , ,유땅, , ,3,0,0,0,0.262,김선빈,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
14, , ,삼진, ,좌안, ,3땅, , ,3,1,0,0,0.233,김종국,구장 : 무등,"관중 : 6,322",2008.09.06(토),개시 : 17:00,경기시간 : 2:57,KIA,롯데,,,,,,,,,
0,사구/ 삼진, , ,3땅, , , , , ,2,0,0,1,0.256,고영민,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
1, , , , ,삼진, ,삼진, ,삼진,3,0,0,0,0.227,오재원,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
2,우중안,투땅, ,좌안,3안, ,유직, , ,5,3,0,2,0.229,이대수,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
3, , , , , , , , , ,0,0,0,0,0.286,최주환,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
4,사구,1땅, ,우2,4구, , , , ,2,1,0,2,0.338,김현수,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
5, , , , , , ,삼진, , ,1,0,0,0,0.233,전상렬,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
6,좌홈,4구, ,중안,삼진, , , , ,3,2,6,2,0.310,김동주,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
7, , , , , , , ,우비, ,1,0,0,0,0.241,김재호,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
8,2땅,1땅, ,중안, ,우비, , , ,4,1,0,0,0.343,홍성흔,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
9, , , , , , , ,4구, ,0,0,0,0,0.238,최준석,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
10,중안, ,좌안,4구, ,1땅, ,투땅, ,4,2,0,1,0.306,유재웅,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
11,유비, ,삼진,2땅, ,우중안, ,삼진, ,5,1,1,1,0.218,이성열,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
12,중안, ,유땅,3땅, ,우중2, , , ,4,2,1,0,0.210,채상병,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
13, , , , , , , , ,2땅,1,0,0,0,0.194,최승환,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
14,우안, ,삼진, ,유땅,삼진, , ,우비,5,1,1,0,0.218,정원석,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,두산,우리,,,,,,,,,
0,4구, ,좌안, ,3파, , ,4구, ,2,1,0,0,0.287,송지만,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
1, , , , , , , , , ,0,0,0,1,0.229,정수성,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
2, , , , , , , , ,중안,1,1,0,0,0.277,이숭용,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
3,우안, ,삼진, , ,유실, ,삼진,1땅,5,1,0,0,0.278,김남형,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
4,유2병, ,삼진, , , , , , ,2,0,0,0,0.268,정성훈,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
5, , , , , ,삼진, ,4구,1직,2,0,0,1,0.000,김민우,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
6,3땅, , ,유땅, , , , , ,2,0,0,0,0.325,이택근,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
7, , , , , ,투땅, ,4구,삼진,2,0,0,0,0.000,전동수,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
8, ,중안, ,3안, ,3땅, ,중안, ,4,3,2,0,0.269,강정호,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
9, ,삼진, ,중비, , ,유땅, , ,3,0,0,0,0.235,권도영,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
10, , , , , , , ,삼진, ,1,0,0,0,0.438,조중근,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
11, ,야선, , , , , , , ,1,0,0,0,0.243,강귀태,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
12, , , ,삼진, , ,좌안, , ,2,1,0,0,0.333,허준,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
13, , , , , , , ,삼진, ,1,0,0,0,0.000,장민석,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
14, ,유2병, , ,3땅, ,중비, ,중2,4,1,0,1,0.239,황재균,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
15, , ,삼진, ,유땅, , , , ,2,0,0,0,0.258,김일경,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
16, , , , , , ,삼진, , ,1,0,0,0,0.329,전준호,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
17, , , , , , , , ,좌안,1,1,1,0,0.226,김동수,구장 : 목동,"관중 : 4,829",2008.09.06(토),개시 : 17:01,경기시간 : 3:02,우리,두산,,,,,,,,,
0,좌안,3병, ,중안,좌비, , ,삼진, ,5,2,0,1,0.298,정근우,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
1,중비, ,중비,우비, ,중비, ,1땅, ,5,0,0,0,0.302,박재상,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
2,2땅, ,4구,우중3, ,1직, ,좌중2, ,4,2,1,3,0.312,김재현,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
3, , , , , , , , , ,0,0,0,1,0.233,모창민,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
4,4구, ,삼진,좌2, ,우안, ,좌2, ,4,3,2,0,0.331,박재홍,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
5,좌안, ,좌안, , , , , , ,2,2,1,1,0.319,최정,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
6, , , ,유땅, , , , , ,1,0,0,0,0.316,이진영,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
7, , , , , ,중안, ,유땅, ,2,1,0,0,0.262,나주환,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
8,투땅, ,좌안, ,유안,좌비, , , ,4,2,1,0,0.291,김강민,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
9, , , , , , , , ,1땅,1,0,0,0,0.289,조동화,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
10, ,삼진,중안, ,우비, ,2땅, ,포파,5,1,1,0,0.230,정상호,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
11, ,우안,중비, ,유실, ,유땅, ,좌안,5,2,0,0,0.375,박정환,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
12, ,우안, ,삼진,우비, ,3파, ,2땅,5,1,0,0,0.200,권영진,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,SK,LG,,,,,,,,,
0,좌안, ,삼진, ,좌안, , , , ,3,2,0,0,0.266,이대형,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
1, , , , , , ,중안, , ,1,1,0,0,0.500,임도현,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
2,좌파, ,2땅, ,1땅, ,좌비, , ,4,0,0,0,0.267,박용택,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
3,4구, ,4구, ,중비, , ,좌비, ,2,0,0,0,0.311,안치용,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
4,4구, ,좌안, , ,중비, ,유땅, ,3,1,1,0,0.265,최동수,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
5,2병, ,유땅, , ,삼진, ,삼진, ,4,0,0,0,0.233,이병규,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
6, ,삼진, ,삼진, ,유땅, , ,유땅,4,0,0,0,0.243,김상현,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
7, ,3파, ,유땅, , ,삼진, ,3땅,4,0,0,0,0.243,조인성,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
8, ,유땅, ,중비, , , , , ,2,0,0,0,0.228,권용관,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
9, , , , , , ,사구, , ,0,0,0,0,0.231,서동욱,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
10, , , , , , , , , ,0,0,0,0,0.188,박용근,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
11, , , , , , , , ,4구,0,0,0,0,0.278,손인호,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
12, , ,우안, ,중비, ,삼진, ,삼진,4,1,0,1,0.271,박경수,구장 : 잠실,"관중 : 6,376",2008.09.06(토),개시 : 17:00,경기시간 : 3:28,LG,SK,,,,,,,,,
0,좌비, ,우2, ,우홈, , ,좌안, ,4,3,1,1,0.335,박한이,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
1,삼진, ,투희번, , , , , , ,1,0,0,0,0.250,우동균,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
2, , , , ,삼진, , ,우비, ,2,0,0,0,0.288,김창희,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
3,4구, ,중비, ,유땅, , ,2땅, ,3,0,0,1,0.272,양준혁,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
4,4구, ,2땅, , ,삼진, ,4구, ,2,0,0,1,0.275,최형우,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
5, , , , , , , , , ,0,0,0,0,0.132,허승민,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
6,우홈, , ,삼진, ,우비, , , ,3,1,3,1,0.299,강봉규,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
7, , , , , , , ,투땅, ,1,0,0,0,0.282,박석민,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
8,유땅, , ,유땅, ,중비, , , ,3,0,0,0,0.167,손지환,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
9, , , , , , , , ,삼진,1,0,0,0,0.173,신명철,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
10, ,좌비, ,2땅, , , , , ,2,0,0,0,0.198,조동찬,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
11, , , , , , ,좌비, ,좌비,2,0,0,0,0.213,박진만,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
12, ,유땅, , ,좌홈, ,2땅, , ,3,1,1,1,0.227,현재윤,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
13, , , , , , , , ,우비,1,0,0,0,0.275,진갑용,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
14, ,중비, , ,우비, ,2땅, , ,3,0,0,0,0.227,김재걸,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,삼성,한화,,,,,,,,,
0,2땅, ,사구,중비, ,삼진, , ,1비,4,0,0,1,0.257,추승우,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,한화,삼성,,,,,,,,,
1,좌안, ,우홈,중안, , ,삼진, , ,4,3,2,1,0.302,송광민,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,한화,삼성,,,,,,,,,
2,중비, ,유땅,2비, , ,삼진, , ,4,0,0,0,0.250,클락,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,한화,삼성,,,,,,,,,
3,좌비, ,중안, ,4구, ,좌비, , ,3,1,0,0,0.329,김태균,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,한화,삼성,,,,,,,,,
4, ,좌안,1파, ,좌안, , ,우비, ,4,2,0,1,0.291,이범호,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,한화,삼성,,,,,,,,,
5, ,좌중안,4구, ,2유병, , ,1비, ,3,1,0,0,0.271,김태완,구장 : 대전,"관중 : 6,734",2008.09.06(토),개시 : 17:00,경기시간 : 3:02,한화,삼성,,,,,,,,,
