,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14,15,16,17
1, , , , , ,삼진, , ,중2,2,1,0,1,0.200,윤재국,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
2,3땅, , ,2비, ,투땅, , , ,3,0,0,0,0.249,김민재,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
3, , , , , , , , ,좌안,1,1,0,0,0.168,이여상,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
4,중비, , ,투번, , ,2땅, ,2유병,4,0,0,0,0.254,클락,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
5, ,3땅, ,유땅, , ,중안, ,중안,4,2,0,0,0.328,김태균,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
6, , , , , , , , , ,0,0,0,0,0.154,오선진,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
7, ,유땅, , ,우비, ,32병, ,1땅,4,0,0,0,0.293,이범호,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
8, ,좌비, , ,3땅, , ,중안, ,3,1,0,0,0.276,김태완,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
9, , ,좌비, ,유땅, , ,유땅, ,3,0,0,0,0.213,한상훈,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
10, , ,우3, , ,3땅, ,2땅, ,3,1,0,0,0.283,신경현,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
11, , , , , , , , , ,0,0,0,0,0.225,이희근,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
12, , ,유땅, , , , , , ,1,0,0,0,0.000,정현석,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
13, , , , , ,중안, ,2땅, ,2,1,0,0,0.260,추승우,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,한화,두산,,,,,,,,,
0,좌2, ,좌비,삼진, ,4구, ,중안, ,4,2,0,2,0.305,이종욱,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
1,유땅, ,사구, ,중안,좌홈, ,삼진, ,4,2,4,2,0.262,고영민,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
2,좌안, ,좌중안, ,삼진,좌비, , , ,4,2,1,0,0.343,김현수,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
3,중비, ,중안, ,삼진, ,중안, , ,4,2,1,0,0.306,김동주,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
4, , , , , , , , , ,0,0,0,0,0.232,오재원,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
5,삼진, ,3땅, ,유땅, ,유2병, , ,4,0,0,0,0.341,홍성흔,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
6, ,좌안,고4, , ,삼진,우중안, , ,3,2,0,0,0.250,최준석,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
7, , , , , , , , , ,0,0,0,0,0.215,정원석,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
8, ,투희번,2땅, , ,우중안,1땅, , ,3,1,0,1,0.255,전상렬,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
9, ,투땅, ,유땅, ,우안, ,삼진, ,4,1,0,1,0.212,채상병,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
10, ,삼진, ,2땅, , , , , ,2,0,0,0,0.243,김재호,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
11, , , , , ,좌비, ,우비, ,2,0,0,0,0.204,이대수,구장 : 잠실,"관중 : 28,821",2008.09.02(화),개시 : 18:30,경기시간 : 2:53,두산,한화,,,,,,,,,
0,2땅, ,2땅, ,투땅, , ,유땅, ,4,0,0,0,0.285,송지만,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
1,삼진, ,2실, , ,유땅, ,야선, ,4,0,1,0,0.000,전동수,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
2,투땅, , ,우안, ,2땅, ,유땅, ,4,1,0,0,0.273,정성훈,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
3, ,4구, ,유2병, ,3땅, ,삼진, ,3,0,0,0,0.326,이택근,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
4, ,삼진, ,삼진, , ,좌안, , ,3,1,0,0,0.293,브룸바,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
5, , , , , , , , , ,0,0,0,1,0.229,정수성,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
6, , , , , , , , ,우비,1,0,0,0,0.444,김남형,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
7, ,좌비, , ,유땅, ,2땅, , ,3,0,0,0,0.271,이숭용,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
8, , , , , , , , ,우비,1,0,0,0,0.238,황재균,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
9, ,4구, , ,중안, ,중희비, ,우안,2,2,1,0,0.260,강정호,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
10, ,유땅, , , , , , , ,1,0,0,0,0.249,강귀태,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
11, , , , ,좌비, , , , ,1,0,0,0,0.333,전준호,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
12, , , , , , ,유땅, , ,1,0,0,0,0.224,김동수,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
13, , , , , , , , ,삼진,1,0,0,0,0.000,허준,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
14, , ,삼진, ,좌안, , , , ,2,1,0,0,0.263,김일경,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
15, , , , , , , ,좌중2, ,1,1,0,0,0.444,조중근,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
16, , , , , , , , , ,0,0,0,1,0.000,장민석,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
17, , , , , , , , , ,0,0,0,0,0.248,권도영,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,우리,SK,,,,,,,,,
0,유안,유땅, ,우비, , ,포희번,3파, ,4,1,0,1,0.299,정근우,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
1,중비, ,우안, ,1땅, ,2땅, , ,4,1,0,1,0.289,조동화,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
2,2땅, ,1비, ,삼진, ,4구, , ,3,0,1,0,0.307,김재현,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
3,유실, ,중안, ,삼진, ,삼진, , ,4,1,1,0,0.327,박재홍,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
4, , , , , , , , , ,0,0,0,0,0.311,박재상,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
5, , , , , , , , , ,0,0,0,0,0.231,권영진,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
6,삼진, ,삼진, , ,3안, ,우안, ,4,2,0,1,0.315,최정,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
7, ,투번,유비, , ,우비, ,2비, ,4,0,0,0,0.321,이진영,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
8, ,중비, ,좌안, ,삼진, ,좌중2, ,4,2,0,1,0.276,김강민,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
9, ,중안, ,1파, ,포파, ,우안, ,4,2,1,0,0.226,정상호,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
10, ,좌안, ,삼진, , ,좌2, , ,3,2,0,0,0.232,모창민,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
11, , , , , , , ,2땅, ,1,0,0,0,0.262,나주환,구장 : 문학,"관중 : 13,540",2008.09.02(화),개시 : 18:31,경기시간 : 3:20,SK,우리,,,,,,,,,
0,삼진, ,유땅, ,2땅, ,1안, ,1안,5,2,0,1,0.263,이대형,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
1,중비, ,중비, ,2땅, ,중비, ,우중2,5,1,1,0,0.269,박용택,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
2,좌2, ,4구, ,좌안, ,우비, ,우안,4,3,0,0,0.314,안치용,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
3,중비, ,2땅, ,4구, , ,4구, ,2,0,0,0,0.344,페타지니,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
4, , , , , , , , ,투땅,1,0,0,0,0.000,임도현,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,LG,롯데,,,,,,,,,
