,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11
0,삼진, ,좌안,중비, , , , , , , ,3,1,0,0,0.333,신성현,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
1, , , , , ,1땅, ,좌비, ,4구, ,2,0,0,0,0.000,하주석,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
2,좌안, ,1희번, ,2땅,우안, , ,우안,우비, ,5,3,2,0,0.500,장민석,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
3,좌안, ,우비, ,4구, ,중안, ,투희번, ,우안,4,3,0,0,0.500,송광민,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
4,삼진, ,4구, ,좌비, ,3땅, ,4구, ,우안,4,1,0,1,0.167,김태균,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
5,중비, ,삼진, ,중비, , , , , , ,3,0,0,0,0.000,최진행,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
6, , , , , , ,삼진, , , , ,1,0,0,0,0.000,김주현,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
7, , , , , , , , ,삼진, ,3희번,1,0,0,0,0.000,이동훈,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
8, ,좌홈, ,좌안, ,유비,삼진, ,2비, ,고4,5,2,1,3,0.333,로사리오,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
9, ,삼진, ,3땅, ,3안, ,포파, ,좌중안, ,5,2,0,0,0.250,조인성,구장 : 잠실,"관중 : 20,636",2017.04.01(토),개시 : 14:14,경기시간 : 5:07,한화,두산,
