,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,좌홈,삼진, , ,중희비, ,2땅, ,2안,4,2,2,1,0.283,이종범,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
1,4구, ,4구, ,유직, ,4구, ,삼진,2,0,0,0,0.241,안치홍,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
2,삼진, ,삼진, , ,중안,1땅, ,삼진,5,1,0,1,0.253,최희섭,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
3,4구, ,유비, , ,좌홈, ,3실, ,3,1,2,1,0.269,김상현,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
4, , , , , , , , , ,0,0,0,0,0.000,김형철,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
5,삼진, , ,2직, ,우비, ,중비, ,4,0,0,0,0.221,김상훈,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
6,3땅, , ,삼진, ,2비, , , ,3,0,0,0,0.185,이재주,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
7, , , , , , , ,삼진, ,1,0,0,0,0.270,홍세완,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
8, ,삼진, ,1파, ,1비, ,유땅, ,4,0,0,0,0.237,나지완,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
9, ,좌비, , ,중2, , , , ,2,1,0,1,0.150,최경환,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
10, , , , , , ,우비, , ,1,0,0,0,0.188,차일목,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
11, , , , , , , , , ,0,0,0,0,0.000,이호신,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
12, , , , , , , , ,삼진,1,0,0,0,0.171,박기남,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
13, ,좌중안, , ,중안, ,3안, ,중안,4,4,0,0,0.251,이현곤,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,KIA,삼성,
0,유땅,중안, , ,3땅, ,삼진, , ,4,1,0,0,0.274,신명철,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
1,중홈,좌안, , ,3비, ,유땅, , ,4,2,1,1,0.280,최형우,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
2, , , , , , , , , ,0,0,0,0,0.233,허승민,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
3,4구,투땅, , ,중안, ,2땅, , ,3,1,0,1,0.319,강봉규,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
4,2땅, ,1파, ,4구, , ,유땅, ,3,0,0,1,0.312,양준혁,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
5,사구, ,3땅, ,좌중홈, , ,중비, ,3,1,3,1,0.255,박석민,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
6, , , , , , , , , ,0,0,0,0,0.216,김재걸,구장 : 시민,"관중 : 4,485",2009.07.01(수),개시 : 18:29,경기시간 : 3:08,삼성,KIA,
