,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11,12
2,우비, , ,좌중안,좌비, ,4구, ,우2,,,4,2,1,0,0.291,안치용,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
3,삼진, , ,4구, ,우중안, , , ,,,2,1,0,0,0.262,최동수,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
4, , , , , , ,4구, ,좌비,,,1,0,0,1,0.154,김용의,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
5, ,사구, ,유땅, ,좌중안,유땅, ,투땅,,,4,1,0,2,0.250,서동욱,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
6, ,2유병, ,중안, ,우중3, ,삼진, ,,,4,2,2,2,0.242,김상현,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
7, ,삼진, ,좌홈, ,좌희비, ,중비, ,,,3,1,4,1,0.225,조인성,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
8, , ,삼진,2땅, , , , , ,,,2,0,0,0,0.333,임도현,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
9, , , , , ,중비, ,좌안, ,,,2,1,0,0,0.254,이병규,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
10, , ,1땅, ,좌안,유땅, ,유땅, ,,,4,1,0,0,0.230,권용관,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,LG,두산,,
0,4구,유땅, ,좌안, ,1번, ,좌비, ,,,4,1,0,0,0.303,이종욱,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
1,1땅,2땅, ,좌안, ,유땅, ,중비, ,,,5,1,0,1,0.251,오재원,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
2,우중안, ,우안,1땅, , ,4구,삼진, ,,,4,2,0,1,0.360,김현수,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
3,중안, ,우비, ,투안, ,4구, ,삼진,,,4,2,1,0,0.310,김동주,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
4,3파, ,중안, ,중비, ,중비, ,유비,,,5,1,0,0,0.331,홍성흔,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
5,유땅, ,2땅, ,3땅, ,삼진, ,우비,,,5,0,0,0,0.263,고영민,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
6, ,중안,삼진, ,삼진, ,4구, , ,,,3,1,0,0,0.280,유재웅,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
7, ,좌안,2땅, , ,3안,유땅, , ,,,4,2,0,0,0.216,채상병,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
8, ,투희번, ,3땅, ,중비, ,좌2, ,,,3,1,0,0,0.274,이대수,구장 : 잠실,"관중 : 10,915",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,두산,LG,,
0,유땅, ,삼진, ,유땅, , , , ,,,3,0,1,0,0.314,김주찬,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
1, , , , , , ,삼진, , ,,,1,0,0,0,0.172,박종윤,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
2,중비, ,유땅, ,삼진, , ,유땅, ,,,4,0,0,0,0.293,이인구,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
3,중안, , , , , , , , ,,,1,1,0,0,0.328,조성환,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
4, , ,삼진, , ,유땅, ,1비, ,,,3,0,0,0,0.111,김민성,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
5,삼진, , ,3땅, ,우안, ,유땅, ,,,4,1,0,0,0.302,이대호,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
6, ,우안, ,삼진, ,4구, , ,3땅,,,3,1,0,0,0.284,가르시아,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
7, ,삼진, ,유좌안, , , , , ,,,2,1,0,0,0.293,강민호,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,롯데,SK,,
