,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,좌안, ,2안, ,3땅,좌안, ,유땅, ,5,3,0,2,0.267,전상렬,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
1,4구, ,1땅, ,좌파,삼진, , ,좌비,4,0,0,1,0.171,김원섭,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
2,우2, , , , , , , , ,1,1,1,0,0.318,김동주,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
3, , ,삼진, ,4구, ,우안, ,4구,2,1,0,1,0.246,최훈재,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
4,우희비, , , , , , , , ,0,0,1,0,0.283,안경현,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
5, , ,우안, ,중홈, ,삼진, ,유비,4,2,3,1,0.333,강규철,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
6,삼진, ,2땅, ,중안, ,사구, ,유땅,4,1,0,0,0.244,강봉규,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
7,우비, , ,좌중2,4구, ,중비, , ,3,1,0,0,0.233,문희성,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
8, ,투땅, ,삼진,삼진, , , , ,3,0,0,0,0.000,김성균,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
9, , , , , , ,좌비, , ,1,0,0,0,0.238,송원국,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
10, ,삼진, ,3땅, ,1땅, , , ,3,0,0,0,0.059,이대현,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
11, , , , , , , ,1비, ,1,0,0,0,0.200,오세학,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
12, ,삼진, ,유땅, ,1비, ,유땅, ,4,0,0,0,0.193,김호,구장 : 무등,"관중 : 2,747",2001.10.01(월),개시 : 14:00,경기시간 : 2:53,두산,KIA
