,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11,12
5, ,중안, ,4구, ,우비, ,우비, ,,3,1,0,0,0.307,채종범,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
6, ,중비, ,2비, ,삼진, ,2비, ,,4,0,0,0,0.291,잉글린,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
7, , , , , , , , , ,,0,0,0,0,0.249,조원우,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
8, , ,중안,삼진, ,사구, , , ,,2,1,0,1,0.262,김동수,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
9, , , , , , , , ,유땅,,1,0,0,0,0.250,강성우,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
10, , ,투희번,2땅, , , , , ,,1,0,0,0,0.249,최태원,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
11, , , , , ,3비, , , ,,1,0,0,0,0.250,양현석,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
12, , , , , , , , ,중안,,1,1,0,0,0.114,정경배,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,SK,KIA,,,
0,3땅, ,투번, ,삼진, , ,중안, ,,4,1,0,0,0.277,김종국,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
1,투땅, ,2땅, , ,우중홈, ,2땅, ,,4,1,1,1,0.233,장일현,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
2,4구, ,우안, , ,좌비, ,고4, ,,2,1,0,0,0.356,장성호,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
3,4구, ,중비, , ,유땅, ,중비, ,,3,0,0,0,0.246,홍세완,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
4,4구, , ,1땅, ,삼진, , ,삼진,,3,0,0,0,0.301,김경언,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
5,삼진, , ,중비, , , , , ,,2,0,0,0,0.091,이대진,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
6, , , , , , ,중비, ,좌안,,2,1,0,0,0.200,장정석,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
7, ,3땅, ,우비, , ,삼진, , ,,3,0,0,0,0.232,김창희,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
8, , , , , , , , ,좌비,,1,0,0,0,0.243,김태룡,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
9, ,중비, , ,유땅, ,삼진, , ,,3,0,0,0,0.235,김상훈,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
10, , , , , , , , ,우비,,1,0,0,0,0.333,황성기,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
11, ,유비, , ,중비, , ,중비, ,,3,0,0,0,0.300,정성훈,구장 : 무등,"관중 : 5,197",2002.08.01(목),개시 : 18:30,경기시간 : 2:39,KIA,SK,,,
0,좌2,고4, , ,2땅, ,4구, ,중비,,3,1,0,2,0.351,이영우,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
1,투땅,우비, , ,삼진, ,삼진, , ,,4,0,0,0,0.203,김수연,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
2, , , , , , , , ,2땅,,1,0,0,0,0.308,강석천,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
3,좌희비, ,유땅, ,2비, ,중3, , ,,3,1,3,0,0.292,송지만,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
4,4구, ,삼진, , ,좌안,2땅, , ,,3,1,0,0,0.285,데이비스,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
5,2땅, ,삼진, , ,삼진, ,삼진, ,,4,0,0,0,0.273,이도형,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
6, , , , , , , , , ,,0,0,0,0,0.200,조경택,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,한화,두산,,,
