,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2018년 08월 07일,41,38,12,3,3,0,6,12,12,3,0,9,0,0,0,0,2,446,마산
2018년 08월 08일,41,35,10,8,1,0,1,8,8,2,2,5,0,0,2,1,1,201,잠실
2018년 08월 08일,49,37,12,10,2,0,0,6,6,6,3,6,0,2,3,0,2,174,고척
2018년 08월 08일,30,29,3,3,0,0,0,0,0,0,1,10,0,0,0,1,1,-127,인천
2018년 08월 08일,31,29,2,1,0,0,1,1,1,2,0,8,0,0,0,0,0,-59,울산
2018년 08월 08일,35,30,6,4,1,0,1,3,3,4,0,8,0,1,1,2,0,40,마산
2018년 08월 09일,44,40,15,11,2,2,0,9,8,2,0,7,2,0,2,1,0,284,잠실
2018년 08월 09일,44,38,12,10,1,0,1,4,4,3,2,9,1,0,1,0,0,159,수원
2018년 08월 09일,54,51,25,18,6,0,1,16,16,3,0,4,2,0,0,2,1,539,청주
2018년 08월 09일,45,39,14,9,2,0,3,11,11,2,3,8,0,1,1,0,0,370,광주
2018년 08월 09일,34,27,3,1,1,0,1,3,3,7,0,8,0,0,0,0,0,34,마산
2018년 08월 10일,50,40,15,13,0,1,1,10,9,6,2,8,0,0,2,0,2,263,잠실
2018년 08월 10일,35,35,9,8,1,0,0,1,1,0,0,5,0,0,0,1,0,-12,수원
2018년 08월 10일,45,42,17,12,3,1,1,9,8,2,0,10,3,1,1,0,0,304,청주
2018년 08월 10일,,,,,,,,,,,,,,,,,,,광주
2018년 08월 10일,44,35,9,3,3,0,3,12,12,7,1,5,0,1,1,0,0,379,마산
2018년 08월 11일,38,35,8,6,1,0,1,2,2,2,1,9,0,0,0,0,0,28,잠실
2018년 08월 11일,41,37,11,8,2,0,1,8,8,2,0,10,1,0,2,0,0,176,고척
2018년 08월 11일,58,49,24,15,5,0,4,18,17,4,4,5,0,0,1,1,0,673,인천
2018년 08월 11일,37,31,9,5,3,0,1,3,3,4,0,9,0,1,2,1,1,95,대전
2018년 08월 11일,41,37,10,5,4,0,1,7,7,3,1,7,1,0,0,0,0,206,대구
2018년 08월 12일,47,44,18,12,4,0,2,12,12,3,0,6,0,0,0,1,0,397,잠실
2018년 08월 12일,39,34,10,8,2,0,0,3,3,4,0,4,1,0,1,2,0,82,고척
2018년 08월 12일,56,54,25,14,3,0,8,21,19,2,0,2,1,0,0,1,0,811,인천
2018년 08월 12일,39,36,7,6,0,0,1,4,4,2,0,15,0,0,1,0,0,4,대전
2018년 08월 12일,37,34,8,5,2,0,1,2,2,2,0,10,0,0,1,1,1,35,대구
2018년 08월 14일,36,33,8,6,1,0,1,3,2,0,3,7,0,0,0,1,1,34,잠실
2018년 08월 14일,38,34,7,6,1,0,0,0,0,4,0,7,1,0,0,2,0,-44,수원
2018년 08월 14일,54,46,19,14,3,0,2,11,11,5,3,11,1,0,0,0,2,375,대구
2018년 08월 14일,42,39,14,10,4,0,0,8,8,1,0,4,0,0,2,0,2,180,광주
2018년 08월 14일,35,33,8,4,2,0,2,4,3,2,0,6,2,0,0,2,0,130,사직
2018년 08월 15일,51,43,17,13,3,0,1,12,10,2,5,4,0,0,1,1,1,346,잠실
2018년 08월 15일,47,44,19,11,2,1,5,13,13,1,1,5,1,0,1,2,0,555,수원
2018년 08월 15일,37,34,10,8,2,0,0,3,3,2,0,9,2,0,1,1,0,87,대구
2018년 08월 15일,43,40,16,9,4,0,3,13,13,2,1,7,0,1,0,2,1,413,광주
2018년 08월 15일,,,,,,,,,,,,,,,,,,,사직
2018년 09월 04일,43,36,7,4,2,0,1,10,10,6,1,3,0,0,0,0,1,211,잠실
2018년 09월 04일,38,37,11,7,1,0,3,7,7,1,0,7,1,1,0,0,0,243,인천
2018년 09월 04일,36,36,8,4,2,0,2,3,3,0,0,7,0,0,0,0,1,76,수원
2018년 09월 04일,40,32,6,6,0,0,0,4,3,6,2,14,0,0,0,1,1,-2,대전
2018년 09월 04일,45,37,9,8,1,0,0,5,5,5,3,11,1,0,0,0,0,95,마산
2018년 09월 05일,36,34,7,6,1,0,0,1,1,1,1,3,0,0,0,0,1,-21,잠실
2018년 09월 05일,45,40,11,5,2,0,4,11,11,3,2,11,0,0,0,1,1,310,인천
2018년 09월 05일,38,35,10,5,5,0,0,4,4,2,0,7,0,0,1,1,1,133,수원
2018년 09월 05일,46,38,12,9,1,0,2,5,5,7,1,11,1,1,0,0,1,181,대전
2018년 09월 05일,39,32,8,6,2,0,0,5,5,5,1,6,1,1,1,2,0,114,마산
2018년 09월 06일,37,35,9,6,1,0,2,3,3,2,0,7,0,0,0,1,2,87,잠실
2018년 09월 06일,51,49,23,19,4,0,0,9,7,2,0,8,1,1,0,1,0,287,수원
2018년 09월 06일,42,35,9,5,3,0,1,6,6,4,2,6,1,0,1,0,0,202,대구
2018년 09월 06일,37,35,8,4,4,0,0,2,2,1,1,12,0,0,0,0,0,7,광주
2018년 09월 06일,30,30,4,3,1,0,0,0,0,0,0,10,1,0,0,1,1,-105,울산
2018년 09월 07일,43,40,15,12,3,0,0,11,10,2,1,9,1,0,0,1,1,243,잠실
2018년 09월 07일,40,37,9,4,3,0,2,4,4,3,0,10,1,0,0,0,1,123,수원
2018년 09월 07일,44,37,11,8,1,0,2,7,6,6,0,12,1,0,1,1,0,189,대구
2018년 09월 07일,41,37,12,11,0,0,1,5,5,3,0,10,0,0,1,1,0,116,광주
2018년 09월 07일,34,30,3,1,1,0,1,3,2,2,1,7,1,0,1,0,0,5,울산
2018년 09월 08일,32,32,5,3,2,0,0,1,1,0,0,12,1,0,0,0,0,-68,잠실
2018년 09월 08일,49,42,18,11,3,1,3,12,12,4,1,8,0,0,2,0,1,442,고척
2018년 09월 08일,38,33,7,5,1,0,1,3,3,1,1,10,3,0,3,0,0,98,인천
2018년 09월 08일,37,34,8,6,2,0,0,4,4,3,0,6,0,0,0,1,0,45,광주
2018년 09월 08일,37,31,4,1,2,0,1,1,1,5,1,9,2,0,0,0,0,22,마산
2018년 09월 09일,36,33,6,5,0,0,1,5,5,2,1,7,1,0,0,0,1,51,잠실
2018년 09월 09일,33,32,6,3,1,0,2,4,4,1,0,3,0,0,0,1,1,78,고척
2018년 09월 09일,35,31,5,5,0,0,0,2,2,2,1,8,1,0,1,0,1,-27,인천
2018년 09월 09일,41,36,9,8,0,0,1,6,6,5,0,10,1,0,0,0,1,126,광주
2018년 09월 09일,41,38,11,6,2,0,3,3,3,3,0,7,0,0,0,1,3,142,마산
2018년 09월 11일,34,32,6,3,2,0,1,3,2,2,0,12,0,0,0,1,0,9,잠실
2018년 09월 11일,46,39,10,8,0,0,2,3,2,5,1,13,1,0,1,0,0,94,인천
2018년 09월 11일,51,47,12,9,0,0,3,8,8,4,0,16,2,1,0,0,0,214,대구
2018년 09월 11일,54,46,19,12,3,0,4,17,17,7,1,13,0,0,0,0,0,549,사직
2018년 09월 11일,42,32,7,3,2,0,2,7,7,9,0,4,1,0,1,1,0,226,마산
2018년 09월 12일,39,37,6,5,0,0,1,4,4,2,0,8,1,0,0,0,0,15,잠실
2018년 09월 12일,37,36,8,5,1,0,2,3,3,1,0,13,0,0,0,0,3,27,인천
2018년 09월 12일,40,36,9,5,1,0,3,7,7,4,0,10,0,1,0,0,0,213,대구
2018년 09월 12일,44,39,14,8,0,1,5,13,13,5,0,4,0,0,0,2,3,459,사직
2018년 09월 12일,36,35,9,8,0,0,1,4,4,1,0,5,0,1,0,0,1,61,마산
2018년 09월 13일,34,32,6,4,0,0,2,3,3,2,0,7,0,1,0,0,2,34,잠실
2018년 09월 13일,35,33,8,7,0,0,1,2,2,2,0,4,1,0,0,2,0,70,청주
2018년 09월 13일,44,35,12,9,2,0,1,6,6,6,1,5,0,1,2,0,2,219,대구
2018년 09월 13일,,,,,,,,,,,,,,,,,,,사직
2018년 09월 13일,,,,,,,,,,,,,,,,,,,마산
2018년 09월 14일,36,34,8,5,2,0,1,2,2,2,0,5,0,1,0,1,1,45,잠실
2018년 09월 14일,40,35,7,3,3,0,1,7,7,4,1,9,1,0,0,0,1,150,청주
2018년 09월 14일,33,30,3,1,1,0,1,1,1,3,0,5,1,0,0,0,1,-7,대구
2018년 09월 14일,50,44,18,13,4,0,1,9,9,5,1,7,1,1,0,0,0,338,사직
2018년 09월 14일,36,32,6,4,1,0,1,3,3,3,1,7,0,0,0,1,1,31,마산
2018년 09월 15일,46,39,14,9,2,1,2,13,13,6,0,4,0,1,1,0,3,376,잠실
2018년 09월 15일,44,41,14,11,1,1,1,7,7,1,1,8,0,0,1,0,0,209,수원
2018년 09월 15일,46,37,10,6,0,0,4,12,12,6,2,5,1,0,1,1,0,396,대전
2018년 09월 15일,33,31,6,4,2,0,0,2,2,1,0,7,1,0,1,1,1,-12,광주
2018년 09월 15일,40,33,9,6,2,0,1,6,6,5,0,8,0,0,2,1,0,168,사직
2018년 09월 16일,36,33,5,5,0,0,0,1,1,2,1,3,1,0,0,1,0,-31,잠실
2018년 09월 16일,38,34,8,6,2,0,0,2,2,3,1,8,2,0,0,0,0,43,수원
2018년 09월 16일,37,33,8,6,2,0,0,1,1,3,1,8,1,1,0,2,0,7,대전
2018년 09월 16일,47,41,13,7,3,1,2,6,6,6,0,8,0,1,0,1,1,232,광주
2018년 09월 16일,32,31,5,4,1,0,0,2,2,1,0,11,0,0,0,1,0,-43,사직
2018년 09월 18일,39,34,9,6,3,0,0,4,4,2,1,8,0,0,2,1,0,89,잠실
2018년 09월 18일,44,38,14,8,2,0,4,7,7,5,0,4,2,0,1,0,1,350,고척
2018년 09월 18일,41,34,9,7,2,0,0,5,5,6,0,4,0,0,1,1,2,85,수원
2018년 09월 18일,52,42,16,11,2,0,3,18,17,6,3,6,0,0,1,1,0,502,대구
2018년 09월 18일,36,33,11,9,2,0,0,3,3,2,0,5,0,1,1,3,1,74,마산
2018년 09월 19일,61,54,22,16,3,1,2,15,14,5,2,12,3,0,0,1,2,461,잠실
2018년 09월 19일,41,36,7,6,0,0,1,4,4,3,2,7,2,0,0,2,0,64,고척
2018년 09월 19일,50,43,17,9,2,0,6,18,18,6,0,10,0,0,1,0,0,630,수원
2018년 09월 19일,42,38,13,9,1,0,3,8,8,4,0,6,1,0,0,1,1,271,대구
2018년 09월 19일,43,39,13,9,3,0,1,7,5,3,0,10,1,0,1,1,1,188,마산
2018년 09월 20일,48,39,14,9,4,0,1,9,9,7,0,8,1,0,2,0,0,328,잠실
2018년 09월 20일,41,37,10,8,0,0,2,2,2,4,0,7,2,0,0,0,0,119,고척
2018년 09월 20일,40,36,10,7,0,0,3,8,8,2,1,8,2,0,1,2,0,260,인천
2018년 09월 20일,43,35,10,8,1,0,1,6,5,7,1,9,2,0,0,1,0,156,광주
2018년 09월 20일,42,38,11,4,2,0,5,10,10,4,0,8,0,1,0,0,0,372,사직
2018년 09월 21일,45,41,13,9,3,0,1,10,10,4,0,9,0,0,0,0,0,245,잠실
2018년 09월 21일,46,38,15,12,2,0,1,10,9,5,1,8,2,0,2,1,0,311,고척
2018년 09월 21일,39,36,11,9,1,0,1,4,4,2,1,8,0,0,0,1,2,80,인천
2018년 09월 21일,36,33,10,10,0,0,0,4,4,2,0,8,0,1,1,2,2,15,광주
2018년 09월 21일,,,,,,,,,,,,,,,,,,,사직
2018년 09월 22일,42,34,9,6,2,0,1,6,6,6,0,7,0,0,2,0,1,182,잠실
2018년 09월 22일,36,35,6,5,0,0,1,2,2,0,1,10,0,0,0,0,1,-38,고척
2018년 09월 22일,48,38,16,13,3,0,0,11,10,6,3,5,1,1,1,3,0,328,대전
2018년 09월 22일,40,36,9,5,2,0,2,5,5,2,2,11,0,1,0,0,0,153,대구
2018년 09월 22일,50,37,14,8,3,0,3,13,13,8,3,6,1,0,2,0,0,480,마산
2018년 09월 23일,41,36,8,6,2,0,0,4,4,5,0,6,0,1,0,1,0,49,잠실
2018년 09월 23일,34,29,6,4,2,0,0,0,0,2,3,7,0,2,0,2,2,-43,고척
2018년 09월 23일,43,35,11,8,2,0,1,6,6,7,0,8,2,0,1,1,0,186,대전
2018년 09월 23일,38,32,7,6,1,0,0,2,2,4,1,6,0,0,1,2,1,1,대구
2018년 09월 23일,42,39,13,11,2,0,0,3,3,1,0,9,0,1,2,0,0,65,마산
2018년 09월 25일,38,34,9,6,3,0,0,2,2,2,2,13,0,1,0,1,0,6,잠실
2018년 09월 25일,44,38,11,7,2,1,1,7,6,5,1,9,0,1,0,0,2,154,인천
2018년 09월 25일,47,37,12,8,3,0,1,9,8,8,1,2,3,0,1,1,2,292,수원
2018년 09월 25일,42,32,10,5,2,0,3,8,6,6,1,3,1,0,3,2,0,330,대전
2018년 09월 25일,45,40,13,10,0,0,3,7,7,4,0,11,0,1,1,0,1,235,사직
2018년 09월 26일,42,36,9,6,0,0,3,8,8,6,0,3,1,0,0,1,0,260,잠실
2018년 09월 26일,34,32,6,6,0,0,0,2,2,2,0,12,0,1,0,0,2,-88,인천
2018년 09월 26일,36,32,8,6,2,0,0,2,2,4,0,6,1,0,0,2,1,19,수원
2018년 09월 26일,40,35,9,6,1,1,1,4,4,5,0,5,2,0,0,0,1,135,대전
2018년 09월 26일,38,33,7,2,4,0,1,7,7,4,1,6,0,1,0,0,1,141,사직
2018년 09월 27일,32,30,3,3,0,0,0,1,1,2,0,7,0,0,0,0,0,-83,잠실
2018년 09월 27일,42,37,13,8,3,0,2,8,8,4,0,5,1,1,1,1,1,292,고척
2018년 09월 27일,35,35,9,5,1,0,3,4,4,0,0,5,0,0,0,1,2,131,인천
