,name,year,team,position,birth,height,weight,age,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops
1574,이정훈,2017,KIA,C,1994-12-07,185,90,24,-0.01,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.333,0.0,0.333
1575,오현근,2016,롯데,CF,1985-09-12,183,75,32,0.02,19,17,15,4,3,0,0,0,3,2,2,0,2,0,0,5,0,0,0,0.2,0.294,0.2,0.494
1576,오현근,2015,롯데,RF,1985-09-12,183,75,31,-0.08,20,36,28,3,6,2,0,0,8,3,1,1,6,0,0,6,0,2,0,0.214,0.353,0.28600000000000003,0.639
1577,임종혁,2014,롯데,CF,1990-04-07,177,75,25,0.02,21,25,18,3,4,0,0,0,4,1,2,2,5,1,0,8,0,1,0,0.222,0.417,0.222,0.639
1578,임종혁,2013,롯데,RF,1990-04-07,177,75,24,-0.07,11,7,6,4,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0.0,0.14300000000000002,0.0,0.14300000000000002
1579,이경환,2009,LG,C,1983-05-21,177,93,27,0.01,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
1580,최선호,2019,삼성,LF,1991-12-12,179,70,29,0.01,17,8,6,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.16699999999999998,0.375,0.16699999999999998,0.542
1581,최선호,2016,삼성,CF,1991-12-12,179,70,26,-0.4,60,27,26,11,3,1,0,0,4,3,1,2,1,0,0,11,0,0,0,0.115,0.14800000000000002,0.154,0.302
1582,최선호,2015,삼성,RF,1991-12-12,179,70,25,-0.46,33,44,42,8,7,1,0,0,8,1,2,0,0,0,0,13,0,2,0,0.16699999999999998,0.16699999999999998,0.19,0.35700000000000004
1583,김도현,2012,SK,RF,1992-10-23,182,93,21,0.01,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0
1584,김도현,2013,SK,RF,1992-10-23,182,93,22,-0.12,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0.0
1585,김도현,2014,SK,DH,1992-10-23,182,93,23,-0.2,7,13,12,0,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0.083,0.154,0.083,0.237
1586,마낙길,2014,NC,LF,1989-06-22,178,75,26,0.01,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5
1587,마낙길,2013,NC,LF,1989-06-22,178,75,25,0.0,24,31,29,5,9,1,0,0,10,0,2,2,1,0,0,5,0,1,0,0.31,0.333,0.345,0.6779999999999999
1588,김형철,2009,KIA,SS,1980-05-26,176,79,30,0.01,6,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667
1589,김형철,2010,KIA,3B,1980-05-26,176,79,31,-0.13,9,9,9,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.111,0.111,0.111,0.222
1590,김형철,2008,KIA,2B,1980-05-26,176,79,29,-0.51,45,41,40,4,5,0,0,0,5,1,1,2,1,0,0,12,0,0,0,0.125,0.146,0.125,0.271
1591,윤영수,2015,삼성,3B,1992-03-11,176,76,24,0.01,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
1592,김재현,2014,삼성,3B,1991-08-30,176,73,24,0.01,8,8,7,0,1,0,0,0,1,1,0,0,0,1,0,4,1,0,0,0.14300000000000002,0.25,0.14300000000000002,0.393
1593,김재현,2018,삼성,SS,1991-08-30,176,73,28,0.01,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1594,김재현,2019,삼성,2B,1991-08-30,176,73,29,-0.05,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1595,김재현,2015,삼성,SS,1991-08-30,176,73,25,-0.43,73,48,41,7,7,0,0,0,7,5,0,0,5,0,0,11,1,2,0,0.171,0.261,0.171,0.4320000000000001
1596,김재현,2016,삼성,SS,1991-08-30,176,73,26,-0.97,122,215,188,25,41,7,0,0,48,14,1,1,8,7,0,42,10,11,1,0.218,0.275,0.255,0.53
1597,박세웅,2016,NC,C,1993-08-12,180,80,24,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1598,박유연,2017,두산,C,1998-12-20,177,77,20,0.01,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.667
1599,박유연,2019,두산,C,1998-12-20,177,77,22,0.01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1600,정병곤,2019,두산,2B,1988-03-23,176,72,32,0.01,20,31,27,6,5,1,0,0,6,4,0,0,2,2,0,4,2,0,0,0.185,0.29,0.222,0.513
1601,서용주,2013,KIA,CF,1990-06-30,184,89,24,0.01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1602,김민수,2019,롯데,3B,1998-03-18,182,96,22,0.0,11,37,34,0,8,3,0,0,11,1,0,0,1,2,0,14,2,0,0,0.235,0.297,0.324,0.621
1603,김민수,2017,롯데,3B,1998-03-18,182,96,20,-0.17,10,19,17,0,3,0,0,0,3,0,0,0,1,0,0,9,0,1,0,0.17600000000000002,0.222,0.17600000000000002,0.399
1604,박성준,2016,LG,2B,1996-03-27,175,70,21,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1605,박성준,2015,LG,2B,1996-03-27,175,70,20,-0.01,11,12,10,3,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0.2,0.333,0.2,0.5329999999999999
1606,유용목,2009,KIA,DH,1986-06-10,178,80,24,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
1607,김기현,2009,SK,LF,1987-05-09,187,93,23,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1608,김희석,2014,삼성,C,1990-02-25,179,75,25,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1609,김기연,2018,LG,C,1997-09-07,178,95,22,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1610,강동관,2017,롯데,C,1996-11-01,183,83,22,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1611,강동관,2016,롯데,C,1996-11-01,183,83,21,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1612,최민구,2015,삼성,DH,1992-03-17,178,75,24,0.0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1613,황경태,2017,두산,3B,1996-08-17,181,77,22,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1614,황경태,2018,두산,3B,1996-08-17,181,77,23,-0.13,27,13,13,9,3,2,0,0,5,0,0,1,0,0,0,3,0,0,0,0.231,0.231,0.385,0.615
1615,전민재,2019,두산,3B,1999-06-30,181,73,21,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1616,전민재,2018,두산,3B,1999-06-30,181,73,20,-0.0,12,8,8,2,3,1,0,0,4,3,0,0,0,0,0,2,1,0,0,0.375,0.375,0.5,0.875
1617,김건태,2019,NC,DH,1991-10-02,185,85,29,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1618,민태호,2019,NC,DH,1989-09-12,181,73,31,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1619,김대현,2019,LG,DH,1997-03-08,188,100,23,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1620,김대현,2019,LG,DH,1997-03-08,188,100,23,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1621,진해수,2019,LG,DH,1986-06-26,187,83,34,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1622,진해수,2019,LG,DH,1986-06-26,187,83,34,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
