,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2015년 03월 28일,38,31,9,9,0,0,0,4,4,4,1,8,2,2,2,1,1,66,잠실
2015년 03월 28일,54,42,10,8,2,0,0,4,4,7,1,7,4,0,4,0,0,137,목동
2015년 03월 28일,36,31,5,3,1,1,0,1,1,5,0,8,0,1,0,1,1,-40,시민
2015년 03월 28일,34,29,7,4,2,1,0,1,1,4,0,6,0,0,1,2,1,10,광주
2015년 03월 28일,46,35,14,11,1,0,2,9,8,8,1,8,1,1,2,1,0,302,사직
2015년 03월 16일,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,잠실
2015년 03월 25일,43,33,11,4,2,2,3,13,13,0,8,2,1,1,1,1,0,568,잠실
2015년 03월 25일,,,,,,,,,,,,,,,,,,,시민
2015년 03월 25일,26,21,8,5,2,0,1,7,7,1,2,2,1,0,2,1,1,234,수원
2015년 03월 25일,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,-11,대전
2015년 03월 26일,38,34,6,3,2,0,1,2,2,4,0,2,0,0,0,2,0,48,대전
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
2015년 03월 26일,43,40,17,6,6,1,4,11,11,0,1,4,0,0,2,1,0,603,잠실
2015년 03월 27일,,,,,,,,,,,,,,,,,,,잠실
2015년 03월 27일,2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12,인천
2015년 03월 27일,8,8,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,3,울산
2015년 03월 29일,38,36,9,6,3,0,0,1,1,2,0,1,0,0,0,0,0,43,잠실
2015년 03월 29일,41,32,9,6,2,0,1,5,5,6,2,9,2,2,1,1,0,176,목동
2015년 03월 29일,40,33,9,6,2,0,1,7,7,4,0,5,1,0,3,0,0,209,시민
2015년 03월 29일,43,39,15,10,5,0,0,6,6,3,0,6,3,1,1,0,1,218,광주
2015년 03월 29일,40,34,8,6,2,0,0,4,4,6,0,6,1,0,0,2,0,86,사직
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
2015년 03월 31일,38,33,10,8,1,0,1,7,7,5,0,12,0,0,0,0,1,168,잠실
2015년 03월 31일,,,,,,,,,,,,,,,,,,,인천
2015년 03월 31일,,,,,,,,,,,,,,,,,,,대전
2015년 03월 31일,,,,,,,,,,,,,,,,,,,마산
2015년 03월 31일,43,41,15,8,5,0,2,8,8,1,0,6,2,1,1,1,2,303,수원
2015년 04월 01일,41,38,8,5,1,1,1,2,2,3,0,9,1,0,0,1,0,41,잠실
2015년 04월 01일,37,32,5,4,1,0,0,3,2,5,0,12,0,1,0,0,0,-18,인천
