,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,좌중안, ,좌안, ,중안, ,좌2, ,포희실,4,4,1,2,0.351,이명기,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
1,4구, ,2땅, ,중비, ,삼진, ,투희번,3,0,0,0,0.248,김주찬,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
2,유실, ,2땅, ,3파, ,2안, ,고4,4,1,1,1,0.305,버나디나,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
3,좌희비, , ,우안, ,유땅,삼진, ,우2,4,2,3,1,0.359,최형우,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
4, , , , , , , , , ,0,0,0,1,0.200,김호령,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
5,2병, , ,좌중2, , , , , ,2,1,1,0,0.341,안치홍,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
6, , , , , ,삼진, ,삼진,좌안,3,1,1,1,0.225,김민식,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
7, ,3땅, ,삼진, ,유땅, ,3땅,삼진,5,0,0,0,0.297,나지완,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
8, ,3비, ,3땅, , ,삼진,좌홈,중안,5,2,3,1,0.285,이범호,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
9, ,삼진, , , , , , , ,1,0,0,0,0.179,한승택,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
10, , , ,2땅, , ,좌안,투땅,1파,4,1,0,1,0.380,김선빈,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
11, , ,중비, ,삼진, ,야선, , ,3,0,0,1,0.238,김지성,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
12, , , , , , , , ,우안,1,1,0,1,0.309,서동욱,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,KIA,LG,,,
0,유땅, ,2비, ,1파, ,유땅, , ,4,0,0,0,0.291,이형종,구장 : 잠실,"관중 : 25,000",2017.07.01(토),개시 : 17:59,경기시간 : 3:31,LG,KIA,,,
