,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,3땅,1땅, ,삼진, , , , , ,3,0,0,0,0.304,정근우,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
1, , , , , ,중비, , , ,1,0,0,0,0.305,이호준,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
2, , , , , , , ,유땅, ,1,0,0,0,0.051,최윤석,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
3,2땅, ,4구,1땅, ,4구, , ,우안,3,1,0,1,0.216,조동화,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
4,좌중2, ,4구,1땅, ,좌비, , ,중비,4,1,0,2,0.340,김재현,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
5,중안, ,삼진, ,우홈, ,중비, ,3비,5,2,2,1,0.327,박정권,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
6,삼진, ,4구, ,좌비, ,삼진, ,우비,4,0,0,1,0.296,최정,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
7, ,우안,우2, ,유비, ,1비, , ,4,2,2,2,0.339,김강민,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
8, ,좌홈,중안, ,유땅, , ,중안, ,4,3,3,1,0.297,나주환,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
9, ,1파,삼진, , ,삼진, ,좌안, ,4,1,0,0,0.263,박경완,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
10, ,삼진,우비, , ,좌2, ,32병, ,4,1,0,0,0.147,모창민,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,SK,KIA,,,
0,중안,1파, ,좌비, , ,우안, , ,4,2,0,0,0.274,이용규,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
1,투땅, ,중안, ,1비, ,삼진, , ,4,1,0,0,0.295,김선빈,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
2,투땅, ,2비, ,2땅, , , , ,3,0,0,0,0.240,김원섭,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
3, , , , , , ,2땅, , ,1,0,0,0,0.115,김다원,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
4,삼진, ,삼진, ,2땅, , ,좌비, ,4,0,0,0,0.223,나지완,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
5, ,삼진,2비, , ,투땅, ,중비, ,4,0,0,0,0.222,홍세완,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
6, ,우안, ,좌안, ,2땅, ,투땅, ,4,2,0,2,0.283,안치홍,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
7, ,삼진, ,우비, ,투땅, , , ,3,0,0,0,0.229,이종범,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
8, , , , , , , , ,중비,1,0,0,0,0.308,이영수,구장 : 무등,"관중 : 2,940",2010.07.01(목),개시 : 18:30,경기시간 : 3:04,KIA,SK,,,
