,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,좌비, ,중안, ,중안,유땅, ,二유병, ,5,2,1,1,0.322,박한이,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
1,투땅, ,一희번, ,우비, , , , ,2,0,0,0,0.233,브리또,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
2, , , , , ,二땅, , ,삼진,2,0,1,0,0.239,고지행,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
3,좌안, ,우중안, ,4구,삼진, , ,삼진,4,2,1,0,0.309,이승엽,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
4,4구, ,三파, ,유비, ,좌비, ,삼진,4,0,0,0,0.335,양준혁,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
5,투비, , ,중비,중비, ,삼진, , ,4,0,0,0,0.282,김한수,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
6, ,삼진, ,4구, ,중안,투땅, , ,3,1,0,1,0.289,강동우,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
7, ,중안, ,좌안, ,좌중2, ,우비, ,4,3,1,1,0.252,마해영,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
8, ,중비, ,포파, ,4구, ,중안, ,3,1,0,1,0.308,진갑용,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
9, ,삼진, , , , , , , ,1,0,0,0,0.246,김재걸,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
10, , , ,三땅, , , , , ,1,0,0,0,0.203,김종훈,구장 : 잠실,"관중 : 6,375",2003.07.01(화),개시 : 18:30,경기시간 : 3:22,삼성,두산,,,
