,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13
9,1직, ,유땅, ,2직, , ,삼진,2비,5,0,0,0,0.305,브리또,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
10, ,2땅, ,2비, , , , , ,2,0,0,0,0.240,조원우,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
11, , , , , ,유땅, ,좌안, ,2,1,1,0,0.224,양용모,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
12, ,우2, ,우3, ,좌비, ,2땅, ,4,2,0,2,0.243,이호준,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
13, ,삼진, ,1파, , , , , ,2,0,0,0,0.255,안재만,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
14, , , , , ,삼진, , , ,1,0,0,0,0.200,김동건,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
15, , , , , , , ,우비, ,1,0,0,0,0.236,최태원,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
16, ,좌안, ,우2, , ,우비, ,4구,3,2,2,1,0.184,송재익,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
17, ,2비, , , , , , , ,1,0,0,0,0.155,강성우,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
18, , , , ,중홈, ,4구, ,좌안,2,2,1,1,0.270,채종범,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,SK,한화,,,,,
0,4구,4구, ,좌안, ,유직,투안, , ,3,2,1,1,0.278,김수연,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
1,좌안,유땅, ,좌비, ,우중홈,삼진, , ,5,2,1,2,0.324,김종석,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
2,삼진,3파, ,2땅, ,3땅, ,좌안, ,5,1,0,0,0.346,데이비스,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
3,중안, ,우비, ,삼진,중안, ,삼진, ,5,2,1,1,0.320,김태균,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
4,중홈, ,1땅, ,4구,중비, , , ,3,1,3,2,0.287,이영우,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
5, , , , , , , ,2병, ,1,0,0,0,0.279,장종훈,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
6,중홈, ,삼진, ,중안, ,좌비, , ,4,2,1,1,0.271,송지만,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
7, , , , , , , , , ,0,0,0,0,0.225,조정권,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
8,중홈, , ,4구,중비, ,삼진, , ,3,1,1,1,0.242,조경택,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
9,2땅, , ,유실,좌중2, ,중안, , ,4,2,1,1,0.270,백재호,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
10,우비, , ,4구,삼진, ,우안, , ,3,1,0,0,0.196,황우구,구장 : 대전,"관중 : 2,710",2001.09.08(토),개시 : 17:00,경기시간 : 3:18,한화,SK,,,,,
0,우안,삼진, ,4구,4구, ,우비, ,4구,3,1,0,2,0.210,김민호,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
1,좌중안,1땅, ,2땅,좌안, ,좌안, ,삼진,6,3,0,2,0.292,장원진,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
2,4구, ,2땅,중안,3땅, ,중홈, , ,4,2,3,3,0.294,우즈,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
3, , , , , , , , ,중안,1,1,0,1,0.295,정수근,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
4,중비, ,우2,우안, ,좌중2,중비, ,좌중2,6,4,0,3,0.352,심재학,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
5, , , , , , , , , ,0,0,0,0,0.236,강봉규,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
6,좌홈, ,4구, , , , , , ,1,1,3,1,0.327,김동주,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
7, , , ,우2, ,2땅, ,1땅,유비,4,1,1,1,0.238,최훈재,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
8,4구, ,삼진,1땅, ,우희비, ,우비, ,3,0,1,0,0.280,안경현,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
9,4구, , , , , , , , ,0,0,0,0,0.257,전상렬,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
10, , ,4구,2땅, ,좌중2, ,유비, ,3,1,0,1,0.182,김원섭,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
11,투땅, ,좌안, ,포땅,3직, , ,3땅,5,1,2,0,0.265,홍성흔,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
12, ,유땅,우비, ,3땅, ,2비, ,중안,5,1,0,1,0.254,이종민,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,두산,KIA,,,,,
0,3땅, ,우비,삼진, , ,3땅, ,삼진,5,0,0,1,0.317,이종범,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
1,우안, ,우중홈, , , , , , ,2,2,2,1,0.259,장일현,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
2, , , ,좌비, , , , , ,1,0,0,0,0.282,신동주,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
3, , , , , , ,좌안, ,삼진,2,1,0,0,0.240,최익성,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
4,1직, ,삼진, ,유비, ,유땅, , ,4,0,0,1,0.314,장성호,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
5, ,유땅,유땅, ,중비, ,좌홈, , ,4,1,3,1,0.311,산토스,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
6, ,중홈, ,투땅,삼진, ,삼진, , ,4,1,1,1,0.284,이동수,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
7, ,좌2, ,좌2, ,3땅, ,우비, ,4,2,0,2,0.270,홍세완,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
8, ,우안, ,중안, ,1비, ,우비, ,4,2,2,1,0.291,김창희,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
9, ,삼진, ,좌안, ,2파, ,2땅, ,4,1,0,0,0.261,김상훈,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
10, , ,중안,좌중안, , ,4구, , ,2,2,1,1,0.282,김종국,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
11, , , , , , , , , ,0,0,0,0,0.053,심제훈,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
12, , , , , , , , ,중비,1,0,0,0,0.277,김경언,구장 : 무등,"관중 : 3,424",2001.09.08(토),개시 : 18:24,경기시간 : 3:08,KIA,두산,,,,,
0,좌비, ,4구, , , , , , ,1,0,0,0,0.269,강동우,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
1, , , , ,삼진, ,포비, , ,2,0,0,0,0.294,김종훈,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
2,유땅, ,4구, ,1땅, , , , ,2,0,0,0,0.278,박한이,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
3, , , , , , , ,유땅, ,1,0,0,0,0.304,진갑용,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
4, , , , , , , , , ,0,0,0,0,0.250,장영균,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
5,3비, ,중희비, ,삼진, , ,삼진, ,3,0,1,0,0.279,이승엽,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
6, ,투땅,우비, , ,우비, ,좌비, ,4,0,0,0,0.305,마해영,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
7, ,중안, ,좌2, ,중비, , ,삼진,4,2,0,0,0.309,김한수,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
8, ,중비, ,2비, ,유땅, , ,포파,4,0,0,0,0.279,마르티네,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
9, ,유땅, ,1비, , ,3땅, ,투안,4,1,0,0,0.270,정경배,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
10, , ,우중2,4구, , ,우비, ,투땅,3,1,0,1,0.276,김동수,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
11, , , , , , , , , ,0,0,0,0,0.260,김재걸,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
12, , ,유땅,투땅, , ,좌홈, , ,3,1,1,1,0.244,김승권,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,삼성,LG,,,,,
0,4구, ,1땅, ,4구,중안, ,좌안, ,3,2,0,1,0.331,김재현,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
1,2병, ,4구, ,좌안,좌안, ,4구, ,3,2,1,1,0.283,유지현,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
2,우홈, ,삼진, , , , , , ,2,1,1,1,0.285,심성보,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
3, , , , ,유비, , , , ,1,0,0,0,0.310,최동수,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
4, , , , , ,4구, ,32병, ,1,0,0,0,0.211,최만호,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
5,삼진, , ,2땅, , , , , ,2,0,0,0,0.347,양준혁,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
6, , , , ,4구,중안, ,3직, ,2,1,3,0,0.311,박연수,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
7, ,1땅, ,삼진,3땅,삼진, , , ,4,0,0,0,0.206,홍현우,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
8, , , , , , , , , ,0,0,0,0,0.246,권용관,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
9, ,삼진, ,우홈, ,2안,중비, , ,4,2,1,2,0.320,이병규,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
10, ,유실, ,3비, ,1땅,1직, , ,4,0,0,0,0.288,서용빈,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
11, ,유땅, , ,4구,2땅,우2, , ,3,1,0,1,0.230,이종열,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
12, , ,유땅, ,투희번,중안,중안, , ,3,2,1,1,0.238,김정민,구장 : 잠실,"관중 : 12,259",2001.09.08(토),개시 : 18:20,경기시간 : 3:03,LG,삼성,,,,,
0,2비, ,2안,중안, , , , , ,3,2,1,0,0.297,정수근,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
1, , , , , ,삼진, ,1안, ,2,1,0,1,0.246,강봉규,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
2,우홈, ,좌비,좌안, ,유직, ,좌비, ,5,2,1,1,0.293,장원진,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
3,좌안, ,삼진,중안, , ,삼진, ,3땅,5,2,1,0,0.328,김동주,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
4,2유병, ,중비,삼진, , , , , ,3,0,0,0,0.349,심재학,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
5, , , , , , ,삼진, ,유비,2,0,0,0,0.000,유필선,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
6, ,좌중2, ,우중2,우비, ,중안, ,우안,5,4,0,2,0.286,안경현,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
7, ,우안, ,유비,유땅, ,우안, ,우비,5,2,0,0,0.267,홍성흔,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
8, ,우희비, ,삼진,삼진, ,삼진, , ,3,0,1,0,0.248,이종민,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
9, , , , , , , , , ,1,0,0,0,0.237,최훈재,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA,1땅,,,,
10, , , , , , , , , ,0,0,0,0,0.000,정원석,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA, ,,,,
11, ,2땅, ,좌2, ,유땅, ,중안, ,4,2,1,1,0.214,김민호,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA,4구,,,,
12, ,투땅, ,우안, ,4구, ,유2병, ,4,1,1,1,0.192,김원섭,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,두산,KIA,우비,,,,
0,투땅,유땅, ,3땅, ,4구, ,유비, ,4,0,1,1,0.306,이종범,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산,4구,,,,
1,2땅,좌비, , ,중안, , , , ,3,1,0,0,0.260,장일현,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
2, , , , , ,우중안, , , ,1,1,0,0,0.284,신동주,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
3, , , , , , , , ,4구,0,0,0,0,0.240,최익성,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
4, , , , , , , , , ,0,0,0,1,0.053,심제훈,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
5, , , , , , , , , ,1,1,0,0,0.221,김태룡,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산,좌안,,,,
6,2땅, ,좌안, ,우안,1직, , ,4구,4,2,0,0,0.315,장성호,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
7, ,좌안,중비, ,삼진, ,좌비, ,삼진,5,1,0,1,0.310,산토스,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
8, ,4구,32병, ,포파, ,4구, ,삼진,3,0,0,1,0.280,이동수,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
9, ,우안, ,우2,4구, ,1땅, ,중안,4,3,1,2,0.275,홍세완,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
10, ,우안, ,유땅,3땅, ,2비, ,1땅,5,1,1,1,0.289,김창희,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
11, ,중안, ,3안, ,중비, , , ,3,2,3,0,0.265,김상훈,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
12, , , , , , , ,삼진, ,1,0,0,0,0.274,김경언,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산, ,,,,
13, , , , , , , , , ,1,0,0,0,0.188,김지훈,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산,삼진,,,,
14, ,유땅, ,좌비, ,좌비, ,1파, ,5,0,0,0,0.277,김종국,구장 : 무등,"관중 : 4,252",2001.09.09(일),개시 : 14:02,경기시간 : 3:07,KIA,두산,유땅,,,,
0,2땅, ,3땅, ,1땅, , , , ,3,0,0,0,0.266,강동우,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
1, , , , , , ,좌2,우안, ,2,2,0,1,0.302,김종훈,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
2,1땅, ,중비, ,유비, ,2땅,투땅, ,5,0,1,0,0.274,박한이,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
3,우안, , ,삼진,4구, ,우중홈,1땅, ,4,2,2,1,0.281,이승엽,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
4,좌비, , ,4구,우안, ,우비, ,우안,4,2,0,1,0.307,마해영,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
5, ,우안, ,좌안,중비, ,중안, ,중비,5,3,0,1,0.313,김한수,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
6, ,1땅, ,좌비, ,유땅,4구, , ,3,0,0,0,0.281,바에르가,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
7, , , , , , , , ,3땅,1,0,0,0,0.269,정경배,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
8, ,투땅, ,좌안, ,삼진,2땅, ,2비,5,1,1,1,0.278,마르티네,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
9, ,유땅, ,좌안, ,유땅, ,우비, ,4,1,2,0,0.303,진갑용,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
10, , ,삼진, , , , , , ,1,0,0,0,0.202,김태균,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
11, , , ,2비, , , , , ,1,0,0,0,0.240,장영균,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
12, , , , , , , , , ,0,0,0,0,0.260,김재걸,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
13, , , , , , ,사구,우안, ,1,1,0,1,0.253,김승권,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,삼성,LG,,,,,
0,유땅,유병, ,우2,유땅, ,4구, , ,4,1,0,2,0.330,김재현,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
1,중비, ,유땅,3땅, ,4구,4구, , ,3,0,1,1,0.281,유지현,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
2,4구, ,4구,3땅, ,3희번,우2, , ,2,1,3,1,0.321,이병규,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
3,2비, ,중안,4구, ,중비,1땅, , ,4,1,0,1,0.346,양준혁,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
4, ,중비,좌홈,좌2, ,중비, , , ,4,2,4,1,0.321,박연수,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
5, , , , , , , ,중비, ,1,0,0,0,0.205,최만호,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
6, ,중안,중안, , , , , , ,2,2,0,1,0.293,서용빈,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
7, , , ,3땅, , , , , ,1,0,0,0,0.307,최동수,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
8, , , , , , ,삼진,투땅, ,2,0,0,0,0.281,심성보,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
9, ,중안,2비, ,2땅, , , , ,3,1,0,1,0.209,홍현우,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
10, , , , , , ,좌비,3땅, ,2,0,0,0,0.243,권용관,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
11, ,좌안,4구, ,우안, ,좌안, , ,3,3,1,1,0.264,김정민,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
12, , , , , , , , , ,0,0,0,0,0.180,장재중,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
13, ,중안,좌비, ,유땅, ,중안, , ,4,2,1,1,0.236,이종열,구장 : 잠실,"관중 : 19,041",2001.09.09(일),개시 : 14:00,경기시간 : 3:33,LG,삼성,,,,,
0,4구,우비, , ,투번, ,3희번,좌2, ,3,1,1,1,0.320,전준호,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
1, , , , , , , , , ,0,0,0,0,0.333,장정석,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
2,삼진, ,삼진, ,우비, ,투희번,우중안, ,4,1,2,1,0.247,박종호,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
3,삼진, ,좌안, ,중안, ,중비,4구, ,4,2,0,0,0.271,박재홍,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
4,우비, ,좌비, ,우비, , ,2땅/ 우안, ,5,1,1,0,0.311,이숭용,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
5, ,좌중홈,4구, , ,삼진, ,우중안, ,3,2,1,1,0.296,심정수,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
6, , , , , , , , , ,0,0,0,1,0.000,정수성,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
7, , , , , , , ,3땅, ,1,0,0,0,0.225,김인호,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
8, ,3실,투땅, , ,삼진, ,4구,2땅,4,0,0,1,0.236,전근표,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
9, ,사구, ,4구, , , , , ,0,0,0,0,0.261,박경완,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
10, , , , , ,우안, , , ,1,1,0,0,0.218,이재주,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
11, , , , , , , ,우안, ,1,1,1,0,0.200,정현택,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
12, , , , , , , , , ,0,0,0,1,0.182,이용주,구장 : 사직,"관중 : 3,891",2001.09.10(월),개시 : 18:32,경기시간 : 3:40,현대,롯데,,,,,
