,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,4구,二유병, , ,우2, ,三비, ,삼진,4,1,0,1,0.262,송지만,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
1,二직, ,二비, ,좌중3, ,중비, , ,4,1,2,0,0.294,전준호,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
2,4구, ,삼진, ,4구, , ,4구, ,1,0,0,0,0.341,브룸바,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
3,우안, ,三땅, ,삼진, , ,좌비, ,4,1,0,0,0.257,심정수,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
4,좌비, , ,삼진,三비, , ,二직, ,4,0,0,0,0.290,이숭용,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
5, ,중비, ,우비, ,중비, ,二땅, ,4,0,0,0,0.288,박진만,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
6, ,중안, ,유땅, ,二비, , ,유비,4,1,0,0,0.271,채종국,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
7, ,4구, , ,우안,유땅, , , ,2,1,0,1,0.286,강귀태,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
8, , , , , , , , ,4구,0,0,0,0,0.300,전근표,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
9, ,4구, , ,삼진, , , , ,1,0,0,0,0.223,김일경,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
10, , , , , , ,삼진, , ,1,0,0,0,0.188,강병식,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
11, , , , , , , , , ,0,0,0,0,0.194,서한규,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
12, , , , , , , , ,一땅,1,0,0,0,0.204,조재호,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,현대,KIA
0,우안, ,좌2, ,4구, ,삼진,우파, ,4,2,0,2,0.263,김종국,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,KIA,현대
1,유비, ,4구, ,좌비, ,우안,유땅, ,4,1,0,1,0.276,손지환,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,KIA,현대
2,중비, ,二땅, ,우중2, ,좌중안, , ,4,2,2,1,0.300,장성호,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,KIA,현대
3,삼진, ,좌중홈, ,유안, ,三땅, , ,4,2,3,1,0.300,홍세완,구장 : 무등,"관중 : 1,322",2004.10.01(금),개시 : 18:29,경기시간 : 3:06,KIA,현대
