,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,중안, ,2비, ,좌홈,투땅, ,우비, ,5,2,1,2,0.330,이형종,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
1, , , , , , , , , ,0,0,0,0,0.229,김용의,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
2,우중2, ,좌안, ,좌2,1땅, ,좌안, ,5,4,1,1,0.367,이천웅,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
3,중희비, ,유땅, ,유비, , , , ,2,0,1,0,0.381,가르시아,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
4, , , , , ,좌2, ,좌2, ,2,2,1,0,0.272,양석환,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
5,유비, ,투땅, ,좌안,2땅, ,4구, ,4,1,0,0,0.360,김현수,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
6, , , , , , , , , ,0,0,0,0,0.206,안익훈,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
7,중비, , ,2비,우희비, ,우비,3파, ,4,0,1,0,0.295,박용택,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
8, ,우비, ,삼진,중안, ,좌안, ,유비,5,2,0,0,0.339,채은성,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
9, ,중비, ,중안,우비, ,2병, , ,4,1,0,1,0.275,오지환,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
10, , , , , , , , ,4구,0,0,0,0,0.258,윤진호,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
11, ,투땅, ,우중2, ,좌중안, ,우중안, ,4,3,1,2,0.259,정상호,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
12, , , , , , , , ,3병,1,0,0,0,0.284,유강남,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
13, , ,중안,3땅, ,좌홈, ,우비, ,4,2,2,2,0.254,정주현,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,LG,두산,
0,우비,중희비, ,유비,중비, ,3안,3땅, ,5,1,1,1,0.323,허경민,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
1, , , , , , , , , ,0,0,0,0,0.000,이현승,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
2,4구,삼진, ,유땅, ,사구, , , ,2,0,0,0,0.317,최주환,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
3, , , , , , ,3안,좌비, ,2,1,0,2,0.143,황경태,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
4,삼진, ,우중안, ,좌안,좌안,좌2, , ,5,4,1,3,0.317,박건우,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
5, , , , , , , , , ,0,0,0,0,0.279,조수행,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
6,삼진, ,1땅, ,중안,삼진,1땅, , ,5,1,0,1,0.346,김재환,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
7, ,4구,중비, ,중희비,2실,우희비, , ,2,0,2,2,0.377,양의지,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
8, , , , , , , , , ,0,0,0,0,0.273,박세혁,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
9, ,우중2,삼진, ,우안,중희비,좌홈, , ,4,3,4,3,0.245,오재일,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
10, ,중비, ,좌안,좌안,4구,4구, , ,3,2,0,1,0.316,김재호,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
11, , , , , , , , , ,0,0,0,0,0.300,양종민,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
12, ,우안, ,우중2,중비,좌안,2땅, , ,5,3,3,1,0.261,류지혁,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
13, ,2실, ,좌비,우안,유비, ,2땅, ,5,1,2,0,0.299,정진호,구장 : 잠실,"관중 : 12,145",2018.08.01(수),개시 : 18:30,경기시간 : 3:57,두산,LG,
0,삼진, ,중안,좌희비, ,2병, , ,4구,3,1,1,2,0.345,이정후,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
1,중안, ,2실,삼진, ,4구, , ,삼진,4,1,0,0,0.304,김규민,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
2,2병, ,4구, ,3파,우직, , ,좌안,4,1,0,1,0.302,김하성,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
3, ,중비,유땅, ,삼진, ,삼진, ,좌2,5,1,2,1,0.327,박병호,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
4, ,삼진,2땅, ,좌중2, ,삼진, ,2땅,5,1,1,0,0.267,고종욱,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
5, ,우중안, ,중안, , , , , ,2,2,0,1,0.288,김민성,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
6, , , , ,3땅, ,삼진, ,4구,2,0,0,1,0.223,장영석,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
7, ,중안, ,4구, ,1안, ,삼진,좌중홈,4,3,3,2,0.287,임병욱,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
8, ,2땅, ,좌비, ,중안, ,1땅,삼진,5,1,0,0,0.270,김혜성,구장 : 문학,"관중 : 5,976",2018.08.01(수),개시 : 18:30,경기시간 : 3:21,넥센,SK,
