,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
4,좌중안, , ,3파, ,중비, , ,사구,3,1,1,0,0.143,김현수,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
5, , , , , , , , , ,0,0,0,0,0.000,김용의,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
6, , , , , , , , , ,0,0,0,0,0.000,전상렬,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
7,유땅, , ,좌파, ,2땅, , , ,3,0,0,0,0.000,최준석,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
8, , , , , , , , ,좌안,1,1,0,1,0.200,정원석,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
9, ,포파, , ,유비, ,좌비, , ,3,0,0,0,0.143,유재웅,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
10, , , , , , , , ,유땅,1,0,0,1,0.000,오재원,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
11, ,중안, , ,유실, ,3땅, ,좌2,4,2,2,0,0.333,채상병,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
12, ,유2병, , ,4구, ,2땅, ,4구,2,0,0,0,0.400,이대수,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
0,중안,삼진, , ,중안, ,1땅, ,4구,4,2,0,0,0.417,이용규,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
1,3땅, ,삼진, ,4구, ,삼진, ,중비,4,0,0,0,0.125,김원섭,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
2,4구, ,유땅, ,4구, ,중비, , ,2,0,0,0,0.000,장성호,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
3,중비, ,3비, ,삼진, , ,우비, ,4,0,0,0,0.000,최희섭,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
4,중비, , ,2땅,삼진, , ,중비, ,4,0,0,0,0.200,이현곤,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
5, ,투안, ,사구, ,좌중2, ,삼진, ,3,2,0,0,0.222,나지완,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,KIA,두산,,,,
