,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2016년 04월 01일,47,42,9,6,2,0,1,5,4,4,0,11,2,1,1,0,0,102,잠실
2016년 04월 01일,36,30,6,5,1,0,0,1,1,5,0,6,0,2,1,0,1,-21,고척
2016년 04월 01일,36,36,10,4,5,0,1,4,4,0,0,7,0,0,0,1,1,112,인천
2016년 04월 01일,35,32,8,8,0,0,0,1,1,2,1,6,1,1,0,2,1,-9,대구
2016년 04월 01일,36,30,9,5,2,0,2,5,5,5,0,9,0,0,1,1,1,181,마산
2016년 04월 02일,49,40,12,8,2,1,1,8,8,8,1,9,1,2,0,0,1,244,잠실
2016년 04월 02일,35,30,9,9,0,0,0,5,5,4,1,6,1,1,0,1,0,111,고척
2016년 04월 02일,44,37,10,7,2,0,1,4,4,6,1,6,2,0,0,1,1,184,인천
2016년 04월 02일,41,36,16,10,3,1,2,10,10,2,1,7,1,1,2,1,0,389,대구
2016년 04월 02일,36,33,7,5,1,0,1,3,3,2,1,5,1,0,0,1,0,74,마산
2016년 04월 03일,,,,,,,,,,,,,,,,,,,잠실
2016년 04월 03일,42,34,11,9,2,0,0,6,6,7,0,7,3,0,1,0,1,192,고척
2016년 04월 03일,38,32,8,6,2,0,0,4,4,3,2,4,1,1,1,0,0,98,인천
2016년 04월 03일,,,,,,,,,,,,,,,,,,,대구
2016년 04월 03일,,,,,,,,,,,,,,,,,,,마산
2016년 04월 05일,39,28,6,4,1,1,0,6,5,7,4,5,2,1,0,0,0,159,잠실
2016년 04월 05일,42,32,11,6,4,0,1,8,8,8,0,6,2,0,2,1,3,272,수원
2016년 04월 05일,41,35,13,9,4,0,0,9,8,4,1,1,1,0,1,1,1,282,대전
2016년 04월 05일,31,28,6,4,1,0,1,4,4,3,0,10,0,0,0,2,0,59,광주
2016년 04월 05일,34,30,5,5,0,0,0,2,2,3,1,7,0,0,0,0,0,-18,사직
2016년 04월 06일,32,30,5,4,0,0,1,2,2,1,1,8,0,0,0,0,0,17,잠실
2016년 04월 06일,38,36,7,2,2,0,3,6,6,2,0,6,0,0,0,0,2,139,수원
2016년 04월 06일,36,35,11,6,3,0,2,4,4,0,0,5,1,0,1,1,0,176,대전
2016년 04월 06일,,,,,,,,,,,,,,,,,,,광주
2016년 04월 06일,31,27,14,8,3,0,3,11,11,2,1,2,1,1,1,0,1,441,사직
2016년 04월 07일,40,36,10,9,1,0,0,2,2,2,2,9,0,0,0,1,0,30,잠실
2016년 04월 07일,34,30,4,3,1,0,0,1,1,4,0,9,0,1,0,0,1,-82,수원
2016년 04월 07일,40,39,12,8,2,0,2,3,3,0,1,10,0,0,0,0,1,113,대전
2016년 04월 07일,37,34,9,4,5,0,0,4,4,2,1,6,1,1,0,1,0,93,광주
2016년 04월 07일,33,31,5,3,1,0,1,3,3,1,0,8,0,0,1,0,0,24,사직
2016년 04월 08일,40,29,8,5,2,0,1,6,6,8,1,7,2,2,2,0,0,231,잠실
2016년 04월 08일,41,36,8,8,0,0,0,3,1,4,0,4,0,0,1,0,1,-4,인천
2016년 04월 08일,33,31,8,6,2,0,0,4,3,1,0,3,1,0,1,3,1,66,수원
2016년 04월 08일,36,34,10,7,2,0,1,3,3,2,0,9,1,0,0,2,2,56,사직
2016년 04월 08일,38,30,9,6,2,0,1,5,4,7,0,6,3,1,1,2,0,198,마산
2016년 04월 09일,49,46,13,10,1,0,2,9,8,3,0,11,0,1,0,2,0,180,잠실
2016년 04월 09일,32,27,5,2,0,0,3,4,4,5,0,7,0,1,0,1,1,142,인천
2016년 04월 09일,38,35,11,9,2,0,0,3,3,2,0,7,2,0,1,1,3,47,수원
2016년 04월 09일,41,37,15,13,1,0,1,7,7,4,0,6,1,0,0,2,1,254,사직
2016년 04월 09일,41,36,13,9,2,0,2,10,10,3,1,4,0,0,1,0,0,341,마산
