,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,4구, ,유땅, ,우안, , ,좌비, ,3,1,0,0,0.266,전준우,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
1, , , , , , , , ,중안,1,1,1,0,0.216,이승화,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
2,중비, ,우비, ,유땅, , , , ,3,0,0,0,0.309,김주찬,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
3, , , , , , , ,좌안,투땅,2,1,1,0,0.231,정훈,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
4,4구, ,삼진, , ,유비, ,3직, ,3,0,0,0,0.308,손아섭,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
5,2직, , ,4구, ,좌비, , , ,2,0,0,0,0.278,강민호,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
6, , , , , , , ,좌중안, ,1,1,0,0,0.105,용덕한,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
7, ,중안, ,우안, ,삼진, ,좌비, ,4,2,0,0,0.276,박종윤,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
8, ,1희번, ,3희번, , ,4구, ,2비,1,0,0,0,0.281,조성환,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
9, ,2비, ,2땅, , , , , ,2,0,0,0,0.266,황재균,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
10, , , , , , ,중비, ,2땅,2,0,0,0,0.171,김문호,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
11, ,3땅, , ,1파, ,유병, ,좌안,4,1,0,1,0.329,박준서,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
12, , ,중안, ,우비, , ,사구,좌안,3,2,0,1,0.205,문규현,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,롯데,두산,,,
0,우비, , ,좌2,좌안,유병, , , ,4,2,0,2,0.264,고영민,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
1,우비, , ,포희번,우안, ,중비, , ,3,1,1,1,0.250,김재호,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
2,유땅, , ,좌안,투땅, ,좌비, , ,4,1,2,0,0.320,김현수,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
3, ,유직, ,2비,우안, ,3땅, , ,4,1,1,0,0.233,최준석,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
4, ,삼진, ,중비,2비, , , , ,3,0,0,0,0.323,양의지,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
5, , , , , , , ,좌안, ,1,1,0,0,0.176,최재훈,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
6, ,중비, , ,중안, , , , ,2,1,0,0,0.287,윤석민,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
7, , , , , ,유땅, ,좌비, ,2,0,0,1,0.289,오재원,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
8, , ,우중안, ,4구,좌중안, , , ,2,2,0,2,0.231,이원석,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
9, , , , , , , ,삼진, ,1,0,0,0,0.266,최주환,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
10, , ,삼진, , , , , , ,1,0,0,0,0.275,이성열,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
11, , , , ,포희번,유안, ,2땅, ,2,1,0,0,0.246,정수빈,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
12, , ,3직, ,좌중안,중안, , , ,3,2,2,1,0.221,이종욱,구장 : 잠실,"관중 : 23,159",2012.07.01(일),개시 : 17:01,경기시간 : 2:41,두산,롯데,,,
0,1땅, ,1땅, ,1땅, ,중안, ,4구,4,1,0,2,0.343,이병규,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
1, , , , , , , , , ,0,0,0,0,0.203,양영동,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
2,우비, , ,1땅,우홈, ,유비, ,좌비,5,1,3,1,0.308,박용택,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
3,삼진, , ,좌중안,투땅, ,우안, ,3땅,5,2,0,0,0.389,윤요섭,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
4, ,유땅, ,삼진, ,3땅, , , ,3,0,0,0,0.298,정성훈,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
5, , , , , , ,좌중안, , ,1,1,1,0,0.292,최동수,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
6, , , , , , , , , ,0,0,0,0,0.143,윤진호,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
7, ,2비, ,좌중안, ,우2, , , ,3,2,0,0,0.309,정의윤,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
8, , , , , , ,좌비, , ,1,0,0,1,0.235,김용의,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
9, ,삼진, ,1땅, ,우중2, ,2직, ,4,1,1,0,0.306,이병규,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
10, , ,중안, ,4구,삼진, ,2땅, ,3,1,0,1,0.231,김일경,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
11, , ,투희번, ,투희번,2땅, ,우비, ,2,0,0,0,0.218,김태군,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
12, , ,삼진, ,사구, ,삼진, ,사구,2,0,0,0,0.224,오지환,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,LG,SK,,,
0,2땅, ,3땅, ,4구, ,투안, ,중안,4,2,0,0,0.281,정근우,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
1,좌중안, ,우안, ,좌비, ,2유병, ,4구,4,2,0,0,0.219,박재상,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
2,좌안, ,좌안, , , , , , ,2,2,0,0,0.282,최정,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
3, , , , ,우안, ,유비, , ,2,1,0,0,0.221,최윤석,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
4, , , , , , , , ,1땅,1,0,0,0,0.259,김재현,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
5,투땅, ,유땅, ,3땅, , ,우홈,삼진,5,1,1,1,0.280,이호준,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
6,3파, , ,유땅, , , , , ,2,0,0,0,0.241,안치용,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
7, , , , , ,우안, ,우홈,우비,3,2,1,1,0.229,박정권,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
8, ,4구, ,좌비, ,중비, ,삼진, ,3,0,0,0,0.247,김강민,구장 : 문학,"관중 : 23,274",2012.07.01(일),개시 : 17:00,경기시간 : 3:06,SK,LG,,,
