,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,2땅, ,삼진,4구, ,1땅, , ,1땅,4,0,0,0,0.307,전준호,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
1,2땅, ,좌안,2안, ,삼진, , ,우홈,5,3,2,1,0.209,박종호,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
2,4구, ,3땅,3땅, , ,삼진, ,투땅,4,0,0,0,0.307,박재홍,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
3,중비, ,중안, ,4구, ,삼진, ,중안,4,2,0,1,0.330,이숭용,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
4, ,중홈,우비, ,중비, ,삼진, ,중홈,5,2,3,2,0.325,심정수,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
5, ,투땅, ,삼진,유비, , ,우안,삼진,5,1,0,0,0.278,폴,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
6, ,삼진, ,우비,삼진, , ,좌안, ,4,1,0,0,0.209,박경완,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
7, ,좌안, ,중안, , , , , ,2,2,0,1,0.262,채종국,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
8, , , , , ,우2, , , ,1,1,0,0,0.500,조재호,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
9, , , , , , , , , ,0,0,0,0,0.143,김일경,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
10, , , , , , , ,2땅, ,1,0,0,0,0.241,강병식,구장 : 무등,"관중 : 1,368",2002.07.02(화),개시 : 18:30,경기시간 : 3:10,현대,KIA,,
