,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,3안, ,우안, ,우안,좌비, , ,삼진,5,3,0,2,0.600,정근우,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
1,3파, ,좌2, ,삼진, ,2직, ,4구,4,1,1,1,0.250,송광민,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
2,중안, ,삼진, ,우중안, ,4구, ,좌안,4,3,0,0,0.750,호잉,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
3,중안, ,삼진, ,중안, ,유2병, ,4구,4,2,1,0,0.500,김태균,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
4,1땅, ,사구, ,4구, , ,좌안,우희비,2,1,1,1,0.500,이성열,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
5, ,2땅,2땅, ,2유병, , ,3희번,2땅,4,0,0,0,0.000,하주석,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
6, ,투땅, ,포땅, , , , , ,2,0,0,0,0.000,김민하,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
7, , , , , ,삼진, ,좌비, ,2,0,0,0,0.000,양성우,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
8, ,좌안, ,우비, ,유땅, ,우안, ,4,2,1,0,0.500,최재훈,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
9, ,삼진, ,중비, ,4구, ,삼진, ,3,0,0,0,0.000,정은원,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,한화,두산,,
0,3땅, ,우비, ,유땅, ,유땅, , ,4,0,0,0,0.000,허경민,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
1,4구, , ,좌중안, ,3파, ,유땅, ,3,1,0,1,0.333,정수빈,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
2,우비, , ,좌중홈, ,중안, ,3땅, ,4,2,2,2,0.500,박건우,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
3,삼진, , ,좌비, ,4구, ,4구, ,2,0,0,1,0.000,김재환,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
4, ,4구, ,좌비, ,좌비, ,4구, ,2,0,0,1,0.000,오재일,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
5, ,2유병, ,유땅, ,우안, ,좌2, ,4,2,3,0,0.500,페르난데,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
6, ,1땅, , ,2땅,삼진, , , ,3,0,0,0,0.000,오재원,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
7, , ,중비, ,중안, ,2땅, , ,3,1,0,0,0.333,박세혁,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
8, , ,1파, ,우비, ,삼진, , ,3,0,0,0,0.000,김재호,구장 : 잠실,"관중 : 25,000",2019.03.23(토),개시 : 14:11,경기시간 : 3:15,두산,한화,,
0,중안,유땅, ,우비, ,삼진, , ,유땅,5,1,0,1,0.200,황재균,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
1,4구,투땅, ,삼진, ,삼진, , ,좌안,4,1,0,1,0.250,박경수,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
2, , , , , , , , , ,0,0,0,0,0.000,심우준,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
3,2땅, ,좌중안, ,투땅, ,삼진, ,중비,5,1,0,0,0.200,강백호,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
4,삼진, ,4구, ,삼진, ,2비, , ,3,0,0,0,0.000,로하스,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
5,좌안, ,유병, ,유땅, ,좌비, , ,4,1,2,0,0.250,유한준,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
6,우안, ,삼진, , ,3실, ,삼진, ,4,1,0,0,0.250,윤석민,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
7,중비, , ,좌중안, ,4구, ,삼진, ,3,1,0,1,0.333,오태곤,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
8, ,우안, ,우홈, ,삼진, ,우비, ,4,2,2,1,0.500,장성우,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
9, ,2땅, ,우비, ,우안, , , ,3,1,0,0,0.333,배정대,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
10, , , , , , , , ,3직,1,0,0,0,0.000,이해창,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,KT,SK,,
0,4구,2땅, ,우안, , ,삼진,좌파, ,4,1,1,1,0.250,노수광,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
1,좌홈,유땅, ,1비, , ,4구, , ,3,1,2,2,0.333,한동민,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
2,삼진, ,좌비, ,유땅, ,삼진, , ,4,0,0,0,0.000,최정,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
3,좌2, ,1비, ,3파, ,좌중홈, , ,4,2,2,2,0.500,로맥,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
4,좌안, ,삼진, ,1땅, ,4구, , ,3,1,0,0,0.333,이재원,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
5,중안, , ,3땅, ,좌비,유땅, , ,4,1,1,0,0.250,정의윤,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
6,중비, , ,좌안, ,삼진, ,4구, ,3,1,0,2,0.333,김강민,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
7,좌비, , ,중안, ,4구, ,4구, ,2,1,0,0,0.500,최항,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
8, , , , , , , , , ,0,0,0,0,0.000,김재현,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
9, , , , , , , , , ,0,0,0,0,0.000,강승호,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
10, ,2비, ,좌비, ,우비, ,2병, ,4,0,0,0,0.000,김성현,구장 : 문학,"관중 : 21,909",2019.03.23(토),개시 : 14:00,경기시간 : 3:04,SK,KT,,
0,스낫, ,좌안,1땅, ,우안, ,3희번, ,4,2,0,1,0.500,서건창,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
1,2비, ,좌안, ,좌홈,우비, ,유땅, ,5,2,1,2,0.400,김하성,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
2,2비, ,좌안, ,우홈,3직, ,좌안, ,5,3,4,2,0.600,박병호,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
3,4구, ,4구, ,중안, ,중안,4구, ,2,2,0,1,1.000,샌즈,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
4,2비, ,투땅, ,좌안, ,3땅,삼진, ,5,1,0,0,0.200,장영석,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
5, ,투실,2안, ,삼진, ,삼진, ,중비,5,1,1,0,0.200,임병욱,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
6, ,유비,32병, , , , , , ,2,0,0,0,0.000,허정협,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
7, , , , ,2땅, ,중안, ,중비,3,1,1,0,0.333,이정후,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
8, ,삼진, ,삼진,2땅, ,2땅, ,3실,5,0,0,0,0.000,김혜성,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
9, ,3땅, ,삼진, ,좌중2, , , ,3,1,0,0,0.333,주효상,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
10, , , , , , , ,중안, ,1,1,0,1,1.000,이지영,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,키움,롯데,,
0,3땅, ,좌2, ,좌안,우비, , ,삼진,5,2,0,1,0.400,민병헌,구장 : 사직,"관중 : 24,500",2019.03.23(토),개시 : 14:00,경기시간 : 3:25,롯데,키움,,
