,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,1땅, ,좌중2, ,1땅, ,중안,우안,중희비,5,3,2,1,0.323,이정후,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
1,삼진, ,삼진, ,1땅, ,2땅,3안,유비,6,1,0,1,0.319,임병욱,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
2,4구, , ,유땅, ,좌2,삼진,좌안, ,4,2,1,2,0.364,이택근,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
3,3땅, , ,1비, ,좌안, ,우중3/ 좌홈, ,5,3,3,3,0.301,김하성,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
4, ,삼진, ,2땅, ,좌비, ,좌중안/ 2땅, ,5,1,1,1,0.219,고종욱,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
5, , , , , , , , , ,0,0,0,0,0.227,김지수,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
6, ,중비, , ,좌홈,삼진, ,삼진,좌중안,5,2,1,2,0.174,장영석,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
7, ,투땅, , ,중안,좌홈, ,4구,좌안,4,3,2,2,0.545,김규민,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
8, , ,삼진, ,우안,삼진, ,우2,4구,4,2,1,1,0.270,김혜성,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
9, , ,삼진, ,포땅, ,3땅,투희번,3파,4,0,1,0,0.154,김재현,구장 : 마산,"관중 : 6,524",2018.05.01(화),개시 : 18:31,경기시간 : 3:53,넥센,NC,,
