,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2015년 03월 28일,43,35,12,9,0,1,2,9,9,6,0,3,1,0,2,0,1,349,잠실
2015년 03월 28일,46,40,8,4,2,0,2,5,5,6,0,7,2,0,0,1,0,158,목동
2015년 03월 28일,42,38,13,10,3,0,0,6,6,4,0,5,3,0,0,0,1,212,시민
2015년 03월 28일,34,30,8,5,1,1,1,3,3,3,0,5,2,0,1,1,0,154,광주
2015년 03월 28일,42,37,14,7,5,0,2,12,12,3,1,8,2,1,1,1,0,405,사직
2015년 03월 16일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,잠실
2015년 03월 25일,28,27,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,-84,잠실
2015년 03월 25일,,,,,,,,,,,,,,,,,,,시민
2015년 03월 25일,18,18,4,3,0,0,1,1,1,0,0,3,1,0,0,1,0,31,수원
2015년 03월 25일,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,대전
2015년 03월 26일,36,32,5,3,1,0,1,2,2,4,0,0,0,0,0,1,0,46,대전
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
2015년 03월 26일,37,30,9,4,2,1,2,9,9,1,6,4,0,0,0,5,1,262,잠실
2015년 03월 27일,,,,,,,,,,,,,,,,,,,잠실
2015년 03월 27일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,인천
2015년 03월 27일,7,6,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,-3,울산
2015년 03월 29일,29,29,7,5,0,0,2,4,4,0,0,2,0,0,0,2,0,129,잠실
2015년 03월 29일,39,33,7,5,2,0,0,3,3,4,2,7,0,0,0,0,1,30,목동
2015년 03월 29일,40,34,8,7,0,0,1,3,3,5,1,4,3,0,0,0,1,98,시민
2015년 03월 29일,39,30,9,5,1,0,3,7,7,6,1,2,0,0,2,0,0,308,광주
2015년 03월 29일,39,29,6,3,1,0,2,5,4,9,1,8,2,1,0,0,1,172,사직
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
2015년 03월 31일,29,26,6,5,1,0,0,1,1,3,0,5,0,2,0,0,0,-6,잠실
2015년 03월 31일,,,,,,,,,,,,,,,,,,,인천
2015년 03월 31일,,,,,,,,,,,,,,,,,,,대전
2015년 03월 31일,,,,,,,,,,,,,,,,,,,마산
2015년 03월 31일,39,33,7,3,4,0,0,6,6,5,1,8,0,2,0,0,2,60,수원
2015년 04월 01일,43,33,9,8,1,0,0,3,3,8,0,8,0,0,2,1,2,66,잠실
2015년 04월 01일,31,28,4,4,0,0,0,0,0,3,0,10,0,1,0,1,2,-109,인천
2015년 04월 01일,36,33,7,7,0,0,0,3,2,2,0,9,0,0,1,0,0,-21,대전
2015년 04월 01일,45,41,18,12,3,0,3,10,9,1,1,6,1,0,2,0,1,395,마산
2015년 04월 01일,39,38,10,8,2,0,0,1,1,1,0,15,1,0,0,0,0,-23,수원
2015년 04월 02일,,,,,,,,,,,,,,,,,,,잠실
2015년 04월 02일,,,,,,,,,,,,,,,,,,,인천
2015년 04월 02일,40,28,7,6,1,0,0,4,4,11,0,11,0,0,1,1,1,80,대전
2015년 04월 02일,,,,,,,,,,,,,,,,,,,마산
2015년 04월 02일,,,,,,,,,,,,,,,,,,,수원
2015년 04월 03일,43,35,7,3,4,0,0,3,3,3,3,8,0,0,2,1,1,48,잠실
2015년 04월 03일,46,39,16,8,5,0,3,14,14,6,1,8,1,0,0,1,0,491,목동
2015년 04월 03일,34,29,8,3,2,2,1,5,5,3,0,8,0,1,2,0,0,184,사직
2015년 04월 03일,43,33,11,10,0,0,1,11,11,7,1,5,4,0,2,1,1,333,마산
2015년 04월 03일,35,30,5,3,1,1,0,0,0,4,1,9,0,1,0,1,0,-25,수원
2015년 04월 04일,33,30,9,8,1,0,0,3,3,2,0,5,1,1,1,1,1,91,잠실
2015년 04월 04일,36,33,7,3,4,0,0,4,3,3,0,9,2,0,0,1,1,34,목동
2015년 04월 04일,,,,,,,,,,,,,,,,,,,사직
2015년 04월 04일,,,,,,,,,,,,,,,,,,,마산
2015년 04월 04일,38,35,9,6,3,0,0,2,2,3,0,3,3,0,0,1,3,55,수원
2015년 04월 05일,39,34,12,10,2,0,0,6,5,2,1,7,1,2,2,1,0,160,잠실
2015년 04월 05일,43,37,13,6,4,0,3,7,7,3,1,9,0,0,2,0,4,248,목동
2015년 04월 05일,48,37,14,7,3,0,4,16,14,11,0,10,0,0,0,3,2,479,사직
2015년 04월 05일,38,33,11,7,1,0,3,9,9,2,2,6,2,0,1,0,2,318,마산
2015년 04월 05일,32,30,6,4,2,0,0,1,1,2,0,5,0,0,0,3,1,-33,수원
