,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2019년 04월 06일,38,34,8,7,0,0,1,4,4,3,0,8,1,0,1,0,1,66,광주
2019년 04월 06일,36,31,8,5,2,1,0,9,8,5,0,3,2,0,0,1,0,203,사직
2019년 04월 07일,37,33,8,5,1,1,1,3,2,4,0,7,0,1,0,1,1,62,잠실
2019년 04월 07일,34,31,7,4,1,0,2,3,3,3,0,6,1,0,0,1,1,117,인천
2019년 04월 07일,34,32,8,6,1,0,1,4,4,2,0,5,2,0,0,1,0,124,수원
2019년 04월 07일,,,,,,,,,,,,,,,,,,,광주
2019년 04월 07일,23,23,5,4,0,0,1,1,1,0,0,8,1,0,0,0,1,-2,사직
2019년 04월 09일,,,,,,,,,,,,,,,,,,,잠실
2019년 04월 09일,43,30,9,6,2,0,1,7,7,12,0,8,1,2,1,1,0,233,고척
2019년 04월 09일,,,,,,,,,,,,,,,,,,,대전
2019년 04월 09일,,,,,,,,,,,,,,,,,,,광주
2019년 04월 09일,,,,,,,,,,,,,,,,,,,사직
2019년 04월 10일,37,32,7,4,2,0,1,5,5,4,0,4,1,0,1,1,1,115,잠실
2019년 04월 10일,36,29,7,4,1,1,1,4,4,5,2,7,2,0,0,2,0,149,고척
2019년 04월 10일,37,36,9,8,1,0,0,3,2,1,0,8,0,0,0,1,1,-23,대전
2019년 04월 10일,40,33,9,6,2,0,1,2,2,3,2,6,1,2,2,0,0,150,광주
2019년 04월 10일,37,34,6,4,1,0,1,1,1,2,1,12,0,0,0,0,1,-25,사직
2019년 04월 11일,36,34,10,6,2,1,1,5,4,2,0,6,2,0,0,0,0,181,잠실
2019년 04월 11일,34,32,5,3,1,0,1,1,1,2,0,7,0,0,0,0,1,-35,고척
2019년 04월 11일,31,31,5,5,0,0,0,0,0,0,0,8,1,0,0,1,1,-84,대전
2019년 04월 11일,37,34,9,6,3,0,0,2,2,3,0,9,1,0,0,2,0,37,광주
2019년 04월 11일,37,35,10,7,2,0,1,1,1,2,0,9,0,0,0,2,0,38,사직
2019년 04월 12일,33,30,10,10,0,0,0,3,3,1,0,5,1,1,2,1,0,93,잠실
2019년 04월 12일,38,32,11,6,3,1,1,5,5,5,1,7,1,0,0,2,0,218,고척
2019년 04월 12일,61,45,10,8,1,1,0,4,4,11,4,11,1,0,1,0,2,99,인천
2019년 04월 12일,37,30,8,7,1,0,0,5,4,6,1,3,1,1,0,2,0,117,대구
2019년 04월 12일,31,28,6,4,1,0,1,2,2,3,0,10,0,2,0,0,0,36,창원
2019년 04월 13일,41,37,13,11,2,0,0,5,5,4,0,4,1,0,0,1,1,159,잠실
2019년 04월 13일,40,35,12,9,3,0,0,5,5,5,0,5,2,0,0,1,0,178,고척
2019년 04월 13일,44,35,8,4,2,0,2,4,4,8,1,8,2,0,0,0,0,174,인천
2019년 04월 13일,40,33,6,2,3,0,1,3,3,6,1,7,0,0,0,1,0,88,대구
2019년 04월 13일,42,35,12,7,4,0,1,7,7,7,0,6,0,0,0,1,0,257,창원
2019년 04월 14일,30,29,5,4,1,0,0,0,0,1,0,5,0,0,0,2,2,-89,잠실
