,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2017년 03월 31일,33,29,4,4,0,0,0,0,0,3,0,8,0,1,1,0,4,-128,잠실
2017년 03월 31일,34,31,4,3,0,0,1,2,1,3,0,10,0,0,0,1,0,-41,고척
2017년 03월 31일,37,35,9,6,2,0,1,3,3,2,0,8,0,1,0,1,1,75,인천
2017년 03월 31일,42,34,7,2,1,1,3,7,7,8,0,5,0,1,0,0,1,257,대구
2017년 03월 31일,34,33,7,4,2,0,1,5,3,0,1,8,0,1,0,0,2,45,마산
2017년 04월 01일,54,44,16,13,2,0,1,6,6,6,0,8,0,0,4,0,1,242,잠실
2017년 04월 01일,39,36,11,4,5,0,2,8,8,1,1,9,1,0,1,0,0,272,고척
2017년 04월 01일,30,30,3,2,0,0,1,2,2,0,0,6,0,0,0,0,0,-15,인천
2017년 04월 01일,49,43,14,11,2,1,0,9,8,3,1,9,0,0,2,0,1,202,대구
2017년 04월 01일,38,32,6,4,2,0,0,3,3,4,1,11,0,0,1,0,1,13,마산
2017년 04월 02일,54,44,8,5,1,1,1,4,4,7,3,9,2,0,0,0,2,84,잠실
2017년 04월 02일,41,36,10,7,2,0,1,9,7,5,0,9,1,1,0,0,1,179,고척
2017년 04월 02일,46,38,11,8,1,0,2,8,7,7,0,6,1,0,1,0,0,261,인천
2017년 04월 02일,40,38,10,6,3,0,1,3,2,2,0,12,0,0,0,0,2,33,대구
2017년 04월 02일,45,37,13,6,2,0,5,12,12,5,2,10,1,0,1,1,1,451,마산
2017년 04월 04일,37,35,7,7,0,0,0,0,0,1,1,12,0,0,0,0,2,-102,잠실
2017년 04월 04일,40,32,8,5,3,0,0,2,2,5,2,4,3,0,1,1,1,110,수원
2017년 04월 04일,34,31,3,2,1,0,0,0,0,3,0,10,0,0,0,0,1,-101,대전
2017년 04월 04일,33,29,5,4,1,0,0,1,1,4,0,10,0,1,0,2,1,-69,광주
2017년 04월 04일,37,33,9,8,0,0,1,2,2,3,0,5,0,0,1,1,0,70,사직
2017년 04월 05일,,,,,,,,,,,,,,,,,,,잠실
2017년 04월 05일,,,,,,,,,,,,,,,,,,,수원
2017년 04월 05일,,,,,,,,,,,,,,,,,,,대전
2017년 04월 05일,,,,,,,,,,,,,,,,,,,광주
2017년 04월 05일,,,,,,,,,,,,,,,,,,,사직
2017년 04월 06일,31,31,4,3,0,1,0,0,0,0,0,7,0,0,0,0,2,-89,잠실
