,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2018년 03월 24일,32,32,6,3,2,0,1,3,2,0,0,4,0,0,0,1,0,42,잠실
2018년 03월 24일,41,37,12,8,3,0,1,6,5,4,0,10,2,0,0,0,0,204,고척
2018년 03월 24일,40,32,8,6,1,0,1,6,6,7,0,10,2,1,1,0,3,133,인천
2018년 03월 24일,43,36,12,10,2,0,0,4,4,2,2,8,0,0,3,0,0,118,광주
2018년 03월 24일,35,30,9,6,2,0,1,4,4,4,0,9,1,1,1,0,0,133,마산
2018년 03월 25일,34,28,8,7,0,0,1,5,3,3,1,4,0,0,2,2,0,129,잠실
2018년 03월 25일,33,31,5,3,1,0,1,1,1,1,1,11,0,0,0,0,0,-26,고척
2018년 03월 25일,36,31,9,4,2,0,3,5,5,5,0,9,1,0,0,2,1,221,인천
2018년 03월 25일,44,39,16,10,2,0,4,14,14,3,1,8,1,0,1,0,0,494,광주
2018년 03월 25일,41,30,8,7,1,0,0,7,5,5,4,5,2,0,2,2,0,146,마산
2018년 03월 27일,38,29,7,4,3,0,0,5,5,6,2,11,1,0,1,1,0,118,잠실
2018년 03월 27일,45,39,14,11,3,0,0,5,4,3,1,5,0,1,2,1,0,170,고척
2018년 03월 27일,43,39,14,10,0,1,3,8,8,3,1,9,4,0,0,0,1,346,인천
2018년 03월 27일,46,36,14,5,3,0,6,17,17,9,1,10,1,0,0,2,0,621,광주
2018년 03월 27일,38,32,9,6,1,0,2,9,6,3,2,8,0,0,1,0,0,208,마산
2018년 03월 28일,39,31,5,3,0,1,1,6,6,5,2,6,2,0,1,0,1,149,잠실
2018년 03월 28일,37,30,4,1,1,0,2,3,3,6,1,8,0,0,0,1,2,62,고척
2018년 03월 28일,36,35,9,6,2,0,1,5,3,1,0,6,1,0,0,2,2,67,인천
2018년 03월 28일,35,32,5,2,3,0,0,0,0,2,1,5,0,0,0,0,1,-44,광주
2018년 03월 28일,34,30,5,3,2,0,0,2,2,3,1,4,0,0,0,2,2,-27,마산
2018년 03월 29일,34,32,9,7,2,0,0,4,4,2,0,8,1,1,0,0,1,74,잠실
2018년 03월 29일,40,34,12,9,0,0,3,9,8,6,0,6,0,0,0,2,1,295,고척
2018년 03월 29일,34,33,7,4,3,0,0,1,1,1,0,5,0,0,0,0,0,-3,인천
2018년 03월 29일,39,33,13,10,1,0,2,7,7,4,1,7,0,1,1,2,0,272,광주
2018년 03월 29일,37,32,10,9,0,0,1,4,4,1,3,7,1,1,1,1,1,122,마산
2018년 03월 30일,40,36,10,7,3,0,0,3,3,3,1,6,1,1,0,1,0,77,잠실
2018년 03월 30일,34,33,7,5,1,0,1,2,2,1,0,6,0,0,0,0,0,8,수원
2018년 03월 30일,36,34,9,7,1,0,1,4,3,2,0,9,0,3,0,0,1,41,대전
2018년 03월 30일,57,51,14,9,1,1,3,8,8,4,1,12,1,0,1,0,0,273,대구
2018년 03월 30일,34,32,6,3,1,0,2,5,5,2,0,11,0,0,0,1,1,64,사직
2018년 03월 31일,35,33,9,4,3,0,2,6,6,1,0,5,0,0,1,0,0,210,잠실
2018년 03월 31일,55,47,22,15,4,0,3,20,17,7,0,6,1,0,1,0,0,600,수원
2018년 03월 31일,37,33,8,5,1,1,1,1,1,3,1,10,0,0,0,2,1,27,대전
2018년 03월 31일,35,32,7,7,0,0,0,2,2,2,0,8,0,0,1,1,0,-20,대구
2018년 03월 31일,38,30,9,7,2,0,0,5,5,5,0,4,0,1,3,2,0,128,사직
2018년 04월 01일,40,34,10,8,1,0,1,6,6,5,0,3,0,0,1,0,0,205,잠실
2018년 04월 01일,40,34,13,8,0,1,4,9,9,5,0,7,1,1,1,1,0,393,수원
2018년 04월 01일,31,31,4,3,0,0,1,1,1,0,0,10,0,0,0,0,1,-71,대전
2018년 04월 01일,43,36,14,10,3,0,1,6,5,3,2,9,2,1,2,0,2,232,대구
2018년 04월 01일,36,33,10,7,2,1,0,3,3,3,0,5,0,0,0,1,0,104,사직
2018년 04월 03일,47,42,12,8,3,0,1,5,5,2,1,10,2,0,2,0,0,190,잠실
2018년 04월 03일,34,30,6,6,0,0,0,1,0,3,1,7,0,2,0,1,1,-61,고척
2018년 04월 03일,43,37,14,6,1,1,6,13,13,3,3,7,0,1,0,0,1,533,인천
2018년 04월 03일,46,33,11,6,3,0,2,17,14,8,1,5,2,0,4,0,2,436,대전
2018년 04월 03일,35,34,8,4,2,1,1,4,4,1,0,8,0,0,0,1,2,85,마산
2018년 04월 04일,40,32,10,6,1,1,2,6,6,6,1,4,3,0,1,0,0,288,잠실
2018년 04월 04일,39,36,12,5,2,0,5,10,9,3,0,8,1,0,0,0,0,404,고척
2018년 04월 04일,40,35,7,5,1,0,1,6,5,4,0,11,0,0,1,1,1,70,인천
2018년 04월 04일,39,31,10,7,2,1,0,7,5,6,2,10,0,1,0,3,1,129,대전
2018년 04월 04일,34,31,9,4,3,0,2,4,4,3,0,8,1,0,0,1,0,179,마산
2018년 04월 05일,,,,,,,,,,,,,,,,,,,잠실
2018년 04월 05일,40,33,7,6,0,0,1,4,4,5,0,9,0,0,2,0,0,100,고척
2018년 04월 05일,,,,,,,,,,,,,,,,,,,인천
2018년 04월 05일,,,,,,,,,,,,,,,,,,,대전
2018년 04월 05일,36,35,7,5,1,0,1,1,1,1,0,11,1,0,0,0,1,-21,마산
2018년 04월 06일,,,,,,,,,,,,,,,,,,,잠실
2018년 04월 06일,,,,,,,,,,,,,,,,,,,인천
2018년 04월 06일,,,,,,,,,,,,,,,,,,,수원
2018년 04월 06일,48,40,16,12,3,0,1,11,11,6,1,9,0,0,1,0,1,336,광주
2018년 04월 06일,38,32,9,6,2,0,1,6,6,2,3,12,0,1,1,2,0,118,사직
2018년 04월 07일,41,30,7,5,1,0,1,6,6,8,1,7,2,0,2,0,1,184,잠실
2018년 04월 07일,46,40,7,4,1,0,2,4,4,5,0,12,1,0,1,1,3,54,인천
2018년 04월 07일,42,31,10,6,4,0,0,10,9,10,1,9,1,1,0,2,1,230,수원
2018년 04월 07일,34,30,9,7,1,0,1,5,5,3,0,6,0,1,1,2,0,144,광주
2018년 04월 07일,43,33,13,10,1,0,2,7,7,5,2,5,0,1,3,0,0,313,사직
2018년 04월 08일,52,38,14,10,4,0,0,11,9,12,0,9,1,0,2,0,0,320,잠실
2018년 04월 08일,39,35,10,9,1,0,0,4,4,4,0,4,0,0,0,1,2,52,인천
2018년 04월 08일,47,40,10,7,1,0,2,8,8,7,0,6,1,0,0,0,2,208,수원
2018년 04월 08일,31,31,9,6,1,0,2,4,4,0,0,7,0,1,0,1,0,136,광주
2018년 04월 08일,38,37,7,4,2,0,1,2,2,1,0,9,1,0,0,1,1,13,사직
2018년 04월 10일,36,32,6,5,1,0,0,1,1,3,1,13,1,0,0,1,1,-56,잠실
2018년 04월 10일,36,30,7,5,0,0,2,4,4,4,2,8,1,0,0,0,0,146,대전
