,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2019년 03월 23일,42,34,12,11,1,0,0,4,4,5,1,7,0,1,2,2,1,102,잠실
2019년 03월 23일,39,36,9,8,0,0,1,4,4,3,0,10,0,0,0,1,1,42,인천
2019년 03월 23일,34,31,8,5,3,0,0,2,2,3,0,12,0,0,0,3,0,14,광주
2019년 03월 23일,44,40,14,11,1,0,2,7,7,3,0,7,0,1,1,1,2,217,사직
2019년 03월 23일,31,29,4,4,0,0,0,0,0,2,0,5,0,0,0,3,0,-74,창원
2019년 03월 24일,43,37,9,7,2,0,0,11,10,5,0,11,0,0,1,1,0,158,잠실
2019년 03월 24일,37,33,7,6,1,0,0,3,3,3,1,10,6,1,0,0,1,41,인천
2019년 03월 24일,46,40,12,7,3,0,2,9,8,6,0,5,1,1,0,0,0,291,광주
2019년 03월 24일,35,33,6,4,2,0,0,2,2,2,0,12,0,1,0,0,1,-57,사직
2019년 03월 24일,42,30,5,3,2,0,0,4,3,7,3,7,0,0,2,0,2,55,창원
2019년 03월 26일,39,33,6,4,2,0,0,2,2,5,1,8,0,0,0,0,0,4,잠실
2019년 03월 26일,38,31,5,2,2,0,1,6,6,5,1,2,0,0,1,0,0,158,인천
2019년 03월 26일,46,38,16,8,5,0,3,13,13,6,1,7,1,1,1,3,2,456,광주
2019년 03월 26일,33,31,4,2,1,0,1,2,2,2,0,10,0,0,0,0,2,-42,사직
2019년 03월 26일,51,45,13,10,1,0,2,8,8,6,0,16,0,0,0,1,5,131,창원
2019년 03월 27일,38,35,6,5,0,0,1,2,2,2,0,7,0,0,1,0,0,13,잠실
2019년 03월 27일,46,40,9,8,1,0,0,1,0,6,0,10,1,0,0,2,1,-39,인천
2019년 03월 27일,40,35,9,4,4,0,1,4,4,5,0,7,0,0,0,1,0,129,광주
2019년 03월 27일,62,51,24,12,3,1,8,23,23,11,0,10,0,1,0,0,0,902,사직
2019년 03월 27일,38,33,8,7,1,0,0,1,1,4,0,5,0,1,1,1,0,6,창원
2019년 03월 28일,42,36,9,6,3,0,0,5,5,5,1,2,0,0,0,0,0,145,잠실
2019년 03월 28일,30,29,2,1,0,0,1,1,1,1,0,9,0,0,0,0,0,-60,인천
2019년 03월 28일,33,30,5,2,3,0,0,4,4,2,0,10,1,1,1,0,0,28,광주
2019년 03월 28일,51,38,12,9,1,0,2,12,10,11,0,9,2,0,2,2,1,346,사직
2019년 03월 28일,41,37,11,10,0,0,1,2,2,2,2,6,0,0,0,1,0,76,창원
2019년 03월 29일,35,29,6,4,2,0,0,1,1,3,1,5,0,0,2,2,0,10,잠실
2019년 03월 29일,40,33,10,7,3,0,0,5,5,5,1,2,1,1,1,2,0,168,고척
2019년 03월 29일,35,33,7,6,1,0,0,3,3,1,0,13,0,0,1,0,0,-29,수원
2019년 03월 29일,34,32,7,7,0,0,0,0,0,2,0,8,0,0,0,1,1,-75,대전
2019년 03월 29일,41,36,11,7,3,0,1,3,3,5,0,6,0,0,0,2,1,131,대구
2019년 03월 30일,41,34,9,7,2,0,0,7,7,4,0,8,1,0,3,0,1,142,잠실
