지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
108,서울,2014-03-29 11:00,17.2,,2.1,90,43
108,서울,2014-03-29 12:00,17.5,0,3,90,53
108,서울,2014-03-29 13:00,17.8,,3.3,90,60
108,서울,2014-03-29 14:00,17.5,,3.1,90,67
108,서울,2014-03-29 15:00,16.4,0,2.4,90,77
108,서울,2014-03-29 16:00,15.9,,3.1,70,82
108,서울,2014-03-29 17:00,15,,3.5,70,94
108,서울,2014-03-29 18:00,14.5,.2,2.5,50,99
108,서울,2014-03-29 19:00,14.2,,2.9,50,100
108,서울,2014-03-29 20:00,14.2,,3.4,70,96
108,서울,2014-03-29 21:00,14.4,.3,1.3,50,92
108,서울,2014-03-29 22:00,14.4,,1.6,320,94
108,서울,2014-03-29 23:00,13.9,,3,290,95
108,서울,2014-03-30 00:00,13.2,3,1.1,290,98
108,서울,2014-03-30 01:00,12.3,,2.9,70,95
108,서울,2014-03-30 02:00,12.1,,3.2,70,92
108,서울,2014-03-30 03:00,11.7,0,2,50,88
108,서울,2014-03-30 04:00,11.7,,2.2,290,90
108,서울,2014-03-30 05:00,11.2,,1.3,90,87
108,서울,2014-03-30 06:00,10.5,0,2.1,70,84
108,서울,2014-03-30 07:00,10.3,,2.1,290,85
108,서울,2014-03-30 08:00,11.1,,3.8,70,75
108,서울,2014-03-30 09:00,13,,2.3,50,65
108,서울,2014-03-30 10:00,15,,3.7,70,63
108,서울,2014-03-30 11:00,16.3,,2.9,50,54
108,서울,2014-03-30 12:00,18.3,,5.4,70,47
108,서울,2014-03-30 13:00,18.6,,3.8,50,44
108,서울,2014-03-30 14:00,19.3,,3.6,320,42
108,서울,2014-03-30 15:00,19.5,,3.2,290,42
108,서울,2014-03-30 16:00,20.1,,2.7,360,36
108,서울,2014-03-30 17:00,19.9,,1.6,270,40
108,서울,2014-03-30 18:00,18.4,,4.7,270,54
108,서울,2014-03-30 19:00,16.4,,4.5,270,60
108,서울,2014-03-30 20:00,15.3,,3.8,270,61
108,서울,2014-03-30 21:00,15,,2.9,290,60
108,서울,2014-03-30 22:00,14.3,,2.6,290,63
108,서울,2014-03-30 23:00,13.4,,1.6,270,68
108,서울,2014-03-31 00:00,12.8,,2,270,68
108,서울,2014-03-31 01:00,11.7,,2.2,270,73
108,서울,2014-03-31 02:00,11.4,,.5,250,69
108,서울,2014-03-31 03:00,10.6,,1.1,270,74
108,서울,2014-03-31 04:00,10.1,,1.9,290,76
108,서울,2014-03-31 05:00,9.7,,2.1,250,78
108,서울,2014-03-31 06:00,9.1,,.4,0,80
108,서울,2014-03-31 07:00,8.9,,1.2,270,79
108,서울,2014-03-31 08:00,10.4,,1.1,20,69
108,서울,2014-03-31 09:00,12.5,,1,200,60
108,서울,2014-03-31 10:00,14.8,,3,230,54
108,서울,2014-03-31 11:00,16.5,,1.8,290,42
108,서울,2014-03-31 12:00,18.2,,1.8,200,39
