,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,4구,유땅, ,유땅, , , , , ,2,0,0,0,0.143,민병헌,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
1, , , , , , ,2땅, ,2땅,2,0,0,0,0.333,장민석,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
2,삼진, ,4구,1땅, , ,중비, , ,3,0,0,0,0.111,오재원,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
3,2땅, ,4구, ,좌비, , ,유땅, ,3,0,0,1,0.000,김현수,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
4,삼진, ,좌비, ,좌비, , ,3땅, ,4,0,0,0,0.250,칸투,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
5, ,우안,3땅, ,3땅, , ,좌안, ,4,2,0,1,0.308,홍성흔,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
6, , , , , , , , , ,0,0,0,0,0.000,박건우,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
7, ,2안,4구, , ,삼진, ,유땅, ,3,1,0,1,0.250,이원석,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
8, ,유직,좌실, , ,우비, , , ,3,0,0,0,0.400,양의지,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
9, , , , , , , , ,2땅,1,0,0,0,0.000,김재환,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
10, ,4구,우비, , ,삼진, , , ,2,0,0,0,0.000,김재호,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
11, , , , , , , , ,1땅,1,0,0,0,0.000,오재일,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
12, ,4구, ,좌비, , ,투땅, ,4구,2,0,0,0,0.333,정수빈,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,두산,넥센,,,
0,2안, ,중안, ,우안,4구, ,우중3, ,4,4,1,2,0.417,서건창,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
1, , , , , , , , , ,0,0,0,0,0.000,서동욱,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
2,좌비, ,포파, ,우비,사구, ,우희비, ,3,0,2,1,0.308,이택근,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
3,유땅, ,좌중안, ,좌안,중홈, , , ,4,3,5,1,0.455,윤석민,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
4, , , , , , , ,사구, ,0,0,0,0,0.000,이성열,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
5,삼진, ,삼진, ,삼진,4구, ,3땅, ,4,0,0,0,0.200,박병호,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
6, ,3땅,삼진, ,삼진,삼진, ,중비, ,5,0,0,0,0.333,강정호,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
7, ,좌홈, ,우안, ,삼진,2땅, , ,4,2,1,1,0.417,김민성,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
8, ,우비, ,유비, ,유땅, , , ,3,0,0,0,0.091,로티노,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
9, , , , , , ,삼진, , ,1,0,0,0,0.500,문우람,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
10, ,좌2, ,32병, ,좌중2,우비, , ,4,2,0,1,0.375,유한준,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
11, ,우비, , ,좌안,4구, ,우안, ,3,2,0,3,0.556,허도환,구장 : 목동,"관중 : 7,492",2014.04.01(화),개시 : 18:29,경기시간 : 3:24,넥센,두산,,,
0,삼진/ 좌비, , ,4구, ,좌안,좌2, ,우비,5,2,1,1,0.167,김강민,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
1,사구,투땅, ,좌파, ,투안,중안, ,삼진,5,2,2,1,0.250,조동화,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
2,사구,삼진, ,포파, ,투희번,3땅, ,중안,4,1,0,2,0.250,최정,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
3,좌안,삼진, , ,삼진,유비,우비, , ,5,1,1,1,0.200,스캇,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
4, , , , , , , , ,우3,1,1,1,1,0.143,박재상,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
5,2실, ,4구, ,4구,4구, ,1땅,중안,3,1,1,3,0.600,박정권,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
6,2땅, ,4구, ,사구,3땅, ,우2, ,3,1,1,0,0.429,이재원,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
7, , , , , , , , ,중안,1,1,0,1,0.500,김재현,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
8,좌안, ,중희비, ,삼진, ,4구,중안,좌안,4,3,5,2,0.500,나주환,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
9,좌안, ,포파, ,유실, , , , ,3,1,1,0,0.429,조인성,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
10, , , , , , ,우파,좌비,삼진,3,0,0,0,0.167,정상호,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
11,좌안, ,좌비, ,2직, ,사구,3땅, ,4,1,0,1,0.250,김성현,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,SK,LG,,,
0,4구, ,2안,4구, ,고4, ,우비, ,2,1,0,0,0.444,박용택,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,LG,SK,,,
1,2땅, ,2땅,2비, ,삼진, , ,중안,5,1,0,2,0.308,이진영,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,LG,SK,,,
2,유2병, ,우2, ,중비,1파, , , ,4,1,1,1,0.400,정성훈,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,LG,SK,,,
3, , , , , , , , ,삼진,1,0,0,0,0.167,이병규,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,LG,SK,,,
4, ,좌안,좌홈, ,4구, ,유땅, ,우홈,4,3,4,3,0.500,조쉬벨,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,LG,SK,,,
5, ,중안,삼진, ,유2병, ,3땅, , ,4,1,0,1,0.182,정의윤,구장 : 잠실,"관중 : 14,989",2014.04.01(화),개시 : 18:30,경기시간 : 4:19,LG,SK,,,
