,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14
0,중비, ,2땅, , ,2땅,4구, ,2땅,4,0,0,0,0.285,정수근,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
1,중비, , ,중비, ,우안,삼진, , ,4,1,0,1,0.263,김주찬,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
2, , , , , , , , ,삼진,1,0,0,0,0.340,손광민,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
3,유비, , ,2비, ,우안,유땅, , ,4,1,1,0,0.348,조성환,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
4, ,유땅, ,중2, ,사구,우비, , ,3,1,0,0,0.314,이대호,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
5, ,중안, ,4구, ,중희비, ,우중안, ,2,2,1,0,0.310,강민호,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
6, ,우비, ,삼진, ,1파, ,1땅, ,4,0,0,0,0.246,가르시아,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
7, ,2땅, , ,좌비, ,중안,2땅, ,4,1,0,1,0.299,정보명,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
8, , ,3땅, ,유직, ,우안,중비, ,4,1,0,1,0.225,박현승,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
9, , ,유땅, ,유땅, ,우중안, ,2땅,4,1,1,0,0.272,박기혁,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,롯데,삼성,,,,,,
0,유땅,투땅, ,1희번, ,좌비, ,4구, ,3,0,0,0,0.314,박한이,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
1,우2, ,좌파,1실, ,1땅, , , ,4,1,0,1,0.291,우동균,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
2, , , , , , , ,4구, ,0,0,0,0,0.326,김창희,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
3,4구, ,4구,2땅, ,3비, ,2땅, ,3,0,0,0,0.237,양준혁,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
4,3땅, ,3땅,좌2, , ,삼진, , ,4,1,1,1,0.279,박석민,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
5,2땅, ,우중홈,좌비, , ,우비, , ,4,1,2,1,0.282,최형우,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
6, , , , , , , , , ,0,0,0,0,0.316,강봉규,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
7, ,중안,좌안, ,2땅, ,좌중2, , ,4,3,0,1,0.286,진갑용,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
8, , , , , , , , , ,0,0,0,0,0.229,현재윤,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
9, ,좌중홈,삼진, ,4구, ,1땅, , ,3,1,2,1,0.285,채태인,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
10, ,2땅, ,중안,중비, , , , ,3,1,0,1,0.205,손지환,구장 : 시민,"관중 : 6,235",2008.07.01(화),개시 : 18:30,경기시간 : 2:59,삼성,롯데,,,,,,
