,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,투직,1유병, ,좌안, ,4구,2땅, , ,4,1,0,1,0.285,강동우,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
1,2실,중안, ,포땅, ,투땅,3파, , ,5,1,0,2,0.268,한상훈,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
2,우2,1땅, ,4구, ,4구, ,2땅, ,3,1,0,2,0.247,장성호,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
3,삼진, , , , , , , , ,1,0,0,0,0.270,최진행,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
4, , ,사구,중홈, ,삼진, ,유땅, ,3,1,4,2,0.205,오재필,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
5,4구, ,우홈,삼진, ,삼진, ,4구, ,3,1,2,2,0.252,가르시아,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
6,중안, ,3땅,좌비, , ,3땅,3땅, ,5,1,2,1,0.289,이양기,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
7,좌안, ,삼진, ,유땅, , , , ,3,1,1,0,0.305,이대수,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
8, , , , , , ,4구, ,1직,1,0,0,1,0.103,백승룡,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
9,유땅, ,삼진, ,삼진, , , , ,3,0,0,0,0.242,이희근,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
10, , , , , , ,야선, ,삼진,2,0,1,0,0.271,신경현,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
11, ,4구, ,4구,1땅, ,3실, , ,2,0,0,0,0.223,이여상,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
12, , , , , , , , ,삼진,1,0,0,0,0.200,김준호,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
13, , , , , , , , , ,0,0,0,0,0.208,오선진,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,한화,넥센,,,
0,좌안,좌안, ,우비,4구, ,4구, ,삼진,4,2,1,1,0.246,김민우,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
1,유땅,삼진, ,우중2,삼진, ,좌희비, ,삼진,5,1,1,1,0.175,강병식,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
2,좌홈,삼진, ,유안,우비, ,삼진, ,삼진,6,2,3,1,0.270,송지만,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
3,2땅, ,좌안,우중안, ,삼진, ,4구, ,4,2,0,0,0.244,박병호,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
4,2땅, ,2땅,삼진, ,유비, , , ,4,0,0,0,0.237,알드리지,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
5, , , , , , , , , ,0,0,0,0,0.000,박헌도,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
6, , , , , , , ,중비, ,1,0,0,0,0.217,박정준,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
7, ,좌중2,중안, ,중안,2비, ,삼진, ,5,3,0,1,0.279,강정호,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
8, ,4구,삼진, ,좌안, ,3안,4구, ,3,2,0,3,0.231,오재일,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
9, , , , , , , , , ,0,0,0,0,0.000,신현철,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
10, ,4구,우비, , , , , , ,1,0,0,1,0.077,유선정,구장 : 목동,"관중 : 6,500",2011.10.01(토),개시 : 17:00,경기시간 : 4:29,넥센,한화,,,
