,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,중안, ,중땅, ,1땅, , ,투땅, ,4,1,0,1,0.284,김상수,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
1, , , , , , , , , ,0,0,0,0,0.219,김호재,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
2,삼진, ,우중안, ,투땅, , ,삼진, ,4,1,0,0,0.260,이학주,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
3,2땅, ,우중안, , ,우중안, , ,1땅,4,2,1,0,0.280,구자욱,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
4,4구, ,사구, , ,중비, , ,우중안,2,1,0,0,0.295,러프,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
5,삼진, ,삼진, , ,삼진, , ,중비,4,0,0,0,0.263,윌리엄슨,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
6, ,3땅, ,2땅, , ,2땅, ,2땅,4,0,0,0,0.296,김헌곤,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
7, ,삼진, ,유땅, , ,유땅, , ,3,0,0,0,0.245,최영진,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
8, ,삼진, ,삼진, , ,삼진, , ,3,0,0,0,0.000,이성규,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
9, , ,우중안, ,유땅, , , , ,2,1,0,0,0.189,김도환,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
10, , , , , , , ,우비, ,1,0,0,0,0.240,박해민,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
11, , , , , , , , , ,0,0,0,0,0.219,김민수,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,삼성,두산,,,
0,우안, ,2실, ,3직,우안, ,3땅, ,5,2,1,1,0.299,허경민,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
1,유안, ,우안, ,2땅,중비, , , ,4,2,0,1,0.246,정수빈,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
2,우비, ,포파, ,중안, ,삼진, , ,4,1,0,1,0.292,오재일,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
3,1땅, ,3비, ,4구, ,좌비, , ,3,0,0,0,0.347,페르난데,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
4,사구, ,우안, ,중안, ,유땅, , ,3,2,3,0,0.274,박세혁,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
5,중비, ,유땅, ,유땅, , ,우비, ,4,0,0,0,0.277,김재호,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
6, ,3파, ,좌비, ,3안, ,4구, ,3,1,0,1,0.167,오재원,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
7, ,좌비, ,좌비, ,포희번, , , ,2,0,0,0,0.150,김인태,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
8, , , , , , , ,3비, ,1,0,0,0,0.271,최주환,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
9, , , , , , , , , ,0,0,0,0,0.000,김태근,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
10, ,2땅, ,우비, , , , , ,2,0,0,0,0.211,정진호,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
11, , , , , ,3땅, ,4구, ,1,0,0,0,0.316,박건우,구장 : 잠실,"관중 : 14,075",2019.09.01(일),개시 : 14:01,경기시간 : 2:58,두산,삼성,,,
0,삼진, ,중안,중안, ,삼진, , ,삼진,5,2,0,2,0.317,이천웅,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
1,좌비, ,우안,4구, , ,2땅, ,중비,4,1,0,1,0.237,오지환,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
2,중비, ,좌홈,중안, , ,유땅, ,삼진,5,2,4,1,0.298,이형종,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
3, ,삼진,좌홈,유땅, , ,우비, , ,4,1,1,1,0.323,김현수,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
4, ,좌홈,중비, ,중비, , ,유땅, ,4,1,1,1,0.320,채은성,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
5, ,유비,중안, ,좌비, , ,중안, ,4,2,0,0,0.270,페게로,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
6, ,4구,좌비, ,3땅, , ,삼진, ,3,0,0,0,0.257,김민성,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
7, , , , , , , , , ,0,0,0,0,0.155,구본혁,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
8, ,유땅, ,1비, ,중비, ,우비, ,4,0,0,0,0.260,유강남,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
9, , , , , , , , , ,0,0,0,0,0.164,이성우,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
10, , ,우비,유땅, ,좌비, , , ,3,0,0,0,0.235,정주현,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
11, , , , , , , , ,우2,1,1,0,0,0.111,홍창기,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,LG,SK,,,
0,1실,4구, , , , , , , ,1,0,0,1,0.263,노수광,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,SK,LG,,,
1, , ,2비, ,4구, , ,2땅, ,2,0,0,0,0.276,김강민,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,SK,LG,,,
2,우2,2병, ,중안,삼진, , ,중홈, ,5,3,1,3,0.334,고종욱,구장 : 문학,"관중 : 16,535",2019.09.01(일),개시 : 13:59,경기시간 : 3:11,SK,LG,,,
