,0,1,2,3,4,5,6,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,7,8,9,10,11
0,좌2, ,중안, ,4구,좌안, ,3,3,0,1,0.308,정근우,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
1,삼진, ,좌안, ,중안,좌안, ,4,3,2,0,0.329,송광민,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
2,3파, ,2땅, ,2병,4구, ,3,0,0,0,0.324,김경언,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
3,중비, , ,우중홈, ,우안/ 삼진, ,4,2,1,2,0.370,김태균,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
4, ,2땅, ,우2, ,4구,우중홈,3,2,1,2,0.340,피에,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
5, ,유땅, ,유비, ,우비,우비,4,0,0,0,0.294,김태완,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
6, ,투땅, ,유땅, ,우안,유땅,4,1,2,1,0.272,최진행,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
7, , , , , , , ,0,0,0,0,0.235,장운호,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
8, , ,삼진,포파, ,좌2,중비,4,1,1,1,0.239,조인성,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
9, , ,삼진, , , , ,1,0,0,0,0.260,강경학,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
10, , , , ,1땅,4구, ,1,0,0,0,0.281,한상훈,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
11, , , , , , , ,0,0,0,0,0.309,이학준,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
0,좌2, ,우비, ,좌안,3땅, ,4,2,0,1,0.347,이명기,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
1,삼진, ,우비, ,유병, ,좌비,4,0,0,0,0.296,김성현,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
2,좌비, , ,유땅,좌비, ,삼진,4,0,0,0,0.316,최정,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
3,중홈, , ,우2, ,1땅,삼진,4,2,2,2,0.292,박정권,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
4,2비, , ,4구, ,4구, ,1,0,0,1,0.360,이재원,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
5, , , , , , , ,0,0,0,1,0.330,박계현,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
6, , , , , , , ,0,0,0,0,0.242,정상호,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
7, ,중비, ,4구, ,좌안, ,2,1,0,1,0.300,김강민,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
8, ,삼진, ,우중홈, ,2실, ,3,1,4,1,0.264,한동민,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
9, , , , , , , ,0,0,0,0,0.252,조동화,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
10, ,중비, ,중비, ,우비, ,3,0,0,0,0.315,임훈,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
11, , ,3땅,좌비, ,2실, ,3,0,0,0,0.269,나주환,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
0,삼진,삼진, , ,삼진, , ,3,0,0,0,0.303,박민우,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
1, , , , , ,삼진, ,1,0,0,0,0.143,노진혁,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
2, , , , , , , ,1,1,0,0,0.500,이현곤,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,3안, ,,,
3, , , , , , , ,1,0,0,0,0.000,강민국,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, ,중비,,,
4,중비,3파, , ,2땅, , ,3,0,0,0,0.282,김종호,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
5, , , , , ,삼진, ,3,2,1,0,0.286,권희동,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,좌안,좌2,,,
6,삼진, ,우안, ,삼진, ,삼진,5,1,0,0,0.340,나성범,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,4구,삼진,,,
7, ,우중2,2비, , ,2안,우중2,5,3,0,2,0.341,테임즈,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,삼진, ,,,
8, ,1땅,삼진, , ,4구,1직,3,0,0,1,0.273,이호준,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, ,4구,,,
9, , , , , , , ,0,0,0,1,0.143,김성욱,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
10, ,좌중안,좌비, , ,우안,삼진,5,3,1,2,0.284,이종욱,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, ,중안,,,
11, ,중안, ,삼진, ,4구, ,3,2,1,3,0.274,모창민,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,우안,4구,,,
12, ,사구, ,삼진, , , ,1,0,0,0,0.263,지석훈,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
13, , , , , ,삼진, ,1,0,0,0,0.262,조영훈,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
14, , , , , , , ,2,1,3,1,0.167,이승재,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,삼진,중3,,,
15, ,좌2, ,유땅, , , ,2,1,2,0,0.127,이태원,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
16, , , , , ,4구, ,0,0,1,0,0.263,박정준,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성, , ,,,
17, , , , , , , ,2,0,0,0,0.195,이상호,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,NC,삼성,좌비,3땅,,,
0,유땅, ,좌비, ,좌안,4구, ,4,2,0,1,0.320,나바로,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, ,좌안,,,
1, , , , , , , ,0,0,0,1,0.333,조동찬,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, , ,,,
2,좌안, ,중비, ,투희번,우안, ,4,3,2,1,0.326,박한이,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, ,우홈,,,
3,1땅, , ,유직,유안,투땅, ,4,1,1,1,0.321,채태인,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, ,4구,,,
4, , , , , , , ,0,0,0,1,0.000,박찬도,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, , ,,,
5,2비, , ,좌비,우안, ,삼진,5,1,1,1,0.359,최형우,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, ,유실,,,
6, , , , , , , ,0,0,0,1,0.170,정형식,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, , ,,,
7, ,좌비, ,중안,유중안, ,삼진,5,3,2,1,0.316,박석민,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, ,좌안,,,
8, , , , , , , ,0,0,0,0,0.265,김헌곤,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, , ,,,
9, ,삼진, ,좌중안,우안, ,좌비,5,2,1,1,0.306,이승엽,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, ,좌비,,,
10, ,중안, ,중2,삼진, , ,4,3,1,0,0.309,박해민,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC,우안, ,,,
11, ,3땅, ,2직,우비, , ,3,0,0,0,0.291,이지영,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC, , ,,,
12, , , , , , , ,1,0,0,0,0.234,이흥련,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC,투땅, ,,,
13, , ,삼진, ,4구,삼진, ,3,0,0,1,0.283,김상수,구장 : 대구,"관중 : 4,384",2014.09.02(화),개시 : 18:30,경기시간 : 4:25,삼성,NC,유병, ,,,
0,삼진, ,3직, ,2땅, , ,3,0,0,1,0.300,박민우,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센,4구, ,,,
1, , , , , , , ,0,0,0,0,0.195,이상호,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
2,유땅, ,유실, , , , ,2,0,0,0,0.272,모창민,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
3, , , , ,삼진, , ,2,0,0,0,0.250,이현곤,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센,우비, ,,,
4,2땅, ,중비, ,삼진, , ,4,1,2,1,0.339,나성범,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센,중홈, ,,,
5, ,삼진,중안, , ,삼진, ,4,1,0,0,0.340,테임즈,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센,1땅, ,,,
6, , , , , , , ,0,0,0,0,0.262,조영훈,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
7, ,4구,4구, , ,1비, ,2,0,0,0,0.271,이호준,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센,우비, ,,,
8, ,유땅,유땅, , ,유땅, ,3,0,0,1,0.282,이종욱,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
9, , , , , , , ,1,1,1,1,0.250,김성욱,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, ,우중홈,,,
10, ,좌3, ,유땅, , ,3땅,3,1,1,1,0.287,권희동,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
11, , , , , , , ,1,0,0,0,0.281,김종호,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, ,삼진,,,
12, ,좌중안, ,삼진, , ,유땅,3,1,1,0,0.264,지석훈,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
13, , , , , , , ,1,0,0,0,0.000,강민국,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, ,중비,,,
14, ,3땅, ,삼진, , , ,2,0,0,0,0.123,이태원,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
15, , , , , , ,1땅,1,0,0,0,0.143,이승재,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, , ,,,
16, , , , , , , ,1,0,0,0,0.256,박정준,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,NC,넥센, ,좌비,,,
0,우비,사구, ,좌비, ,3안,사구,3,1,0,1,0.320,이택근,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
1,삼진, , , , , , ,1,0,0,0,0.284,문우람,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
2, ,4구, ,3땅, ,3비,삼진,3,0,0,0,0.207,박헌도,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
3,4구,중안, ,4구, ,삼진, ,3,2,2,3,0.368,서건창,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC,우중2, ,,,
4,우홈,좌비, ,좌홈, , ,좌중홈,5,4,7,4,0.302,박병호,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC,좌홈, ,,,
5,2땅,삼진, ,우파, , , ,3,0,0,0,0.292,김민성,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
6, , , , , , ,2땅,2,0,0,0,0.252,윤석민,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC,삼진, ,,,
7, ,좌안,3땅, ,좌비, ,좌중안,5,2,0,2,0.317,유한준,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC,중비, ,,,
8, ,4구,3파, ,삼진, ,우홈,3,1,2,2,0.255,이성열,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
9, , , , , , , ,1,0,0,0,0.000,고종욱,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC,유직, ,,,
10, ,투희번,4구, ,중안, ,중안,2,2,0,0,0.333,김지수,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
11, ,좌안,2비, ,포파, ,우비,4,1,2,1,0.252,박동원,구장 : 목동,"관중 : 4,597",2014.09.04(목),개시 : 18:30,경기시간 : 3:00,넥센,NC, , ,,,
0,유땅, ,중안, ,3병,3땅, ,7,1,0,0,0.355,민병헌,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG,투번, ,우비, ,3비
1,우안, ,4구, ,좌안, ,유땅,5,2,0,0,0.289,정수빈,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG,유땅, ,좌비, , 
2,중비, ,2땅, ,2땅, ,유땅,6,2,1,1,0.323,김현수,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, ,우중홈, ,좌안, 
3, , , , , , , ,0,0,0,0,0.234,박건우,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, , , , , 
4, ,유땅, ,3땅, ,4구,4구,3,0,0,2,0.312,칸투,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, ,2비, ,사구, 
5, , , , , , , ,0,0,0,0,0.250,김진형,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, , , , , 
6, ,우비, ,1파, ,삼진,좌안,6,2,0,0,0.321,홍성흔,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, ,투땅, ,우안, 
7, ,4구, ,좌안, ,4구,4구,3,2,0,0,0.332,오재원,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, ,중안, ,유비, 
8, ,삼진, ,2안, ,3실,투안,6,2,2,0,0.293,양의지,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, ,3땅, ,유병, 
9, , ,삼진,3땅, , , ,2,0,0,0,0.265,김재호,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, , , , , 
10, , , , , ,삼진, ,1,0,0,0,0.202,오재일,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, , , , , 
11, , , , , , , ,0,0,0,0,0.266,허경민,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, , , , , 
12, , , , , , ,3땅,3,1,0,0,0.288,고영민,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG, , ,중안, ,3직
13, , ,유비, ,우안,4구, ,5,1,0,0,0.256,최주환,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,두산,LG,우비, ,포파, ,좌비
0,4구,사구, ,우안, ,투땅, ,4,2,0,1,0.323,정성훈,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산,중비, , ,좌안, 
1, , , , , , , ,0,0,0,0,0.077,문선재,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , , , 
2,투희번,좌비, ,사구, ,2비, ,2,0,0,1,0.197,박경수,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , , , 
3, , , , , , , ,1,0,0,0,0.247,김용의,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산,삼진, , , , 
4, , , , , , , ,0,0,0,0,0.293,황목치승,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , , , 
5, , , , , , , ,1,0,0,0,0.267,정의윤,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , ,삼진, 
6, , , , , , , ,0,0,0,0,0.222,박용근,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , , , 
7,3파, ,유비,우안, ,좌안, ,5,2,1,0,0.340,박용택,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, ,2비, ,4구, 
8,4구, ,우비,1안, ,삼진, ,5,1,1,0,0.303,이병규,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, ,삼진, ,중비, 
9,우비, ,4구,2비, , ,유비,5,0,0,0,0.333,이진영,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, ,삼진, , ,좌비
10, ,4구,2땅, ,2비, ,2땅,3,0,0,0,0.234,이병규,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , , , 
11, , , , , , , ,2,0,0,0,0.238,임재철,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , ,삼진, ,유땅
12, ,우안, ,우홈,투안, ,좌비,5,3,1,1,0.255,오지환,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , ,4구, ,삼진
13, ,1희번, ,삼진,삼진, , ,3,1,0,0,0.212,최경철,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산,우중안, , , , 
14, , , , , , , ,1,0,0,0,0.283,채은성,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , ,중비, , 
15, , , , , , , ,0,0,0,0,0.063,김재민,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산, , , , , 
16, ,삼진, ,2땅,좌비, , ,5,1,0,0,0.296,손주인,구장 : 잠실,"관중 : 20,575",2014.09.04(목),개시 : 18:29,경기시간 : 5:02,LG,두산,좌안, , ,유땅, 
0,삼진, ,삼진, ,삼진, ,삼진,5,0,0,0,0.324,황재균,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK,삼진, ,,,
1,3안, ,삼진, , ,우비,4구,4,2,0,1,0.298,정훈,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK,우안, ,,,
2,유땅, , ,2안, ,좌홈,좌중2,5,3,2,2,0.362,손아섭,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK,1땅, ,,,
3,4구, , ,중안, ,4구,고4,2,1,0,1,0.301,최준석,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, ,삼진,,,
4,좌비, , ,삼진, ,좌안,투안,5,2,0,1,0.302,박종윤,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, ,좌비,,,
5, ,삼진, ,1비, ,사구,좌안,4,2,2,1,0.228,강민호,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, ,좌중홈,,,
6, ,1땅, ,삼진, ,3직,우중안,4,1,2,0,0.305,문규현,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, , ,,,
7, , , , , , , ,1,0,0,0,0.234,신본기,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, ,3땅,,,
8, ,삼진, , ,유땅, , ,2,0,0,0,0.000,황동채,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, , ,,,
9, , , , , ,삼진, ,1,0,0,0,0.321,히메네스,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, , ,,,
10, , , , , , ,삼진,1,0,0,0,0.224,김문호,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, , ,,,
11, , ,삼진, ,우비, , ,2,0,0,0,0.178,김민하,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK, , ,,,
12, , , , , , ,삼진,2,0,0,0,0.242,하준호,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,롯데,SK,1땅, ,,,
0,2땅, ,2안, ,삼진, , ,5,1,0,0,0.343,이명기,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데,2땅,2땅,,,
1,3실, ,중희비, , , , ,1,0,1,0,0.327,박계현,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데, , ,,,
2, , , , ,삼진, , ,2,1,0,1,0.271,나주환,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데,중안, ,,,
3,유직, ,삼진, , ,우비, ,4,1,0,0,0.315,최정,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데,우안, ,,,
4, ,삼진, ,중홈, ,우비, ,4,1,1,1,0.292,박정권,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데,유땅, ,,,
5, ,4구, ,삼진, ,3비, ,3,0,1,0,0.298,김강민,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데,3땅, ,,,
6, ,삼진, ,우비, , ,삼진,4,0,0,0,0.356,이재원,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데,2땅, ,,,
7, , , , , , , ,0,0,0,0,0.242,정상호,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데, , ,,,
8, , ,2땅,중비, , ,1땅,4,0,0,0,0.254,한동민,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데, ,삼진,,,
9, , ,유실, ,좌2, ,좌안,4,3,0,1,0.322,임훈,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데, ,중안,,,
10, , , , , , , ,0,0,0,0,0.250,김재현,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데, , ,,,
11, , ,좌2, ,투희번, ,유땅,3,1,1,1,0.296,김성현,구장 : 문학,"관중 : 10,011",2014.09.04(목),개시 : 18:30,경기시간 : 3:27,SK,롯데, ,유땅,,,
0,4구, , ,우안, ,유2병, ,3,2,0,0,0.311,정근우,구장 : 대구,"관중 : 3,983",2014.09.04(목),개시 : 18:29,경기시간 : 2:43,한화,삼성, ,좌안,,,
1,유2병, , ,좌비, , ,좌안,4,1,0,0,0.328,송광민,구장 : 대구,"관중 : 3,983",2014.09.04(목),개시 : 18:29,경기시간 : 2:43,한화,삼성, ,유2병,,,
2,3비, , ,중비, , ,삼진,3,0,0,0,0.320,김경언,구장 : 대구,"관중 : 3,983",2014.09.04(목),개시 : 18:29,경기시간 : 2:43,한화,삼성, , ,,,
3, ,우비, ,1파, , ,좌비,3,0,0,0,0.367,김태균,구장 : 대구,"관중 : 3,983",2014.09.04(목),개시 : 18:29,경기시간 : 2:43,한화,삼성, , ,,,
4, ,좌비, , ,삼진, ,우안,3,1,0,0,0.340,피에,구장 : 대구,"관중 : 3,983",2014.09.04(목),개시 : 18:29,경기시간 : 2:43,한화,삼성, , ,,,
