,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,4구, ,4구, ,4구, , ,삼진, ,1,0,0,1,0.275,김종국,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
1,좌비, ,좌비, ,유병, , ,좌비, ,4,0,0,0,0.284,장성호,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
2,3땅, ,4구, ,2땅, , ,삼진, ,3,0,0,1,0.291,이종범,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
3,3파, ,중2, , ,좌비, , ,삼진,4,1,2,0,0.256,뉴선,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
4, ,우안,삼진, , ,유땅, , ,중비,4,1,0,0,0.230,홍세완,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
5, ,중안, ,좌비, ,중비, , ,좌비,4,1,0,0,0.412,장일현,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
6, ,1비, ,2땅, , ,삼진, , ,3,0,0,0,0.282,김창희,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
7, ,유2병, , , , , , , ,1,0,0,0,0.053,이재주,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
8, , , ,사구, , , , , ,0,0,0,0,0.357,이동수,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
9, , , , , , ,우비, , ,1,0,0,0,0.000,김지훈,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
10, , ,삼진,3땅, , ,삼진, , ,3,0,0,0,0.333,정성훈,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,KIA,현대,,,
0,삼진, ,1땅,투땅, , , , , ,3,0,0,0,0.310,전준호,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
1, , , , , ,4구, ,중안, ,1,1,0,0,0.500,정수성,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
2,3땅, ,투실,1땅, ,1땅, ,삼진, ,5,0,0,1,0.257,박종호,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
3,중안, ,삼진, ,중안,3땅, ,삼진, ,5,2,0,1,0.360,박재홍,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
4,삼진, ,우안, ,삼진, ,좌홈, , ,4,2,1,2,0.324,폴,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
5, ,유땅,좌안, ,2땅, ,좌비, , ,4,1,2,0,0.230,심정수,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
6, ,2땅,우안, ,우안, ,유비, , ,4,2,1,1,0.329,이숭용,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
7, ,4구,우비, ,중안, ,사구, , ,2,1,1,0,0.200,박경완,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
8, , , , , , , , , ,0,0,0,0,0.250,강귀태,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
9, ,우안, ,사구, ,좌2,3파, , ,3,2,0,0,0.242,채종국,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
10, ,중비, ,투희번, ,포희번, ,좌비, ,2,0,0,0,0.197,박진만,구장 : 수원,"관중 : 8,345",2002.05.01(수),개시 : 14:00,경기시간 : 2:59,현대,KIA,,,
0,4구, ,3희번,중안, ,우안, ,1파, ,3,2,2,1,0.274,정수근,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
1,3파, ,중안,유땅, ,유비, , ,좌비,5,1,0,0,0.345,최경환,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
2,중홈, ,4구, ,사구, ,우안, , ,2,2,2,1,0.304,김동주,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
3, , , , , , , , ,중안,1,1,0,1,1.000,이종민,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
4,삼진, ,2땅, ,유비, ,우안, , ,4,1,2,0,0.289,심재학,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
5, , , , , , , , ,32병,1,0,0,1,0.167,강봉규,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
6,삼진, ,3땅, ,2유병, ,중안, , ,4,1,0,0,0.296,홍성흔,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
7, ,삼진, ,우중2, ,1파,유2병, , ,4,1,0,1,0.268,안경현,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
8, ,포파, ,좌중2, ,삼진,유땅, , ,4,1,1,0,0.214,전상렬,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
9, ,좌비, ,1땅, ,4구, ,4구, ,2,0,0,1,0.216,장원진,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
10, , ,좌안,투땅, , , , , ,2,1,0,2,0.286,김호,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
11, , , , , , , , , ,0,0,0,0,0.400,유재웅,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
12, , , , , ,4구, , , ,0,0,0,0,0.215,우즈,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
13, , , , , , , ,32병, ,1,0,0,0,0.286,김민호,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,두산,삼성,,,
0,4구, ,4구, , , , , , ,0,0,0,1,0.265,박한이,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
1, , , , ,삼진, ,사구, , ,1,0,0,0,0.100,임재철,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
2,삼진, ,좌안, ,유땅, ,유땅, , ,4,1,1,1,0.296,김종훈,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
3,1땅, ,삼진, , ,좌홈,삼진, , ,4,1,1,1,0.302,이승엽,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
4,삼진, ,우2, , ,3안, ,삼진, ,4,2,2,0,0.295,마해영,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
5, ,우비,투땅, , ,우비, , , ,3,0,0,0,0.287,양준혁,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
6, , , , , , , ,1땅, ,1,0,0,0,0.333,하춘동,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
7, ,좌안, ,유땅, ,유2병, ,투땅, ,4,1,0,0,0.317,브리또,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
8, , , , , , , , , ,0,0,0,0,0.233,김승권,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
9, ,투땅, ,투땅, , ,우비, ,삼진,4,0,0,0,0.260,김한수,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
10, ,2땅, ,1비, , ,중안, , ,3,1,0,0,0.325,진갑용,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
11, , , , , , , , , ,0,0,0,1,0.250,김재걸,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
12, , , , , , , , , ,0,0,0,0,0.000,장성국,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
13, , , , , , , , ,2땅,1,0,0,0,0.243,강동우,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
14, , ,2땅, ,2땅, ,4구, ,삼진,3,0,0,1,0.091,박정환,구장 : 시민,"관중 : 5,028",2002.05.01(수),개시 : 15:00,경기시간 : 2:57,삼성,두산,,,
0,우안,우중홈, ,유비, , ,좌비, ,좌비,5,2,1,1,0.370,이영우,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
1,사구,좌홈, ,삼진, , ,삼진, ,삼진,4,1,1,1,0.324,임수민,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
2,32병,좌중안, , ,유땅, ,중비, , ,4,1,0,0,0.365,송지만,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
3,삼진,삼진, , , , , , , ,2,0,0,0,0.279,데이비스,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
4, , , , ,투실, , ,2번, ,2,0,0,0,0.242,김수연,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
5, ,1땅,중비, , , , , , ,2,0,0,0,0.140,김종석,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
6, , , , ,우비, , ,중홈, ,2,1,1,1,0.275,김태균,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
7, ,좌중2,삼진, ,삼진, , ,중비, ,4,1,0,1,0.286,장종훈,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
8, ,중비,중비, , ,2비, ,좌중2, ,4,1,0,0,0.250,이도형,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
9, , , , , , , , , ,0,0,0,0,0.000,이범호,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
10, , , , , , , , , ,0,0,0,0,0.229,조경택,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
11, ,4구, ,유땅, ,3땅, ,우비, ,3,0,0,1,0.231,백재호,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
12, ,중홈, ,좌안, ,투땅, , ,삼진,4,2,3,1,0.286,가르시아,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
13, , , , , , , , , ,0,0,0,0,0.190,허준,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,한화,롯데,,,
0,좌비, ,우안, ,유땅, ,좌비, , ,4,1,1,0,0.306,박현승,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,롯데,한화,,,
1,삼진, ,좌비, , , , , , ,2,0,0,0,0.290,김대익,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,롯데,한화,,,
2, , , , ,유실, , ,삼진, ,2,0,0,0,0.235,조경환,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,롯데,한화,,,
3,2땅, ,좌비, ,좌중안, , ,유비, ,4,1,0,0,0.170,박정태,구장 : 사직,"관중 : 1,481",2002.05.01(수),개시 : 15:00,경기시간 : 2:30,롯데,한화,,,
