,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,유땅, , ,좌안, ,포파, ,1땅, ,4,1,0,0,0.284,정근우,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
1,4구, , ,우비, ,2비, , ,우비,3,0,0,0,0.199,조동화,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
2,1파, , ,투안, , ,삼진, ,삼진,4,1,0,0,0.261,박재홍,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
3, ,좌비, ,삼진, , ,3실, ,좌안,4,1,0,0,0.265,김재구,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
4, ,삼진, , ,삼진, ,좌비, ,우안,4,1,0,0,0.225,최정,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
5, ,우안, , ,4구, ,좌비, ,투땅,3,1,0,0,0.250,박재상,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
6, , ,좌안, ,2유병, , ,중비, ,3,1,0,0,0.283,이재원,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
7, , ,유2병, , , , , , ,1,0,0,0,0.149,김형철,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
8, , , , , ,우비, ,1땅, ,2,0,0,0,0.255,이대수,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
9, , ,삼진, , ,좌2, , , ,2,1,0,0,0.161,김동건,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
10, , , , , , , ,4구, ,0,0,0,0,0.206,정경배,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
11, , , , , , , , , ,0,0,0,0,0.000,김성현,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,SK,두산,
0,4구, ,유땅, ,중비, , ,유땅, ,3,0,0,1,0.283,이종욱,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
1,삼진, ,2땅, , ,투땅, ,중안, ,4,1,0,0,0.252,강동우,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
2,좌희비, , ,3땅, ,유땅, ,3땅, ,3,0,1,0,0.285,안경현,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
3,2비, , ,중비, ,중안, , , ,3,1,0,0,0.252,김동주,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
4, ,좌비, ,좌중홈, ,좌비, , , ,3,1,1,1,0.249,최준석,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
5, , , , , , , , , ,0,0,0,0,0.230,나주환,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
6, ,1파, , , , , , , ,1,0,0,0,0.262,임재철,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
7, , , ,포파, , ,2땅, , ,2,0,0,0,0.172,민병헌,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
8, ,중안, , ,4구, ,3땅, , ,2,1,0,0,0.269,손시헌,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
9, ,투땅, , ,유비, ,삼진, , ,3,0,0,0,0.210,용덕한,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
10, , ,3직, ,유땅, , ,3땅, ,3,0,0,0,0.269,고영민,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
11, , , , , , , , , ,0,0,0,0,0.260,정원석,구장 : 잠실,"관중 : 14,563",2006.10.01(일),개시 : 13:59,경기시간 : 2:22,두산,SK,
0,2땅, ,2직,2땅, , , , , ,3,0,0,0,0.283,박한이,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
1, , , , , , ,중안, ,우비,2,1,0,0,0.204,김종훈,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
2,투안, ,유땅, ,우중안, ,삼진, ,우안,5,3,0,0,0.258,조동찬,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
3,2비, ,2땅, ,중비, , , , ,3,0,0,0,0.301,양준혁,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
4, , , , , , , ,3실, ,1,0,0,1,0.236,강봉규,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
5, , , , , , , , ,2땅,1,0,0,0,0.241,김대익,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
6,사구, , ,좌비,투2병, , ,좌홈, ,3,1,2,1,0.148,심정수,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
7, , , , , , , , , ,0,0,0,0,0.250,이태호,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
8,삼진, , ,4구, ,2땅, ,4구, ,2,0,0,0,0.222,김창희,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
9, ,3땅, ,우안, ,삼진, ,2땅, ,4,1,0,1,0.273,조영훈,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
10, ,1땅, ,1번, ,투땅, ,삼진, ,4,0,0,1,0.207,김재걸,구장 : 수원,"관중 : 3,313",2006.10.01(일),개시 : 14:00,경기시간 : 2:55,삼성,현대,
