,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
8,우희비, ,좌비, , ,좌안, , ,1비,3,1,1,0,0.261,이범호,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,한화,삼성,,,,
9,중2, , ,3땅, , , , , ,2,1,2,0,0.210,백재호,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,한화,삼성,,,,
10, , , , , ,유2병, , , ,1,0,0,0,0.222,조현수,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,한화,삼성,,,,
11, , , , , , , , ,유땅,1,0,0,0,0.219,임수민,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,한화,삼성,,,,
12,우비, , ,우안, , ,우비, ,우비,4,1,0,0,0.273,허준,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,한화,삼성,,,,
13, ,3땅, ,2비, , ,사구, , ,2,0,0,0,0.214,조경택,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,한화,삼성,,,,
0,중비, , ,중안, ,중비, ,포파, ,4,1,0,0,0.283,강동우,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
1,좌비, , ,좌비, ,3파, , ,좌중안,4,1,0,1,0.270,박한이,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
2,2땅, , ,2파, , ,좌2, ,4구,3,1,0,2,0.328,이승엽,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
3, ,삼진, ,1파, , ,2땅, ,사구,3,0,0,1,0.280,브리또,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
4, ,유비, , ,1땅, ,좌안, ,중희비,3,1,2,0,0.319,마해영,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
5, ,삼진, , ,중비, ,우비, ,좌중홈,4,1,3,1,0.302,김한수,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
6, , ,삼진, ,삼진, ,2땅, , ,3,0,0,0,0.280,양준혁,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
7, , ,삼진, , ,좌파, ,삼진, ,3,0,0,0,0.280,진갑용,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
8, , ,2비, , , , , , ,1,0,0,0,0.242,박정환,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
9, , , , , ,중안, ,삼진, ,2,1,0,0,0.188,김승권,구장 : 시민,"관중 : 1,585",2002.10.11(금),개시 : 18:30,경기시간 : 2:42,삼성,한화,,,,
0,삼진, ,좌비, , , , , , ,2,0,0,0,0.228,조성환,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
1, , , , , ,우안,2땅, ,삼진,3,1,1,1,0.206,김정현,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
2,2땅, , ,포파, ,삼진,유비, , ,4,0,0,0,0.187,이우민,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
3,3땅, , ,2땅, ,4구, ,포파, ,3,0,0,1,0.245,박정태,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
4, , , , , , , , , ,0,0,0,0,0.161,박준서,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
5, ,2땅, ,2땅, ,중안, ,삼진, ,4,1,2,1,0.276,김응국,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
6, ,2땅, , ,3땅,삼진, ,삼진, ,4,0,0,0,0.258,박현승,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
7, ,4구, , ,삼진,우2, , ,우홈,3,2,3,1,0.280,최기문,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
8, ,2땅, , ,좌안,우비, , ,유땅,4,1,0,0,0.259,이동욱,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
9, , ,중비, ,중비, ,4구, ,우중2,3,1,0,1,0.200,김주찬,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
10, , ,삼진, , ,3안,우비, ,삼진,4,1,0,1,0.242,박기혁,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,롯데,두산,,,,
0,4구, ,중비,2직, , ,1비, , ,3,0,0,1,0.232,정수근,구장 : 잠실,"관중 : 1,552",2002.10.11(금),개시 : 18:30,경기시간 : 2:50,두산,롯데,,,,
