,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,4구, ,우중2, ,2병, , , , ,2,1,0,1,0.284,김민혁,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
1, , , , , , , ,좌비, ,1,0,0,0,0.182,문상철,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
2, , , , , , , , , ,0,0,0,0,0.222,심우준,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
3,4구, ,삼진, , ,유땅, ,삼진, ,3,0,0,0,0.214,오태곤,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
4,중안, ,3땅, , ,삼진, , ,좌중안,4,2,1,0,0.309,강백호,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
5,삼진, , ,우비, ,중안, , ,중비,4,1,0,0,0.273,로하스,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
6,삼진, , ,1직, ,2땅, , , ,3,0,0,0,0.125,김영환,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
7, , , , , , , , ,2유병,1,0,0,0,0.278,박경수,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
8, ,유땅, ,삼진, , ,삼진, , ,3,0,0,0,0.258,배정대,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
9, ,4구, , ,중비, ,우비, , ,2,0,0,0,0.252,황재균,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
10, ,유2병, , ,좌중안, , , , ,2,1,0,1,0.286,이준수,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
11, , , , , , ,유땅, , ,1,0,0,0,0.233,윤석민,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
12, , , , , , , , , ,0,0,0,0,0.103,이해창,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
13, , ,좌비, ,중안, , , , ,2,1,0,0,0.250,강민국,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
14, , , , , , , ,우비, ,1,0,0,0,0.250,유한준,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,KT,LG,,,
0,유땅, ,포땅, ,1땅, ,유땅, , ,4,0,1,0,0.313,이천웅,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
1,삼진, ,유땅, ,중안, ,2땅, , ,4,1,1,0,0.235,오지환,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
2,유실, , ,삼진,2땅, , ,중비, ,4,0,0,0,0.300,김현수,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
3,좌안, , ,중비,1파, , ,2땅, ,4,1,0,0,0.306,채은성,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
4,삼진, , ,좌2, ,삼진, ,삼진, ,4,1,0,1,0.269,유강남,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
5, ,좌비, ,좌중2, ,중비, , , ,3,1,1,0,0.229,박용택,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
6, ,삼진, ,3땅, ,3땅, , , ,3,0,0,0,0.222,김민성,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
7, ,우비, , ,우안, ,중안, , ,3,2,0,1,0.259,김용의,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
8, , ,유땅, ,유안, ,1희번, , ,2,1,0,1,0.237,정주현,구장 : 잠실,"관중 : 12,582",2019.05.01(수),개시 : 18:30,경기시간 : 2:21,LG,KT,,,
0,2땅, ,중안, , ,중안, ,유병, ,4,2,0,0,0.290,이정후,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
1,좌중2, ,유병, , ,삼진, , ,삼진,4,1,0,0,0.333,김하성,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
2,삼진, , ,4구, ,2땅, , ,삼진,3,0,0,0,0.336,샌즈,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
3,2비, , ,투2병, , ,삼진, ,좌2,4,1,0,0,0.347,박병호,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
4, ,2땅, ,1땅, , ,4구, ,2비,3,0,0,0,0.311,장영석,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
5, ,2땅, , ,중안, ,중비, , ,3,1,0,0,0.270,서건창,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
6, ,유비, , ,32병, ,삼진, , ,3,0,0,0,0.246,김규민,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
7, , ,중비, ,투땅, , ,우안, ,3,1,0,0,0.455,박동원,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
8, , ,사구, , ,2땅, ,3실, ,2,0,0,0,0.179,김혜성,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,키움,SK,,,
0,2땅, , ,우안, ,중비, , , ,3,1,0,0,0.172,노수광,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,SK,키움,,,
1, , , , , , , ,중비, ,1,0,0,0,0.309,김강민,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,SK,키움,,,
2,우비, , ,2파, ,좌비, ,삼진, ,4,0,0,0,0.237,한동민,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,SK,키움,,,
3,1비, , ,삼진, , ,유땅, , ,3,0,0,0,0.248,최정,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,SK,키움,,,
4, ,1땅, ,유땅, , ,2비, , ,3,0,0,0,0.293,정의윤,구장 : 문학,"관중 : 15,875",2019.05.01(수),개시 : 18:29,경기시간 : 2:50,SK,키움,,,
