,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,중비, ,중안, ,2땅, ,삼진, ,좌비,5,1,0,1,0.330,박한이,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
1,유땅, ,좌안, ,삼진, ,삼진, ,2땅,5,1,0,0,0.223,조동찬,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
2, , , , , , , , , ,0,0,0,0,0.181,신명철,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
3,유땅, ,우안, ,4구, ,사구, , ,2,1,1,1,0.258,양준혁,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
4, ,중비,유땅, ,좌홈, ,3실, , ,4,1,3,1,0.282,박석민,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
5, ,4구, ,1땅,1땅, ,3비, , ,3,0,0,0,0.273,최형우,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
6, , , , , , , , , ,0,0,0,0,0.137,허승민,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
7, ,1유병, ,4구, ,삼진, ,좌비, ,3,0,0,0,0.297,김창희,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
8, , ,우홈,삼진, ,좌안, ,삼진, ,4,2,1,1,0.269,채태인,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
9, , ,유안,우비, ,중비, ,삼진, ,4,1,0,0,0.230,현재윤,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
10, , ,유병, ,좌안,우비, , ,우비,4,1,0,1,0.224,박진만,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
11, , , , , , , , , ,0,0,0,0,0.242,김재걸,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,삼성,우리,
0,유땅, , ,좌안, ,좌안, ,우안, ,4,3,0,0,0.342,전준호,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
1,삼진, , ,삼진, ,중비, ,3실, ,4,0,0,0,0.186,정수성,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
2,삼진, , ,3땅, ,삼진, ,1땅, ,4,0,0,0,0.297,송지만,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
3, ,우비, , ,삼진,좌비, , ,우안,4,1,0,0,0.302,브룸바,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
4, , , , , , , , , ,0,0,0,0,0.300,오윤,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
5, ,유비, , ,3비, ,좌비, ,중비,4,0,0,0,0.275,이숭용,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
6, ,유땅, , ,좌2, ,삼진, ,삼진,4,1,0,1,0.260,권도영,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
7, , ,중비, ,사구, ,3땅, ,유땅,3,0,0,1,0.257,강정호,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
8, , ,삼진, ,우2, , ,3땅, ,3,1,1,0,0.250,강귀태,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
9, , ,삼진, , , , , , ,1,0,0,0,0.248,김일경,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
10, , , , ,삼진, , , , ,1,0,0,0,0.215,강병식,구장 : 목동,"관중 : 1,398",2008.08.26(화),개시 : 18:31,경기시간 : 2:49,우리,삼성,
