,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,우비, ,4구, ,좌안,우비, ,삼진, ,4,1,1,1,0.295,강동우,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
1,4구, ,1땅, ,투희번, ,중비,2땅, ,3,0,0,0,0.256,박한이,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
2,좌비, ,2땅, ,1땅, ,우홈, ,4구,4,1,2,1,0.292,이승엽,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
3, ,유땅, ,1땅,좌안, ,4구, ,우비,4,1,1,1,0.299,마르티네,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
4, ,좌홈, ,우비,2비, ,4구, , ,3,1,1,1,0.292,마해영,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
5, , , , , , , , ,우비,1,0,0,0,0.298,김재걸,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
6, ,유땅, ,4구, ,4구,3땅, ,중비,3,0,1,1,0.281,김한수,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
7, ,좌중2, ,삼진, ,4구,4구, , ,2,1,0,0,0.275,정경배,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
8, ,3직, , ,4구,사구,유땅, , ,2,0,0,1,0.244,김동수,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
9, , ,유땅, ,우안,2유병, ,3땅, ,4,1,0,1,0.294,박정환,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,삼성,LG,,
0,1땅, ,우안, ,중안, ,삼진, ,4구,4,2,1,2,0.315,김재현,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
1,유비, ,좌2, ,우비, , ,좌안,좌비,5,2,2,0,0.285,유지현,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
2,삼진, ,삼진, ,좌비, , ,유땅,4구,4,0,0,2,0.330,이병규,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
3, ,중안, ,우비, ,1땅, ,우안,중안,5,3,1,2,0.338,양준혁,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
4, ,좌비, ,삼진, ,유비, ,삼진,좌안,5,1,1,0,0.238,심성보,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
5, ,1파, ,중안, ,좌비, ,4구,유안,4,2,0,0,0.299,서용빈,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
6, , ,2땅,중비, , ,투땅, , ,3,0,0,0,0.233,장재중,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
7, , , , , , , ,좌안, ,1,1,2,0,0.270,박연수,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
8, , , , , , , , ,좌안,1,1,1,0,0.242,김정민,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
9, , ,우비, ,유안, ,사구, , ,2,1,0,1,0.244,권용관,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
10, , , , , , , ,4구, ,0,0,0,0,0.259,로마이어,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
11, , ,4구, ,투희번, , , , ,0,0,0,1,0.233,안상준,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
12, , , , , , ,삼진, , ,1,0,0,0,0.000,최경환,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
13, , , , , , , , , ,0,0,0,0,0.091,윤현식,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
14, , , , , , , ,우비, ,1,0,0,0,0.291,조인성,구장 : 잠실,"관중 : 8,936",2001.07.01(일),개시 : 14:02,경기시간 : 3:49,LG,삼성,,
0,유땅, ,2땅, , ,스낫, ,1땅, ,4,0,0,1,0.286,이영우,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
1,우비, , ,우중안, ,좌안, ,2땅, ,4,2,0,0,0.329,김종석,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
2,4구, , ,유2병, ,좌2, ,우홈, ,3,2,2,1,0.260,송지만,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
3,1땅, , ,1땅, ,유땅, ,우비, ,4,0,0,0,0.330,데이비스,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
4, ,좌비, , ,좌비, ,삼진, , ,3,0,0,0,0.303,장종훈,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
5, , , , , , , , ,3땅,1,0,0,0,0.267,임주택,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
6, ,우비, , ,3땅, ,투번, ,중비,4,0,0,0,0.268,강석천,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
7, ,2비, , ,유땅, ,4구, ,중안,3,1,0,0,0.221,허준,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
8, , ,1직, , ,삼진, , , ,2,0,0,0,0.256,강인권,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
9, , , , , , ,우안, , ,1,1,0,0,0.351,김태균,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
10, , , , , , , , , ,0,0,0,0,0.270,김수연,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
11, , , , , , , , ,우안,1,1,0,0,0.323,신경현,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
12, , ,좌비, , , , , , ,1,0,0,0,0.235,백재호,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
13, , , , , ,2땅, , , ,1,0,0,0,0.236,조정권,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
14, , , , , , ,유땅, ,2땅,2,0,0,0,0.185,황우구,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,한화,롯데,,
0,유땅, ,2땅,우비, , ,좌2,3땅, ,5,1,0,1,0.282,박현승,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
1,2직, ,중안,좌안, , ,삼진,좌안, ,5,3,0,1,0.274,김대익,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
2,좌비, ,3안,우비, , ,4구,중비, ,4,1,0,1,0.306,김응국,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
3, ,4구,좌비, ,좌비, ,4구, , ,2,0,0,2,0.352,호세,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
4, ,우안,좌안, ,좌비, ,중2, , ,4,3,3,1,0.305,조경환,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
5, , , , , , , , , ,0,0,0,0,0.238,임재철,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
6, ,투실,삼진, ,삼진, ,4구, , ,3,0,0,0,0.255,이계성,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
7, ,중희비, ,좌중2, ,유땅,중비, , ,3,1,1,1,0.270,김주찬,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
8, ,유땅, ,중비, ,삼진,유땅, , ,4,0,0,0,0.231,박기혁,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
9, ,투땅, ,중안, ,2땅, ,2땅, ,4,1,1,0,0.158,박경진,구장 : 사직,"관중 : 3,649",2001.07.01(일),개시 : 18:33,경기시간 : 2:51,롯데,한화,,
0,투땅,2땅, , ,좌안, ,좌안, ,2비,5,2,0,0,0.247,조원우,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
1,우홈, ,중안, ,32병, ,유땅, ,유땅,5,2,1,1,0.354,에레라,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
2,유땅, ,좌비, ,좌안, , ,좌비, ,4,1,0,0,0.326,브리또,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
3,삼진, ,삼진, ,3파, , ,우중3, ,4,1,0,1,0.236,이호준,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
4, ,2땅,중비, , ,중비, ,사구, ,3,0,0,0,0.219,김경기,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
5, , , , , , , , , ,0,0,0,0,0.153,송재익,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
6, ,우중2, ,4구, ,3땅, ,4구, ,2,1,0,1,0.244,안재만,구장 : 수원,"관중 : 1,172",2001.07.01(일),개시 : 18:30,경기시간 : 2:56,SK,현대,,
