,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,1안,삼진,유땅, , ,중비, , ,중비,5,1,0,1,0.364,박용택,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
1,투희번,좌중2,투땅, , ,유땅, , , ,3,1,1,1,0.288,이대형,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
2, , , , , , , , ,사구,0,0,0,0,0.191,박병호,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
3, , , , , , , , , ,0,0,0,0,0.219,박용근,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
4,중안,우2, ,삼진, , ,3땅, ,4구,4,2,2,2,0.300,정성훈,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
5,좌중안,4구, ,2땅, , ,삼진, ,2땅,4,1,0,0,0.341,페타지니,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
6,4구,삼진, ,삼진, , ,3땅, , ,3,0,0,0,0.279,최동수,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
7,삼진,우2, , ,삼진, , ,유안, ,4,2,1,0,0.317,이진영,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
8,4구,우비, , ,투번, , ,3희번, ,2,0,1,0,0.236,박경수,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
9,우비, ,삼진, ,3땅, , ,유땅, ,4,0,0,0,0.219,조인성,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
10, ,우2,우홈, , ,우비, ,2비, ,4,2,1,2,0.253,권용관,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,LG,,,,
0,유땅,좌희비, ,유땅, , ,좌중2,4구, ,3,1,1,1,0.294,클락,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
1,4구,삼진, , ,좌비, ,좌중2,4구, ,3,1,0,1,0.281,황재균,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
2,유안, ,투번, ,유비, ,사구,좌안, ,4,2,2,0,0.314,이택근,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
3,4구, ,중비, ,스낫, ,우비,삼진, ,4,0,0,0,0.251,브룸바,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
4,중희비, ,3땅, ,우안, , , , ,2,1,1,0,0.299,이숭용,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
5, , , , , , ,유병, , ,1,0,0,0,0.267,권도영,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
6, , , , , , , , , ,0,0,0,0,0.222,조중근,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
7,4구, , ,4구,삼진, , ,우홈, ,2,1,1,2,0.317,송지만,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
8,삼진, , ,좌안, ,우안, ,좌홈, ,4,3,2,1,0.285,강정호,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
9, ,삼진, ,좌비, ,유2병, , , ,3,0,0,0,0.260,강귀태,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
10, , , , , , , ,우안, ,1,1,0,0,0.222,강병식,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
11, , , , , , , , , ,0,0,0,1,0.232,정수성,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
12, , , , , , , , , ,0,0,0,0,0.367,김동수,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
13, ,우2, ,삼진, ,중비, ,2땅, ,4,1,0,1,0.272,김일경,구장 : 목동,"관중 : 6,573",2009.08.01(토),개시 : 17:00,경기시간 : 3:36,,LG,,,
0,3땅, ,4구, , ,우비, , , ,2,0,0,0,0.282,신명철,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
1, , , , , , , ,투땅, ,1,0,0,0,0.257,김상수,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
2,투땅, ,유땅, , ,투유병, , , ,3,0,0,0,0.286,박한이,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
3, , , , , , , , ,2땅,1,0,0,0,0.282,이영욱,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
4,2비, , ,좌비, , ,3땅, ,4구,3,0,0,1,0.302,강봉규,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
5, ,투비, ,삼진, , ,유땅, ,포파,4,0,0,0,0.293,최형우,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
6, ,우비, ,유비, , ,좌안, ,좌중안,4,2,0,2,0.253,박석민,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
7, ,2땅, , ,좌비, ,중2, ,좌2,4,2,2,0,0.295,채태인,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
8, , ,삼진, ,포비, ,우비, , ,3,0,0,0,0.262,조동찬,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
9, , , , , , , , ,우안,1,1,1,0,0.274,손주인,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
10, , ,중비, ,2땅, , ,유땅,좌비,4,0,0,0,0.103,채상병,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
11, , ,2안, , ,4구, ,투땅, ,2,1,0,0,0.229,우동균,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,삼성,KIA,,,
0,삼진,2땅, , ,좌중2,2땅, , , ,4,1,0,1,0.305,김원섭,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
1,2땅, ,유땅, ,우안, ,우비, , ,4,1,1,1,0.278,이용규,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
2,사구, ,삼진, ,좌2, , , , ,2,1,1,1,0.276,장성호,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
3, , , , , , ,삼진, , ,1,0,0,1,0.280,이종범,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
4,좌중홈, ,1땅, ,우안, ,중안, , ,4,3,3,2,0.265,최희섭,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
5,중안, , ,삼진,좌홈, ,사구, , ,3,2,2,1,0.283,김상현,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
6, , , , , , , , , ,0,0,0,0,0.158,박기남,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
7,삼진, , ,유땅,중안, , , , ,3,1,0,0,0.263,홍세완,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
8, , , , , , ,좌비, , ,1,0,0,0,0.262,나지완,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
9, ,우중안, ,3땅,삼진, , ,우비, ,4,1,0,0,0.227,김상훈,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
10, ,투희번, , ,3직,3땅, ,삼진, ,3,0,0,0,0.267,이현곤,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
11, ,좌비, , ,1땅,삼진, , , ,3,0,0,0,0.283,김선빈,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
12, , , , , , , ,삼진, ,1,0,0,0,0.232,안치홍,구장 : 무등,"관중 : 13,400",2009.08.01(토),개시 : 17:01,경기시간 : 2:37,KIA,삼성,,,
0,사구, ,좌안, , ,유땅, ,2땅, ,3,1,0,0,0.330,정근우,구장 : 잠실,"관중 : 21,001",2009.08.01(토),개시 : 17:01,경기시간 : 3:00,SK,두산,,,
1, , , , , , , , , ,0,0,0,0,0.280,박정환,구장 : 잠실,"관중 : 21,001",2009.08.01(토),개시 : 17:01,경기시간 : 3:00,SK,두산,,,
2,투희번, ,우비, , , , , , ,1,0,0,0,0.292,김강민,구장 : 잠실,"관중 : 21,001",2009.08.01(토),개시 : 17:01,경기시간 : 3:00,SK,두산,,,
3, , , , , ,우중안, ,4구, ,1,1,0,0,0.272,김재현,구장 : 잠실,"관중 : 21,001",2009.08.01(토),개시 : 17:01,경기시간 : 3:00,SK,두산,,,
4,투땅, , ,4구, ,삼진, ,중안, ,3,1,1,0,0.264,박재홍,구장 : 잠실,"관중 : 21,001",2009.08.01(토),개시 : 17:01,경기시간 : 3:00,SK,두산,,,
