,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,좌중3,3파, , ,좌2, ,삼진,좌비, ,5,2,0,1,0.320,박용택,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
1,좌안, ,좌홈, ,삼진, ,삼진, ,3땅,5,2,2,1,0.222,박경수,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
2,삼진, ,2땅, ,유땅, ,4구, ,삼진,4,0,0,0,0.342,이진영,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
3,1땅, ,우안, , ,삼진,2땅, , ,4,1,0,0,0.297,정의윤,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
4, , , , , , , , , ,0,0,0,0,0.000,김재민,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
5, , , , , , , , ,우안,1,1,0,0,0.306,정성훈,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
6,4구, ,2유병, , ,우안, ,유비,삼진,4,1,0,0,0.271,조쉬벨,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
7,삼진, , ,삼진, ,삼진, ,중안, ,4,1,0,1,0.438,채은성,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
8, ,2땅, ,중비, ,투땅, ,좌중2, ,4,1,0,1,0.266,오지환,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
9, ,삼진, ,투땅, , , , , ,2,0,0,0,0.229,최경철,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
10, , , , , , ,4구,중안, ,1,1,2,0,0.306,김용의,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
11, ,좌안, , ,1땅, , , , ,2,1,0,0,0.277,손주인,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
12, , , , , , ,우중안,삼진, ,2,1,0,0,0.295,이병규,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,LG,넥센,,
0,중안,우안, ,좌비, ,포땅, ,우2, ,5,3,0,2,0.379,서건창,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
1,우비,4구, , ,우안,중비, , , ,3,1,1,1,0.283,이택근,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
2, , , , , , , ,3희번, ,0,0,0,0,0.182,박헌도,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
3,3땅,좌비, , ,포희번,좌중안, ,우중2, ,4,2,2,0,0.318,유한준,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
4, ,중홈,삼진, ,4구,중안, ,삼진, ,4,2,1,2,0.309,박병호,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
5, ,좌홈,삼진, ,사구,3땅, ,삼진, ,4,1,1,2,0.310,강정호,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
6, ,2땅,유비, ,유안, ,우비, , ,4,1,1,0,0.263,윤석민,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
7, ,사구, ,유땅,2땅, ,삼진, , ,3,0,1,1,0.222,안태영,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
8, ,우비, ,유땅,삼진, , , , ,3,0,0,0,0.167,서동욱,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
9, , , , , , ,좌안, , ,1,1,0,0,0.234,문우람,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
10, ,4구, ,중안, ,중안,삼진, , ,3,2,0,0,0.255,허도환,구장 : 목동,"관중 : 6,988",2014.06.01(일),개시 : 17:00,경기시간 : 3:49,넥센,LG,,
0,4구,4구,좌2, ,좌홈, ,중비, , ,3,2,4,2,0.329,정훈,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
1, , , , , , , ,2안, ,1,1,1,0,0.209,박준서,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
2,중2,우비,2땅, ,좌비, , ,좌안/ 우비, ,6,2,1,2,0.261,전준우,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
3,2비,1땅, ,좌비, ,중비, ,우2,1안,6,2,0,1,0.352,손아섭,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
4, , , , , , , , , ,0,0,0,0,0.000,백민기,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
5,유안, ,중비,2땅, ,우2, ,우2, ,5,3,3,1,0.377,히메네스,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
6, , , , , , , , ,2유병,1,0,0,1,0.252,김문호,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
7,좌중2, ,좌비,1땅, ,좌안, ,우안,1땅,6,3,0,2,0.327,박종윤,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
8,우안, ,중3, ,좌안,유땅, ,4구, ,4,3,2,2,0.300,황재균,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
9,3땅, ,2안, ,우안,중비, , , ,4,2,1,2,0.326,문규현,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
10, , , , , , , ,좌비, ,1,0,0,0,0.232,최준석,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
11, , , , , , , , , ,0,0,0,0,0.148,신본기,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
12, ,중비,4구, ,좌희비, ,우비, , ,2,0,1,1,0.229,강민호,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
13, , , , , , , ,1땅, ,1,0,1,0,0.333,용덕한,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
14, ,4구,4구, ,삼진, ,삼진,4구, ,2,0,0,0,0.167,임종혁,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,롯데,두산,,
0,2비, ,중비, ,우중안, ,좌중안,유땅, ,5,2,1,0,0.378,민병헌,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
1,좌파, ,우2, ,2땅, ,좌비, , ,4,1,0,0,0.373,오재원,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
2, , , , , , , , ,3파,1,0,0,0,0.250,김재환,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
3,좌안, ,2땅, ,중비, , , , ,3,1,0,0,0.323,김현수,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
4, , , , , , , ,중안,좌비,2,1,0,1,0.231,장민석,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
5,좌비, ,유땅, , ,1땅, ,중홈,좌안,5,2,2,1,0.319,칸투,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
6, ,2땅, ,포파, ,우중홈, ,1땅,좌비,5,1,1,1,0.178,오재일,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
7, ,좌홈, ,중비, ,우파, , , ,3,1,1,1,0.306,양의지,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
8, , , , , , , ,1안, ,1,1,0,0,0.310,최주환,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
9, ,좌비, ,삼진, ,우비, ,삼진, ,4,0,0,0,0.267,이원석,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
10, ,4구, , , , , , , ,0,0,0,0,0.318,김재호,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
11, , , , ,좌중2, ,2땅,4구, ,2,1,0,1,0.260,허경민,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
12, ,1직, , ,중비, ,유땅,4구, ,3,0,0,0,0.287,정수빈,구장 : 잠실,"관중 : 22,523",2014.06.01(일),개시 : 17:00,경기시간 : 3:26,두산,롯데,,
0,3땅, ,삼진, , ,삼진,삼진, , ,4,0,0,0,0.302,박민우,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
1,삼진, ,2땅, , ,2땅, ,포파, ,4,0,0,0,0.248,김종호,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
2,삼진, ,삼진, , ,삼진, ,좌비, ,4,0,0,0,0.356,나성범,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
3, ,좌중홈, ,투2안, , ,4구,우비, ,3,2,1,2,0.279,이호준,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
4, ,삼진, ,우비, , ,우안, ,3파,4,1,0,1,0.335,테임즈,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
5, ,삼진, ,삼진, , ,삼진, , ,3,0,0,0,0.292,모창민,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
6, , , , , , , , ,삼진,1,0,0,0,0.260,손시헌,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
7, ,좌안, , ,4구, , , , ,1,1,0,0,0.353,권희동,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
8, , , , , , ,우안, ,2땅,2,1,1,1,0.280,이종욱,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
9, ,4구, , ,유병, ,중홈, , ,2,1,3,1,0.294,지석훈,구장 : 광주,"관중 : 13,662",2014.06.01(일),개시 : 17:01,경기시간 : 3:16,NC,KIA,,
