,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,유직, ,좌파, , ,좌비, ,유비, ,4,0,0,0,0.323,박한이,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
1,유안, ,二직, , , , , , ,2,1,0,0,0.281,고지행,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
2, , , , , ,유땅, , , ,1,0,0,0,0.214,심성보,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
3, , , , , , , , ,우안,1,1,0,0,0.237,박정환,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
4,중안, , ,三땅, ,투땅, , ,좌비,4,1,0,0,0.296,이승엽,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
5,삼진, , ,유땅, , ,三땅, ,삼진,4,0,0,0,0.289,마해영,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
6,삼진, , ,4구, , ,二땅, , ,2,0,0,0,0.329,양준혁,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
7, , , , , , , , ,투땅,1,0,0,0,0.235,김종훈,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
8, ,삼진, ,삼진, , ,삼진, , ,3,0,0,0,0.158,조동찬,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
9, ,유땅, , ,4구, , ,4구, ,1,0,0,0,0.269,강동우,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
10, ,유땅, , ,二비, , , , ,2,0,0,0,0.176,현재윤,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
11, , , , , , , ,좌안, ,1,1,0,0,0.290,진갑용,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
12, , , , , , , , , ,0,0,0,0,0.000,이준민,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
13, , ,二땅, ,유병, , , , ,2,0,0,0,0.204,김재걸,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
14, , , , , , , ,유二병, ,1,0,0,0,0.295,김한수,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
15, , , , , , , , , ,0,0,0,0,0.111,손주인,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,삼성,KIA
0,우비, ,三땅, ,사구, ,유땅, , ,3,0,0,0,0.315,이종범,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,KIA,삼성
1,삼진, ,二땅, ,중비, , ,삼진, ,4,0,0,0,0.250,김종국,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,KIA,삼성
2,우비, , ,三실,二안, , ,삼진, ,4,1,1,1,0.315,장성호,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,KIA,삼성
3, ,우비, ,우중3, ,유땅, ,좌중2, ,4,2,1,2,0.290,홍세완,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,KIA,삼성
4, ,좌비, ,二땅, ,二땅, ,좌중홈, ,4,1,3,1,0.301,박재홍,구장 : 무등,"관중 : 10,582",2003.10.01(수),개시 : 18:31,경기시간 : 2:45,KIA,삼성
