,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,유땅,중비, ,4구, ,좌홈,삼진, ,우비,5,1,1,1,0.317,정훈,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
1,중안, ,중안,우비, ,4구, ,중안, ,4,3,0,2,0.289,전준우,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
2, , , , , , , , , ,0,0,0,1,0.133,김민하,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
3,우파, ,4구, ,중비,유안, ,삼진, ,4,1,0,0,0.365,손아섭,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
4,중안, ,2땅, ,우홈,4구, ,사구, ,3,2,2,1,0.291,최준석,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
5, , , , , , , , , ,0,0,0,0,0.219,이승화,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
6,우안, ,3비, ,4구,유땅, ,1땅, ,4,1,2,0,0.319,박종윤,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
7,삼진, ,투비, ,삼진, ,중안,유땅, ,5,1,0,1,0.320,황재균,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
8, ,3땅, ,3비,1파, ,좌홈, ,좌안,5,2,2,1,0.215,강민호,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
9, , , , , , , , , ,0,0,0,0,0.267,용덕한,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
10, ,삼진, ,좌비, ,유직,삼진, , ,4,0,0,0,0.196,신본기,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
11, , , , , , , , ,3땅,1,0,0,0,0.364,오승택,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
12, ,4구, ,사구, ,삼진,삼진, ,유땅,3,0,0,0,0.228,김문호,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,롯데,넥센,,,
0,삼진, ,좌2,삼진, , ,좌중3/ 1땅, , ,5,2,1,2,0.369,서건창,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
1,4구, ,좌안, ,1파, ,3땅,3땅, ,4,1,0,1,0.289,이택근,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
2,3비, ,유안, ,좌비, ,좌안,중안, ,5,3,2,2,0.310,유한준,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
3,우비, ,3비, ,삼진, ,중안, , ,4,1,0,1,0.308,박병호,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
4, , , , , , , ,투유병, ,1,0,0,0,0.059,박동원,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
5, ,우중홈,좌중홈, , ,4구,4구, , ,2,2,3,3,0.333,강정호,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
6, ,3땅,유비, , ,중비,좌안, , ,4,1,2,1,0.291,김민성,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
7, ,삼진,삼진, , ,유비,우안, , ,4,1,1,0,0.288,윤석민,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
8, ,2땅, ,유비, ,유직, , , ,3,0,0,0,0.325,로티노,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
9, , , , , , ,좌안, , ,1,1,1,0,0.291,문우람,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
10, , ,중홈,유땅, , ,사구, , ,2,1,1,1,0.227,허도환,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
11, , , , , , , , , ,0,0,0,1,0.143,김하성,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
12, , , , , , ,삼진, , ,1,0,0,0,0.294,안태영,구장 : 목동,"관중 : 7,644",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,넥센,롯데,,,
0,삼진, ,우홈, ,우안, ,유땅, ,유비,5,2,2,1,0.340,이명기,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
1,우비, ,2땅, ,야선, ,삼진, ,삼진,5,0,1,0,0.253,조동화,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
2,좌비, ,중비, ,유비, , ,2실, ,4,0,0,0,0.273,스캇,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
3, , , , , , , , , ,0,0,0,1,0.244,신현철,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
4, ,2비, ,좌안,3땅, , ,4구, ,3,1,0,0,0.397,이재원,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
5, ,삼진, ,삼진, ,삼진, ,삼진, ,4,0,0,0,0.242,박정권,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
6, ,4구, ,1땅, ,삼진, , , ,2,0,0,0,0.373,임훈,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
7, , , , , , , ,사구, ,0,0,0,0,0.243,한동민,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
8, ,우비, ,3땅, ,4구, ,삼진, ,3,0,0,0,0.287,김성현,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
9, , ,우안, ,투땅, , , , ,2,1,0,0,0.349,박계현,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
10, , , , , ,삼진, ,투땅, ,2,0,0,0,0.174,이대수,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
11, , ,4구, ,좌안, ,삼진, ,삼진,3,1,0,2,0.257,나주환,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,SK,NC,,,
0,우2, ,4구, ,사구, ,3땅, , ,2,1,0,2,0.316,박민우,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
1, , , , , , , , , ,0,0,0,0,0.304,지석훈,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
2,2땅, ,투직, ,우안, ,삼진, , ,4,1,1,0,0.238,김종호,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
3,1땅, , ,2땅,삼진, ,삼진, , ,4,0,0,0,0.355,나성범,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
4,2실, , ,4구,좌안, , ,좌비, ,3,1,2,0,0.332,테임즈,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
5,2땅, , ,3땅,우파, , ,삼진, ,4,0,0,0,0.274,이호준,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
6, ,2땅, ,중비, ,투직, ,유비, ,4,0,0,0,0.279,이종욱,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
7, ,3땅, , ,유실,삼진, , ,우중안,4,1,0,2,0.297,모창민,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
8, ,삼진, , ,좌안,좌비, , ,1희번,3,1,0,1,0.287,손시헌,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
9, , ,1땅, ,투희번, ,중안, ,우희비,2,1,1,0,0.283,김태군,구장 : 마산,"관중 : 4,218",2014.07.01(화),개시 : 18:30,경기시간 : 3:32,NC,SK,,,
0,1땅, ,2병, , ,3땅, ,투땅, ,5,1,0,0,0.314,이용규,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG,우안, ,
1,2땅, , ,우비, ,3땅, , ,중안,5,1,0,0,0.283,정근우,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG,포파, ,
2,3안, , ,중비, , ,3실, ,투희번,3,1,0,0,0.365,김경언,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, ,4구,
3,유땅, , ,4구, , , , , ,1,0,0,0,0.377,김태균,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, , ,
4, , , , , , ,좌안, ,우비,3,1,0,0,0.238,정현석,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, ,중비,
5, ,2땅, ,2땅, , ,유비, ,4구,4,0,0,0,0.319,피에,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, ,좌비,
6, ,3땅, , ,우비, ,유땅, ,삼진,4,0,0,0,0.276,최진행,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, , ,
7, , , , , , , , , ,1,0,0,0,0.235,고동진,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, ,삼진,
8, ,우비, , ,삼진, ,우비, , ,4,1,0,0,0.306,송광민,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG,우안, ,
9, , ,2비, ,좌비, , ,삼진, ,4,0,0,0,0.222,정범모,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG,투땅, ,
10, , , , , , , , , ,0,0,0,0,0.250,이학준,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, , ,
11, , , , , , , , , ,0,0,0,0,0.228,조인성,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG, , ,
12, , ,스낫, , ,투땅, ,좌비, ,4,0,0,0,0.188,조정원,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,한화,LG,삼진, ,
0,우비, , ,좌비, ,중안, , ,우안,4,2,0,0,0.324,박용택,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,LG,한화, , ,
1, , , , , , , , , ,0,0,0,1,0.212,백창수,구장 : 잠실,"관중 : 12,363",2014.07.01(화),개시 : 18:30,경기시간 : 3:44,LG,한화, ,4구,
