,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,3파, ,2안, , , , , , ,2,1,0,0,0.261,서건창,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
1, , , , ,유땅, , , , ,1,0,0,0,0.271,김지수,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
2, , , , , , , ,삼진, ,1,0,0,0,0.282,오윤,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
3, , , , , , , , , ,0,0,0,0,0.000,지재옥,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
4,삼진, ,삼진, , ,좌비, ,3파, ,4,0,0,0,0.310,문우람,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
5,유땅, ,유땅, , ,유땅, , ,2땅,4,0,0,0,0.287,이택근,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
6, ,4구, ,3땅, ,삼진, , ,2비,3,0,0,1,0.319,박병호,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
7, ,3땅, ,중비, , ,삼진, ,중안,4,1,0,0,0.288,김민성,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
8, , , , , , , , , ,0,0,0,0,0.200,유재신,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
9, ,좌홈, ,우비, , ,삼진, ,1비,4,1,2,1,0.297,강정호,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
10, ,삼진, , ,좌비, ,유땅, , ,3,0,0,0,0.266,서동욱,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
11, ,2직, , ,좌중2, , ,좌비, ,3,1,0,0,0.273,유한준,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
12, , ,삼진, ,3땅, , , , ,2,0,0,0,0.210,허도환,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
13, , , , , , , ,4구, ,0,0,0,0,0.238,이성열,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
14, , , , , , , , , ,0,0,0,0,0.240,장민석,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,넥센,NC,
0,4구, ,좌비, ,좌안,삼진, , , ,3,1,0,1,0.281,김종호,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
1, , , , , , , ,2비, ,1,0,0,0,0.167,김종찬,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
2, , , , , , , , , ,0,0,0,0,0.235,박정준,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
3,우비, ,유비, ,삼진, ,중2, , ,4,1,0,1,0.276,모창민,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
4, , , , , , , , , ,0,0,0,0,0.273,이현곤,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
5,좌비, ,삼진, ,우홈, ,중비, , ,4,1,3,1,0.245,나성범,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
6, ,유직, ,삼진,중안, , , , ,3,1,0,0,0.167,이명환,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
7, , , , , , , , , ,0,0,0,0,0.248,이상호,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
8, , , , , , ,고4, , ,0,0,0,0,0.278,이호준,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
9, , , , , , , , , ,0,0,0,1,0.310,마낙길,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
10, ,중안, ,우중2,삼진, ,우비, , ,4,2,0,1,0.285,조영훈,구장 : 마산,"관중 : 7,015",2013.10.01(화),개시 : 18:29,경기시간 : 3:02,NC,넥센,
