,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,우안, ,중비, ,투안, ,二땅, ,중안,5,3,0,0,0.303,정근우,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
1,투희번, ,유땅, , , , , , ,1,0,0,0,0.180,조동화,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
2, , , , ,삼진, , , , ,1,0,0,0,0.205,최정,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
3, , , , , , ,4구, ,우안,1,1,0,0,0.233,김강민,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
4,三번, , ,4구,4구, ,중안, ,삼진,3,1,0,1,0.280,박재홍,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
5,우비, , ,사구,유二병, ,4구, , ,2,0,0,0,0.258,김재현,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
6, ,우중안, ,유비, ,유땅,중비, , ,4,1,0,0,0.297,이진영,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
7, ,좌비, ,一파, ,중비, ,우비, ,4,0,0,0,0.254,박경완,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
8, ,一병, ,우안, ,유안, ,삼진, ,4,2,1,0,0.222,조중근,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
9, , ,좌안, ,4구,삼진, ,중비, ,3,1,0,1,0.280,이대수,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
10, , ,투희번, ,좌안, , , , ,1,1,0,0,0.185,김형철,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
11, , , , , , ,투안, ,三땅,2,1,0,0,0.229,김태균,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,SK,LG,,,
0,삼진,유비, , ,一땅, ,4구, ,좌비,4,0,0,0,0.288,오태근,구장 : 잠실,"관중 : 8,815",2006.07.01(토),개시 : 19:00,경기시간 : 3:37,LG,SK,,,
