,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,좌비,우안, ,우2, , ,우안,3안, ,5,4,1,2,0.800,서건창,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
1,투땅,2땅, ,중안, , ,4구, , ,3,1,2,1,0.333,장민석,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
2, , , , , , , ,삼진, ,1,0,0,0,0.000,정수성,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
3,좌안,2비, ,2땅, , ,좌안,유땅, ,5,2,1,1,0.400,이택근,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
4,4구, ,사구, ,삼진, ,삼진, ,3실,3,0,0,0,0.000,박병호,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
5, , , , , , , , , ,0,0,0,0,0.000,유재신,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
6,유땅, ,삼진, ,4구, ,좌중2, ,좌중안,4,2,2,1,0.500,강정호,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
7, ,우비,삼진, ,유2병, ,유비, ,삼진,5,0,0,0,0.000,유한준,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
8, ,중안,우안, , ,삼진,우홈, ,3파,5,3,2,2,0.600,이성열,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
9, ,4구, ,유안, ,3땅,삼진, , ,3,1,0,1,0.333,허도환,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
10, ,좌안, ,투땅, ,삼진, ,2땅, ,4,1,0,1,0.250,김민성,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,넥센,KIA
0,1땅, ,2비,4구, ,1땅,4구, , ,3,0,0,1,0.000,이용규,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
1,4구, ,3땅,중안, ,중비,좌중안, , ,4,2,3,1,0.500,김주찬,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
2,포파, ,좌안,좌비, ,사구,4구, , ,3,1,0,2,0.333,이범호,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
3, , , , , , , , , ,0,0,0,0,0.000,홍재호,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
4,유땅, ,중2, ,3땅,좌홈,좌안, , ,5,3,5,2,0.600,나지완,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
5, ,좌2,좌2, ,유비,좌비,중비, , ,5,2,1,0,0.400,최희섭,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
6, ,4구,삼진, ,4구, ,유땅,좌비, ,3,0,0,1,0.000,안치홍,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
7, ,포땅, ,2땅,4구, ,투땅,2땅, ,4,0,0,0,0.000,김원섭,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
8, ,삼진, ,유땅, , , , , ,2,0,0,0,0.000,김상훈,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
9, , , , ,중안, ,사구,삼진, ,2,1,1,1,0.500,차일목,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
10, , , , , , , , , ,0,0,0,0,0.000,이성우,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
11, ,2땅, ,우안,좌비, ,좌중안, , ,4,2,0,2,0.500,김선빈,구장 : 무등,"관중 : 12,500",2013.03.30(토),개시 : 14:03,경기시간 : 3:46,KIA,넥센
0,2땅, , ,1땅, ,4구, ,사구,좌비,3,0,0,1,0.000,오지환,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
1,삼진, , ,중비, ,3직, , , ,3,0,0,0,0.000,손주인,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
2, , , , , , , ,유땅, ,1,0,0,0,0.000,이병규,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
3, , , , , , , , , ,0,0,0,1,0.000,서동욱,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
4,삼진, , ,삼진, , ,중안,4구, ,3,1,1,2,0.333,박용택,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
5, ,삼진, , ,삼진, ,삼진,좌홈, ,4,1,4,1,0.250,정성훈,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
6, ,삼진, , ,중비, ,1땅,4구, ,3,0,0,0,0.000,이진영,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
7, ,중비, , ,삼진, ,좌안,중비, ,4,1,1,0,0.250,정의윤,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
8, , ,중비, , ,유실,우비,삼진, ,4,0,0,1,0.000,문선재,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
9, , ,우비, , ,투희번, ,우안, ,2,1,0,0,0.500,현재윤,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
10, , , , , , , , ,유비,1,0,0,1,0.000,양영동,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
11, , ,3땅, , ,야선, , , ,2,0,1,0,0.000,정주현,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
12, , , , , , , ,삼진, ,1,0,0,0,0.000,최동수,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
13, , , , , , , , ,3땅,1,0,0,0,0.000,조윤준,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,LG,SK
0,삼진, ,삼진, , ,2안,우2, ,투땅,5,2,0,1,0.400,이명기,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
1,중안, ,우비, , ,삼진,고4, , ,3,1,0,0,0.333,정근우,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
2,삼진, ,삼진, , ,우2,4구, , ,3,1,1,0,0.333,한동민,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
3,삼진, , ,중비, ,3안,유2병, , ,4,1,0,0,0.250,최정,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
4, ,삼진, ,좌비, ,중비, ,3땅, ,4,0,0,0,0.000,박정권,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
5, ,4구, ,1땅, , , , , ,1,0,0,1,0.000,박재상,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
6, , , , , , , , , ,0,0,0,0,0.000,김경근,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
7, , , , , ,1땅, ,2땅, ,2,0,0,0,0.000,김강민,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
8, ,중안, , ,4구, ,4구, , ,1,1,0,0,1.000,박진만,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
9, , , , , , , , , ,0,0,0,1,0.000,최윤석,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
10, , , , , , , ,유땅, ,1,0,0,0,0.000,김성현,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
11, ,좌안, , ,삼진, ,유땅, ,삼진,4,1,1,0,0.250,조인성,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
12, ,유2병, , ,삼진, , , , ,2,0,0,0,0.000,임훈,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
13, , , , , , ,좌홈, ,삼진,2,1,2,1,0.500,조성우,구장 : 문학,"관중 : 27,600",2013.03.30(토),개시 : 14:00,경기시간 : 3:16,SK,LG
0,1파, ,우안,우2, , ,좌2,삼진, ,5,3,2,1,0.600,이대수,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
1,삼진, ,1땅,삼진, , , , , ,3,0,0,1,0.000,연경흠,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
2, , , , , , , , , ,0,0,0,0,0.000,이학준,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
3, , , , , , ,4구, , ,0,0,0,0,0.000,추승우,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
4, , , , , , , , ,삼진,1,0,0,0,0.000,조정원,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
5,우안, ,중안, ,우비, ,삼진, ,삼진,5,2,1,0,0.400,김태완,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
6, , , , , , , , , ,0,0,0,0,0.000,이양기,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
7,2직, ,좌안, ,유땅, ,좌안, ,우2,5,3,2,0,0.600,김태균,구장 : 사직,"관중 : 26,708",2013.03.30(토),개시 : 14:03,경기시간 : 4:03,한화,롯데
